zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
455272648,FOR_RENT,Apartment for rent,,2400.0,1750.0,1.0,,,,,,3.0,3.0,"Kickapoo Townhomes, 8528 Kickapoo St, De Soto, KS 66018",8528 Kickapoo St #8E47409ED,De Soto,KS,66018,38.97439,-94.97333,,False,,,,
453613922,FOR_RENT,Apartment for rent,,1500.0,1150.0,1.0,,,,,,3.0,2.0,"Decarsky Villas, 1778 E Cloverbrook Ct, Derby, KS 67037",1778 E Cloverbrook Ct #7794E9E3E,Derby,KS,67037,37.52435,-97.24533,,False,,,,
439739632,FOR_RENT,Apartment for rent,,3895.0,2300.0,2.0,,,,,,3.0,3.0,"Fairways Villas at City Center, 8891 Mill Creek Rd, Lenexa, KS 66219",8891 Mill Creek Rd #1166724,Lenexa,KS,66219,38.96726,-94.78543,,False,,,,
451826121,FOR_RENT,Apartment for rent,,1161.0,300.0,4.0,,,,,,,1.0,"Wichita - East, 9450 E Corporate Hills Dr, Wichita, KS 67207",9450 E Corporate Hills Dr #6085,Wichita,KS,67207,37.682384,-97.22777,,False,,,,
454832586,FOR_RENT,Apartment for rent,,1800.0,1315.0,1.0,,,,,,2.0,2.0,"Polo Club Residences, 7676 E Polo Dr APT 19, Wichita, KS 67206",7676 E Polo Dr APT 19,Wichita,KS,67206,37.705673,-97.248436,,False,,,,
452300017,FOR_RENT,Apartment for rent,,1402.0,300.0,5.0,,,,,,,1.0,"Kansas City - Lenexa - 87th St., 8015 Lenexa Dr, Overland Park, KS 66214",8015 Lenexa Dr #9816,Overland Park,KS,66214,38.983612,-94.70558,,False,,,,
446923122,FOR_RENT,Apartment for rent,,925.0,,,,,,,,1.0,1.0,"Riverview Apartments, 111 Shawnee St, Leavenworth, KS 66048",111 Shawnee St #3013DC449,Leavenworth,KS,66048,39.31926,-94.91023,,False,,,,
454901811,FOR_RENT,Apartment for rent,,985.0,730.0,1.0,,,,,,1.0,1.0,"Chisholm Lake Apartments, 3450 N Ridgewood St APT 702, Wichita, KS 67220",3450 N Ridgewood St APT 702,Wichita,KS,67220,37.747395,-97.27274,,False,,,,
451826169,FOR_RENT,Apartment for rent,,839.0,300.0,3.0,,,,,,,1.0,"Wichita - North, 3401 N Great Plains Dr, Wichita, KS 67220",3401 N Great Plains Dr #8031,Wichita,KS,67220,37.74644,-97.278145,,False,,,,
455229456,FOR_RENT,Apartment for rent,,1080.0,1038.0,1.0,,,,,,2.0,2.0,"Spring Hill Plaza Apartments, 200 E Wilson St #350-09, Spring Hill, KS 66083",200 E Wilson St #350-09,Spring Hill,KS,66083,38.745422,-94.821754,,False,,,,
