zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
450460430,FOR_RENT,Apartment for rent,,1225.0,,,,,,,,1.0,1.0,"Summit Place Apartments, 5201 Eagles Peak Way, Louisville, KY 40241",5201 Eagles Peak Way #AAB8A0E02,Louisville,KY,40241,38.319042,-85.561905,,False,,,,
447646375,FOR_RENT,Apartment for rent,,1500.0,1280.0,1.0,,,,,,2.0,3.0,"Aviator Crossing, 100 Aviator Cir #111B, Oak Grove, KY 42262",100 Aviator Cir #111B,Oak Grove,KY,42262,36.64218,-87.42471,,False,,,,
452273621,FOR_RENT,Apartment for rent,,1289.0,300.0,4.0,,,,,,,1.0,"Louisville - South, 6310 Commerce Park Ct, Fairdale, KY 40118",6310 Commerce Park Ct #8034,Fairdale,KY,40118,38.118546,-85.7753,,False,,,,
455297675,FOR_RENT,Apartment for rent,,650.0,830.0,1.0,,,,,,2.0,1.0,"Maple Valley Townhomes, 618 E Waverly St #3, Morganfield, KY 42437",618 E Waverly St #3,Morganfield,KY,42437,37.68574,-87.90477,,False,,,,
451123927,FOR_RENT,Apartment for rent,,1589.0,300.0,5.0,,,,,,,1.0,"Cincinnati - Covington, 650 W 3rd St, Covington, KY 41011",650 W 3rd St #659,Covington,KY,41011,39.0881,-84.52186,,False,,,,
444500979,FOR_RENT,Apartment for rent,,1125.0,,,,,,,,1.0,1.0,"Flats of Hopkinsville, 4526 Lafayette Rd, Hopkinsville, KY 42240",4526 Lafayette Rd #1B-1BA,Hopkinsville,KY,42240,36.81564,-87.50715,,False,,,,
455291339,FOR_RENT,Apartment for rent,,1250.0,870.0,1.0,,,,,,2.0,1.0,"Oaks of Newport, 1163 Waterworks Rd #1171-05, Newport, KY 41071",1163 Waterworks Rd #1171-05,Newport,KY,41071,39.09353,-84.47274,,False,,,,
443419100,FOR_RENT,Apartment for rent,,1200.0,1200.0,1.0,,,,,,2.0,2.0,"The Nash, 6567 Nashville Rd, Bowling Green, KY 42101",6567 Nashville Rd #2B-2BA-1200SQFT,Bowling Green,KY,42101,36.918713,-86.50599,,False,,,,
455360954,FOR_RENT,Apartment for rent,,995.0,,,,,,,,2.0,2.0,"344 Dye Ford Rd, 344 Dye Ford Rd APT A4, Alvaton, KY 42122",344 Dye Ford Rd APT A4,Alvaton,KY,42122,36.901546,-86.39875,,False,,,,
452273907,FOR_RENT,Apartment for rent,,1499.0,300.0,5.0,,,,,,,1.0,"Louisville - Alliant Avenue, 1650 Alliant Ave, Louisville, KY 40299",1650 Alliant Ave #9659,Louisville,KY,40299,38.219444,-85.53794,,False,,,,
443535101,FOR_RENT,Apartment for rent,,925.0,595.0,2.0,,,,,,1.0,1.0,"Hillview Commons, 210 Hillview Mills Blvd, Bowling Green, KY 42101",210 Hillview Mills Blvd #1B-1BA-595SQFT,Bowling Green,KY,42101,36.953358,-86.512924,,False,,,,
443534874,FOR_RENT,Apartment for rent,,950.0,625.0,2.0,,,,,,1.0,1.0,"Otte Center, 5898 Otte Ct, Bowling Green, KY 42104",5898 Otte Ct #1B-1BA-625SQFT,Bowling Green,KY,42104,36.91709,-86.40593,,False,,,,
451123022,FOR_RENT,Apartment for rent,,1769.0,300.0,6.0,,,,,,,1.0,"Cincinnati - Florence - Turfway Rd., 7350 Turfway Rd, Florence, KY 41042",7350 Turfway Rd #629,Florence,KY,41042,39.014088,-84.63062,,False,,,,
448735614,FOR_RENT,Apartment for rent,,1078.0,1100.0,1.0,,,,,,2.0,1.0,"CampusWalk, 1225 College St #102, Bowling Green, KY 42101",1225 College St #102,Bowling Green,KY,42101,36.990463,-86.447525,,False,,,,
450883439,FOR_RENT,Apartment for rent,,1350.0,1111.0,1.0,,,,,,2.0,2.0,"Villas of Forest Springs, 3600 Spring Villa Cir, Louisville, KY 40245",3600 Spring Villa Cir #C589FCCCE,Louisville,KY,40245,38.29266,-85.50883,,False,,,,
