zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
452813599,FOR_RENT,Apartment for rent,,1895.0,860.0,2.0,,,,,,2.0,1.0,"930 Poydras, 930 Poydras St, New Orleans, LA 70112",930 Poydras St #9006F7033,New Orleans,LA,70112,29.949902,-90.07405,,False,,,,
452682538,FOR_RENT,Apartment for rent,,1499.0,300.0,5.0,,,,,,,1.0,"New Orleans - Metairie, 3300 Interstate Highway 10 S, Metairie, LA 70001",3300 Interstate Highway 10 S #6000,Metairie,LA,70001,29.995413,-90.1583,,False,,,,
450337012,FOR_RENT,Apartment for rent,,1595.0,600.0,3.0,,,,,,1.0,1.0,"Aloysius Apartments, 1137 Esplanade Ave APT 201, New Orleans, LA 70116",1137 Esplanade Ave APT 201,New Orleans,LA,70116,29.966442,-90.06362,,False,,,,
2100896218,FOR_RENT,Apartment for rent,,1295.0,1100.0,1.0,,,1242.0,,,3.0,2.0,"Chateau Audubon Apartment, 106 Beham Ct, Thibodaux, LA 70301",106 Beham Ct #1638947,Thibodaux,LA,70301,29.774235,-90.810616,,False,,,,
452167438,FOR_RENT,Apartment for rent,,959.0,300.0,3.0,,,,,,,1.0,"New Orleans - Kenner, 2300 Veterans Blvd, Kenner, LA 70062",2300 Veterans Blvd #6166,Kenner,LA,70062,30.007742,-90.23593,,False,,,,
450092944,FOR_RENT,Apartment for rent,,2469.0,300.0,8.0,,,,,,,1.0,"Donaldsonville - Gonzales, 10533 W Highway 70 Hwy, Saint James, LA 70086",10533 W Highway 70 Hwy #9388,Saint James,LA,70086,30.094189,-90.93073,,False,,,,
452813054,FOR_RENT,Apartment for rent,,2570.0,1127.0,2.0,,,,,,2.0,2.0,"511 Marigny Apartments, 511 Marigny St, New Orleans, LA 70117",511 Marigny St #1ED83CDAF,New Orleans,LA,70117,29.963049,-90.054924,,False,,,,
450092840,FOR_RENT,Apartment for rent,,1049.0,300.0,3.0,,,,,,,1.0,"New Orleans - Airport - I-10, 2232 Veterans Blvd, Kenner, LA 70062",2232 Veterans Blvd #8037,Kenner,LA,70062,30.00815,-90.23664,,False,,,,
449336646,FOR_RENT,Apartment for rent,,1530.0,909.0,2.0,,,,,,1.0,1.0,"Calypso Bay Apartments, 3251 Wall Blvd, Gretna, LA 70056",3251 Wall Blvd #2199505,Gretna,LA,70056,29.865347,-90.031525,,False,,,,
455267220,FOR_RENT,Apartment for rent,,1200.0,1000.0,1.0,,,,,,2.0,2.0,"Clearview, LLC, 3000 Independence St APT 102, Metairie, LA 70006",3000 Independence St APT 102,Metairie,LA,70006,30.002077,-90.17854,,False,,,,
452813116,FOR_RENT,Apartment for rent,,1350.0,570.0,2.0,,,,,,1.0,1.0,"The Orphanage Apartments, 3000 Magazine St, New Orleans, LA 70115",3000 Magazine St #0604C2119,New Orleans,LA,70115,29.924694,-90.08485,,False,,,,
449325617,FOR_RENT,Apartment for rent,,1030.0,698.0,1.0,,,,,,1.0,1.0,"Riverview Villa Apartments, 5501 Tullis Dr, New Orleans, LA 70131",5501 Tullis Dr #2051466,New Orleans,LA,70131,29.8996,-89.99535,,False,,,,
440023558,FOR_RENT,Apartment for rent,,100.0,550.0,0.0,,,,,,1.0,1.0,"Renaissance Place 62+, 3601 Texas Dr, New Orleans, LA 70114",3601 Texas Dr #1B-1BA-550SQFT,New Orleans,LA,70114,29.919289,-90.02102,,False,,,,
113068002,FOR_RENT,House for rent,,2200.0,1660.0,1.0,304600.0,183.0,1760.0,,,3.0,2.0,"16490 Anna Belle Dr, Prairieville, LA 70769",16490 Anna Belle Dr,Prairieville,LA,70769,30.312342,-90.92333,,False,,,,
149086231,FOR_RENT,House for rent,,2500.0,1750.0,1.0,,,2381.0,,,2.0,2.0,"1901 Eagle St, New Orleans, LA 70118",1901 Eagle St,New Orleans,LA,70118,29.956945,-90.130035,,False,,,,
2053026837,FOR_RENT,Apartment for rent,,1400.0,750.0,2.0,,,1410.0,,,2.0,2.0,"3713 Willow St #3713, New Orleans, LA 70115",3713 Willow St #3713,New Orleans,LA,70115,29.93969,-90.0987,,False,,,,
2084411254,FOR_RENT,Apartment for rent,,1600.0,940.0,2.0,380200.0,404.0,1534.0,,,2.0,1.0,"120 N Hennessey St, New Orleans, LA 70119",120 N Hennessey St,New Orleans,LA,70119,29.976738,-90.10251,,False,,,,
114010001,FOR_RENT,House for rent,,3350.0,3002.0,1.0,354500.0,118.0,3351.0,,,3.0,3.0,"11274 Asphodel Dr, New Orleans, LA 70128",11274 Asphodel Dr,New Orleans,LA,70128,30.03198,-89.95191,,False,,,,
2061750593,FOR_RENT,Apartment for rent,,1500.0,200.0,8.0,,,1799.0,,,,1.0,"126 C And H Park Ln, Pt Sulphur, LA 70083",126 C And H Park Ln,Pt Sulphur,LA,70083,29.514406,-89.72615,,False,,,,
2110568346,FOR_RENT,Apartment for rent,,2100.0,900.0,2.0,,,1929.0,,,3.0,2.0,"2216 Pine St, New Orleans, LA 70118",2216 Pine St,New Orleans,LA,70118,29.951054,-90.11729,,False,,,,
