address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"85 Leavitt Rd, Augusta, ME 04330",4330,Augusta,ME,2788.0,3.0,3.0,2800.0,,https://www.zillow.com/homedetails/85-Leavitt-Rd-Augusta-ME-04330/91847171_zpid/,44.30049,-69.71526,,487400.0,,https://photos.zillowstatic.com/fp/feef27a785dc1c3284e69e9e9f0d7630-p_e.jpg,,
"180 Westport Bridge Rd, Wiscasset, ME 04578",4578,Wiscasset,ME,3236.0,3.0,2.0,2328.0,,https://www.zillow.com/homedetails/180-Westport-Bridge-Rd-Wiscasset-ME-04578/84992182_zpid/,43.97404,-69.67522,,,,https://photos.zillowstatic.com/fp/4d66dfb7c49dab53f0a3d3166a91df09-p_e.jpg,,
"17 Pleasant St #4, Blue Hill, ME 04614",4614,Blue Hill,ME,1898.0,2.0,2.0,1800.0,,https://www.zillow.com/homedetails/17-Pleasant-St-4-Blue-Hill-ME-04614/2067634852_zpid/,44.41449,-68.58679,,,,https://photos.zillowstatic.com/fp/d1e153e1d6dad5250e643d679a9b82c5-p_e.jpg,,
"27 Elm St #2, Lewiston, ME 04240",4240,Lewiston,ME,1678.0,4.0,1.0,,,https://www.zillow.com/homedetails/27-Elm-St-2-Lewiston-ME-04240/2111933810_zpid/,44.104973,-70.21278,,,,https://photos.zillowstatic.com/fp/fd11c2320a958ae784fbd3ef70c6ac13-p_e.jpg,,
"224 Leighton Rd, Augusta, ME 04330",4330,Augusta,ME,1584.0,1.0,1.0,1200.0,,https://www.zillow.com/homedetails/224-Leighton-Rd-Augusta-ME-04330/91855822_zpid/,44.335472,-69.81547,,,,https://photos.zillowstatic.com/fp/b8137b28c440fa3eec5cc1a3b3471fd0-p_e.jpg,,
"10 Richards Dr, Brunswick, ME 04011",4011,Brunswick,ME,3407.0,4.0,2.0,2049.0,,https://www.zillow.com/homedetails/10-Richards-Dr-Brunswick-ME-04011/84904629_zpid/,43.900463,-69.970795,,481800.0,,https://photos.zillowstatic.com/fp/076418ae00b36262609cc5540863019e-p_e.jpg,,
"121 Hawkes St, Westbrook, ME 04092",4092,Westbrook,ME,2479.0,2.0,1.0,900.0,,https://www.zillow.com/homedetails/121-Hawkes-St-Westbrook-ME-04092/84923257_zpid/,43.67672,-70.35756,,642100.0,,https://photos.zillowstatic.com/fp/ed1ca681755323ee5776fa593c37bd84-p_e.jpg,,
"18 Victoria St #B, Portland, ME 04103",4103,Portland,ME,1979.0,1.0,1.0,1000.0,,https://www.zillow.com/homedetails/18-Victoria-St-B-Portland-ME-04103/2064091361_zpid/,43.687263,-70.250694,,,,https://photos.zillowstatic.com/fp/238ca1140a62b6c5d1d2e5d740ee7313-p_e.jpg,,
"124 York St UNIT 3, Bangor, ME 04401",4401,Bangor,ME,1278.0,2.0,1.0,,,https://www.zillow.com/homedetails/124-York-St-UNIT-3-Bangor-ME-04401/2058270275_zpid/,44.802544,-68.76526,,,,https://photos.zillowstatic.com/fp/313275de7a6d98bbc4a9fe49b908a821-p_e.jpg,,
"7 Possum Ln, Carmel, ME 04419",4419,Carmel,ME,2275.0,3.0,2.0,,,https://www.zillow.com/homedetails/7-Possum-Ln-Carmel-ME-04419/378213692_zpid/,44.82942,-68.99789,,281300.0,,https://photos.zillowstatic.com/fp/d73c3afa8b5f18d15f8cc91ae93dc246-p_e.jpg,,
"9 Catell St APT 8, Bangor, ME 04401",4401,Bangor,ME,1002.0,1.0,1.0,,,https://www.zillow.com/homedetails/9-Catell-St-APT-8-Bangor-ME-04401/2100764206_zpid/,44.786575,-68.7801,,,,https://photos.zillowstatic.com/fp/7610db69c9d2b9386dc190cda3d9e45d-p_e.jpg,,
"221 Mountain Rd APT A, Saint Albans, ME 04971",4971,Saint Albans,ME,1290.0,2.0,2.0,,,https://www.zillow.com/homedetails/221-Mountain-Rd-APT-A-Saint-Albans-ME-04971/2060748212_zpid/,44.893852,-69.45034,,,,https://photos.zillowstatic.com/fp/fdaf28ff5e259d57ed7cd0a733b9a601-p_e.jpg,,
"315 Bay View St, Camden, ME 04843",4843,Camden,ME,5053.0,4.0,4.0,3838.0,,https://www.zillow.com/homedetails/315-Bay-View-St-Camden-ME-04843/84983065_zpid/,44.19437,-69.059395,,1162700.0,,https://photos.zillowstatic.com/fp/388193e94f766358050b3eb2657623ea-p_e.jpg,,
"16 Crescent St #1, Biddeford, ME 04005",4005,Biddeford,ME,2078.0,2.0,1.0,1050.0,,https://www.zillow.com/homedetails/16-Crescent-St-1-Biddeford-ME-04005/2056814652_zpid/,43.49262,-70.45832,,,,https://photos.zillowstatic.com/fp/ca2f51719f6a0dd6197339bcabab6b26-p_e.jpg,,
"80 Orchard Rd, Wells, ME 04090",4090,Wells,ME,3311.0,3.0,2.0,1599.0,,https://www.zillow.com/homedetails/80-Orchard-Rd-Wells-ME-04090/85038890_zpid/,43.2781,-70.60504,,629800.0,,https://photos.zillowstatic.com/fp/40f2aa4059503bbc3d93efcea43e80f3-p_e.jpg,,
"15 Highland Ave, Wells, ME 04090",4090,Wells,ME,1950.0,2.0,1.0,1600.0,,https://www.zillow.com/homedetails/15-Highland-Ave-Wells-ME-04090/91884937_zpid/,43.286118,-70.572105,,1279300.0,,https://photos.zillowstatic.com/fp/913bdd674825b854a775700d699dd9c1-p_e.jpg,,
"372 Broadway #4, South Portland, ME 04106",4106,South Portland,ME,2441.0,2.0,1.0,1100.0,,https://www.zillow.com/homedetails/372-Broadway-4-South-Portland-ME-04106/2060804801_zpid/,43.63801,-70.245346,,,,https://photos.zillowstatic.com/fp/a0a2dd9e6d9af7e612728c16ca8f4f72-p_e.jpg,,
