zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
456138982,FOR_RENT,Apartment for rent,,1463.0,687.0,2.0,,,,,,1.0,1.0,"Glen Willow Apartments, 903 Glen Willow Dr #901011, Capitol Heights, MD 20743",903 Glen Willow Dr #901011,Capitol Heights,MD,20743,38.90322,-76.90046,,False,,,,
2058829075,FOR_RENT,Apartment for rent,,2660.0,1960.0,1.0,,,2778.0,,,3.0,3.0,"Carlson Woods Townhomes, 3266 Carlswood Cir #C2333233, Windsor Mill, MD 21244",3266 Carlswood Cir #C2333233,Windsor Mill,MD,21244,39.35442,-76.780815,,False,,,,
2091713553,FOR_RENT,Apartment for rent,,2104.0,735.0,3.0,,,2097.0,,,1.0,1.0,"Domain College Park, 3711 Campus Dr APT 239, College Park, MD 20740",3711 Campus Dr APT 239,College Park,MD,20740,38.98454,-76.949066,,False,,,,
2056577110,FOR_RENT,Apartment for rent,,2850.0,1770.0,2.0,,,2908.0,,,3.0,2.0,"Riverview Village at Indian Head, 3946 Welsh St, Indian Head, MD 20640",3946 Welsh St #D6937A55B,Indian Head,MD,20640,38.603798,-77.16922,,False,,,,
2069932976,FOR_RENT,Apartment for rent,,2075.0,704.0,3.0,,,2323.0,,,1.0,1.0,"West Woods Apartments, 114 Hearne Ct #126-T3, Annapolis, MD 21401",114 Hearne Ct #126-T3,Annapolis,MD,21401,38.978786,-76.54674,,False,,,,
452675384,FOR_RENT,Apartment for rent,,1335.0,690.0,2.0,,,,,,1.0,1.0,"Ashton Heights, 3901 Suitland Rd, Suitland, MD 20746",3901 Suitland Rd #4753319,Suitland,MD,20746,38.860325,-76.94931,,False,,,,
453364806,FOR_RENT,Apartment for rent,,2126.0,,,,,,,,1.0,1.0,"Elms Shady Grove, 10031 Blackwell Rd, Rockville, MD 20850",10031 Blackwell Rd #3029840F6,Rockville,MD,20850,39.101147,-77.20834,,False,,,,
439750107,FOR_RENT,Apartment for rent,,1640.0,940.0,2.0,,,,,,1.0,1.0,"The Flats at River Mill, 8954 River Island Dr, Savage, MD 20763",8954 River Island Dr #1B-1BA-940SQFT,Savage,MD,20763,39.135693,-76.82343,,False,,,,
2082343110,FOR_RENT,Apartment for rent,,2075.0,975.0,2.0,,,2671.0,,,2.0,1.0,"Cambridge Square, 4909 Battery Ln #4911-203, Bethesda, MD 20814",4909 Battery Ln #4911-203,Bethesda,MD,20814,38.992626,-77.099396,,False,,,,
455273823,FOR_RENT,Apartment for rent,,1385.0,807.0,2.0,,,,,,1.0,1.0,"Hyattsville House, 6000 42nd Ave APT 406, Hyattsville, MD 20781",6000 42nd Ave APT 406,Hyattsville,MD,20781,38.960133,-76.9468,,False,,,,
455320540,FOR_RENT,Apartment for rent,,2175.0,885.0,2.0,,,,,,2.0,1.0,"Wheaton House, 10811 Georgia Ave, Silver Spring, MD 20902",10811 Georgia Ave #C3D312640,Silver Spring,MD,20902,39.032867,-77.04827,,False,,,,
455423498,FOR_RENT,Apartment for rent,,2450.0,1226.0,2.0,,,,,,2.0,2.0,"Oakmont Village Apartments, 11090 Resort Rd, Ellicott City, MD 21042",11090 Resort Rd #8510A87A3,Ellicott City,MD,21042,39.300167,-76.89681,,False,,,,
