address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"1443 Beacon, 1443 Beacon St APT 616, Brookline, MA 02446",2446,Brookline,MA,2835.0,2.0,2.0,1355.0,,https://www.zillow.com/apartments/brookline-ma/1443-beacon/5Xj7gx/,42.340134,-71.12655,,,,https://photos.zillowstatic.com/fp/655fc066b5e00c184adde40f15349b4c-p_e.jpg,,
"305 DUTTON STREET, 305 Dutton St, Lowell, MA 01854",1854,Lowell,MA,1499.0,1.0,1.0,,,https://www.zillow.com/apartments/lowell-ma/305-dutton-street/5XjD33/,42.64294,-71.31573,,,,https://photos.zillowstatic.com/fp/fcef93fb912ee247faaecb356c200c1c-p_e.jpg,,
"Magazine Street Apartments, 22 Magazine St APT 3, Cambridge, MA 02139",2139,Cambridge,MA,5533.0,4.0,2.0,1360.0,,https://www.zillow.com/apartments/cambridge-ma/magazine-street-apartments/CjkpRS/,42.36374,-71.10565,,,,https://photos.zillowstatic.com/fp/b9375f7ae073aadcf53fb522ed7c22e6-p_e.jpg,,
"55 BRIGHTON AT PACKARD CROSSING, 55 Brighton Ave #302, Allston, MA 02134",2134,Allston,MA,4113.0,2.0,2.0,966.0,,https://www.zillow.com/apartments/allston-ma/55-brighton-at-packard-crossing/CkCVYb/,42.35276,-71.127625,,,,https://photos.zillowstatic.com/fp/bbab88f9d9edd1c91678ba6a84e7d634-p_e.jpg,,
"434 Massachusetts Ave., 434 Massachusetts Ave #5-434-8, Cambridge, MA 02139",2139,Cambridge,MA,5567.0,4.0,2.0,1438.0,,https://www.zillow.com/apartments/cambridge-ma/434-massachusetts-ave./Cmkzps/,42.363483,-71.1008,,,,https://photos.zillowstatic.com/fp/8a4e5af5a3500defa4bd84ac55f1ccee-p_e.jpg,,
"375 Market Street, 375 Market St #104, Brighton, MA 02135",2135,Brighton,MA,3953.0,3.0,2.0,1450.0,,https://www.zillow.com/apartments/brighton-ma/375-market-street/5XkkWg/,42.350624,-71.153145,,,,https://photos.zillowstatic.com/fp/8e3e9b2e6aa6347c8d419c1d2dd95314-p_e.jpg,,
"Pynchon Towne Houses, 350 Meadow St, Agawam, MA 01001",1001,Agawam,MA,2231.0,2.0,2.0,787.0,,https://www.zillow.com/apartments/agawam-ma/pynchon-towne-houses/9pnqCw/,42.079796,-72.5988,,,,https://photos.zillowstatic.com/fp/cfe6e8858e9672883838d7441ae34e20-p_e.jpg,,
"292-294 Harvard, 39 Clinton, 292 Harvard St #294-2, Cambridge, MA 02139",2139,Cambridge,MA,4017.0,3.0,1.0,900.0,,https://www.zillow.com/apartments/cambridge-ma/292-294-harvard-39-clinton/CjG5NJ/,42.369446,-71.105255,,,,https://photos.zillowstatic.com/fp/e58dfda6f16575e0312c90bbdf33eb99-p_e.jpg,,
"Eastbay at Weymouthport, 84 Broad Reach, North Weymouth, MA 02191",2191,North Weymouth,MA,3571.0,2.0,2.0,1300.0,,https://www.zillow.com/apartments/weymouth-ma/eastbay-at-weymouthport/63BLhD/,42.256424,-70.92326,,,,https://photos.zillowstatic.com/fp/a700c8397b11c195ceece5ce99feaf27-p_e.jpg,,
"The Regent, 1401 Beacon St, Brookline, MA 02446",2446,Brookline,MA,2799.0,1.0,1.0,,,https://www.zillow.com/apartments/brookline-ma/the-regent/ChWHbf/,42.340836,-71.12465,,,,https://photos.zillowstatic.com/fp/27f0733953091de04e0b645fe67faaac-p_e.jpg,,
