zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
448136268,FOR_RENT,Apartment for rent,,3245.0,1379.0,2.0,,,,,,2.0,2.0,"Plymouth Green District, 3425 Plymouth Rd, Ann Arbor, MI 48105",3425 Plymouth Rd #FD0D980FE,Ann Arbor,MI,48105,42.305416,-83.69451,,False,,,,
455528094,FOR_RENT,Apartment for rent,,950.0,600.0,2.0,,,,,,1.0,1.0,"18400 Lahser Rd, 18400 Lahser Rd, Detroit, MI 48219",18400 Lahser Rd #2231B160B,Detroit,MI,48219,42.423897,-83.25763,,False,,,,
455525286,FOR_RENT,Apartment for rent,,925.0,850.0,1.0,,,,,,2.0,1.0,"Legacy at Brookforest, 8150 Jackman Rd, Temperance, MI 48182",8150 Jackman Rd #11A1982C9,Temperance,MI,48182,41.763813,-83.58593,,False,,,,
455528253,FOR_RENT,Apartment for rent,,950.0,600.0,2.0,,,,,,1.0,1.0,"18350 Lahser Rd, 18350 Lahser Rd, Detroit, MI 48219",18350 Lahser Rd #AD3A6BCB0,Detroit,MI,48219,42.423492,-83.25761,,False,,,,
455340240,FOR_RENT,Apartment for rent,,1501.0,1078.0,1.0,,,,,,2.0,2.0,"Forest Hills Townhomes, 4600 Forest Hills Ln, Kalamazoo, MI 49006",4600 Forest Hills Ln #1AC6DD33A,Kalamazoo,MI,49006,42.274055,-85.64625,,False,,,,
455234071,FOR_RENT,Apartment for rent,,1250.0,683.0,2.0,,,,,,1.0,1.0,"Breton Grove, 2400 43rd St SE #404, Grand Rapids, MI 49508",2400 43rd St SE #404,Grand Rapids,MI,49508,42.88548,-85.609,,False,,,,
448041874,FOR_RENT,Apartment for rent,,2025.0,1365.0,1.0,,,,,,2.0,2.0,"Chestnut Woods, 1518 Elijah Ln, Howell, MI 48855",1518 Elijah Ln #DF6EE0C7B,Howell,MI,48855,42.62277,-83.967705,,False,,,,
2064338347,FOR_RENT,Apartment for rent,,1450.0,1078.0,1.0,,,1133.0,,,2.0,1.0,"The Hamilton, 5 Carter St #203, Pontiac, MI 48342",5 Carter St #203,Pontiac,MI,48342,42.639675,-83.29607,,False,,,,
454224292,FOR_RENT,Apartment for rent,,1800.0,670.0,3.0,,,,,,1.0,1.0,"Ho M Flats at 24 East, 717 E 24th St, Holland, MI 49423",717 E 24th St #703766361,Holland,MI,49423,42.776657,-86.07654,,False,,,,
451823641,FOR_RENT,Apartment for rent,,2078.0,300.0,7.0,,,,,,,1.0,"Detroit - Warren, 30125 N Civic Center Blvd, Warren, MI 48093",30125 N Civic Center Blvd #58,Warren,MI,48093,42.514633,-83.02574,,False,,,,
2064166446,FOR_RENT,Apartment for rent,,1794.0,1600.0,1.0,,,1816.0,,,2.0,2.0,"Legacy Place Apartments - Southfield, MI, 22490 Saratoga St #15-202, Southfield, MI 48075",22490 Saratoga St #15-202,Southfield,MI,48075,42.457592,-83.20836,,False,,,,
451122594,FOR_RENT,Apartment for rent,,1649.0,300.0,5.0,,,,,,,1.0,"Detroit - Novi - Orchard Hill Place, 39640 Orchard Hill Pl, Novi, MI 48375",39640 Orchard Hill Pl #4058,Novi,MI,48375,42.441055,-83.43925,,False,,,,
454519804,FOR_RENT,Apartment for rent,,1180.0,835.0,1.0,,,,,,2.0,1.0,"Waters Landing Apartments, 4070 Green Isle Way #314184-6, Saginaw, MI 48603",4070 Green Isle Way #314184-6,Saginaw,MI,48603,43.466537,-83.96381,,False,,,,
348913342,FOR_RENT,Apartment for rent,,2649.0,1560.0,2.0,,,2649.0,,,3.0,3.0,"Ivy Townhomes, 663 Jamie Vis, South Lyon, MI 48178",663 Jamie Vis #D786C4E0C,South Lyon,MI,48178,42.474586,-83.65902,,False,,,,
450198939,FOR_RENT,Apartment for rent,,1100.0,900.0,1.0,,,,,,2.0,1.0,"River Bend Apartments, 30500 Warren Rd, Westland, MI 48185",30500 Warren Rd #6D7071BE4,Westland,MI,48185,42.33692,-83.34521,,False,,,,
455514090,FOR_RENT,Apartment for rent,,1025.0,994.0,1.0,,,,,,2.0,1.0,"Osborn Commons, 215 Osborn Blvd #409, Sault Sainte Marie, MI 49783",215 Osborn Blvd #409,Sault Sainte Marie,MI,49783,46.50011,-84.34857,,False,,,,
451122954,FOR_RENT,Apartment for rent,,1529.0,300.0,5.0,,,,,,,1.0,"Detroit - Sterling Heights, 33400 Van Dyke Ave, Sterling Heights, MI 48312",33400 Van Dyke Ave #600,Sterling Heights,MI,48312,42.53998,-83.02733,,False,,,,
450660336,FOR_RENT,Apartment for rent,,4500.0,1100.0,4.0,,,,,,2.0,2.0,"The Villages at Flourish Collection, 3095 Blossom Ridge Blvd, Rochester, MI 48306",3095 Blossom Ridge Blvd #9572A3102,Rochester,MI,48306,42.71228,-83.198616,,False,,,,
450859854,FOR_RENT,Apartment for rent,,2118.0,300.0,7.0,,,,,,,1.0,"Detroit - Ann Arbor - University South, 3265 Boardwalk Dr, Ann Arbor, MI 48108",3265 Boardwalk Dr #4038,Ann Arbor,MI,48108,42.24136,-83.73224,,False,,,,
450857907,FOR_RENT,Apartment for rent,,2118.0,300.0,7.0,,,,,,,1.0,"Detroit - Ann Arbor - Briarwood Mall, 1501 Briarwood Cir, Ann Arbor, MI 48108",1501 Briarwood Cir #670,Ann Arbor,MI,48108,42.23894,-83.75208,,False,,,,
451122150,FOR_RENT,Apartment for rent,,1559.0,300.0,5.0,,,,,,,1.0,"Detroit - Novi - Haggerty Road, 21555 Haggerty Rd, Novi, MI 48375",21555 Haggerty Rd #680,Novi,MI,48375,42.44658,-83.434814,,False,,,,
448042844,FOR_RENT,Apartment for rent,,2350.0,1365.0,2.0,,,,,,2.0,2.0,"Chestnut Hills, 7063 Chestnut Hill Dr, Whitmore Lake, MI 48189",7063 Chestnut Hill Dr #CEEB4DBC9,Whitmore Lake,MI,48189,42.380722,-83.768005,,False,,,,
2078954027,FOR_RENT,Apartment for rent,,2065.0,1375.0,2.0,,,1929.0,,,2.0,3.0,"Preserve Townhomes, 14840 Cleveland St #16722, Spring Lake, MI 49456",14840 Cleveland St #16722,Spring Lake,MI,49456,43.07334,-86.157074,,False,,,,
450857828,FOR_RENT,Apartment for rent,,1499.0,300.0,5.0,,,,,,,1.0,"Detroit - Dearborn, 260 Town Center Dr, Dearborn, MI 48126",260 Town Center Dr #4198,Dearborn,MI,48126,42.320843,-83.221954,,False,,,,
2056481315,FOR_RENT,Apartment for rent,,2333.0,1785.0,1.0,,,2496.0,,,3.0,4.0,"Wexford Townhomes Of Novi, 29850 Wexford Blvd #30178, Novi, MI 48377",29850 Wexford Blvd #30178,Novi,MI,48377,42.512817,-83.4659,,False,,,,
402830573,FOR_RENT,Apartment for rent,,1039.0,,,,,,,,1.0,1.0,"Maple Grove Apartments, 1045 E Woodward Heights Blvd, Hazel Park, MI 48030",1045 E Woodward Heights Blvd #1B-1BA,Hazel Park,MI,48030,42.46925,-83.09496,,False,,,,
452765629,FOR_RENT,Apartment for rent,,2700.0,1560.0,2.0,,,,,,2.0,3.0,"The Townes at Harlo, 301 E Irving Ave #207, Madison Heights, MI 48071",301 E Irving Ave #207,Madison Heights,MI,48071,42.523148,-83.10413,,False,,,,
451122783,FOR_RENT,Apartment for rent,,1559.0,300.0,5.0,,,,,,,1.0,"Detroit - Roseville, 20200 E Thirteen Mile Rd, Roseville, MI 48066",20200 E Thirteen Mile Rd #4193,Roseville,MI,48066,42.524063,-82.9152,,False,,,,
2057994236,FOR_RENT,House for rent,,2263.0,1294.0,2.0,354900.0,274.0,1980.0,,,2.0,2.0,"Redwood Cascade Township, 2697 Mohican Ave #2653TU, Grand Rapids, MI 49546",2697 Mohican Ave #2653TU,Grand Rapids,MI,49546,42.915245,-85.52358,,False,,,,
451122662,FOR_RENT,Apartment for rent,,2160.0,300.0,7.0,,,,,,,1.0,"Detroit - Rochester Hills, 3576 Marketplace Cir, Rochester, MI 48309",3576 Marketplace Cir #8041,Rochester,MI,48309,42.643818,-83.203735,,False,,,,
448993222,FOR_RENT,Apartment for rent,,2595.0,2470.0,1.0,,,,,,3.0,2.0,"Olde Farm Estates, 3055 W Sterns Rd, Lambertville, MI 48144",3055 W Sterns Rd #775EDA19E,Lambertville,MI,48144,41.748295,-83.62032,,False,,,,
448908601,FOR_RENT,Apartment for rent,,941.0,500.0,2.0,,,,,,1.0,1.0,"Roberts III Apartments, 3901 Grand River Ave, Detroit, MI 48208",3901 Grand River Ave #1827D7948,Detroit,MI,48208,42.34325,-83.07743,,False,,,,
450782537,FOR_RENT,Apartment for rent,,950.0,900.0,1.0,,,,,,2.0,1.0,"Holiday Venture, 1250 Josephine Ct #2HV, Monroe, MI 48162",1250 Josephine Ct #2HV,Monroe,MI,48162,41.939163,-83.4088,,False,,,,
453300284,FOR_RENT,Townhouse for rent,,2220.0,1378.0,2.0,325300.0,236.0,,,,2.0,3.0,"Village at Thirteen Hundred, 1300 Three Mile Rd NE, Grand Rapids, MI 49505",1300 Three Mile Rd NE #5671541,Grand Rapids,MI,49505,43.012615,-85.636665,,False,,,,
404791046,FOR_RENT,Apartment for rent,,1039.0,743.0,1.0,,,,,,1.0,1.0,"The Uptowne Apartments, 238 W Saginaw St, East Lansing, MI 48823",238 W Saginaw St #4350715,East Lansing,MI,48823,42.746986,-84.486176,,False,,,,
453822767,FOR_RENT,Apartment for rent,,1699.0,950.0,2.0,,,,,,1.0,1.0,"Grand Summit Apartments, 1199 E Grand Blanc Rd, Grand Blanc, MI 48439",1199 E Grand Blanc Rd #9CE183EE7,Grand Blanc,MI,48439,42.915718,-83.68535,,False,,,,
448980010,FOR_RENT,Apartment for rent,,1160.0,900.0,1.0,,,,,,2.0,1.0,"Westchester Towers Apartments, 35700 E Michigan Ave, Wayne, MI 48184",35700 E Michigan Ave #20ABD814A,Wayne,MI,48184,42.2804,-83.39172,,False,,,,
