zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
455241710,FOR_RENT,Apartment for rent,,1135.0,700.0,2.0,,,,,,1.0,1.0,"Crest Oak, 9900 & 9930 Bluebird St NW #9900-308, Minneapolis, MN 55433",9900 & 9930 Bluebird St NW #9900-308,Minneapolis,MN,55433,45.15014,-93.3042,,False,,,,
452225771,FOR_RENT,Apartment for rent,,1559.0,300.0,5.0,,,,,,,1.0,"Minneapolis - Woodbury, 10020 Hudson Rd, Saint Paul, MN 55129",10020 Hudson Rd #3508,Saint Paul,MN,55129,44.9466,-92.90246,,False,,,,
402659523,FOR_RENT,Apartment for rent,,4595.0,1415.0,3.0,,,,,,2.0,2.0,"51 France | Boutique Living, 5125 France Ave S #108, Minneapolis, MN 55410",5125 France Ave S #108,Minneapolis,MN,55410,44.910324,-93.329285,,False,,,,
455526622,FOR_RENT,Apartment for rent,,915.0,470.0,2.0,,,,,,,1.0,"Colfax Apartments | 3500, 3500 Colfax Ave S, Minneapolis, MN 55408",3500 Colfax Ave S #8D123D346,Minneapolis,MN,55408,44.939377,-93.29237,,False,,,,
453167689,FOR_RENT,Apartment for rent,,2075.0,1261.0,2.0,,,,,,2.0,2.0,"Astor Place of Edina, 6455 York Ave S, Minneapolis, MN 55435",6455 York Ave S #409201683,Minneapolis,MN,55435,44.885887,-93.32008,,False,,,,
452765009,FOR_RENT,Apartment for rent,,2769.0,1230.0,2.0,,,,,,2.0,2.0,"The Elmwood, 5605 36th St W UNIT 400, Minneapolis, MN 55416",5605 36th St W UNIT 400,Minneapolis,MN,55416,44.937542,-93.350464,,False,,,,
2069185154,FOR_RENT,Apartment for rent,,3750.0,1227.0,3.0,,,2454.0,,,2.0,2.0,"View 44, 4425 Valley View Rd #303, Minneapolis, MN 55424",4425 Valley View Rd #303,Minneapolis,MN,55424,44.891094,-93.33822,,False,,,,
449038989,FOR_RENT,Apartment for rent,,1680.0,723.0,2.0,,,,,,1.0,1.0,"Parallel Apartments, 1415 County Road B W #119, Saint Paul, MN 55113",1415 County Road B W #119,Saint Paul,MN,55113,45.006794,-93.159904,,False,,,,
455323653,FOR_RENT,Apartment for rent,,1995.0,2000.0,1.0,,,,,,3.0,2.0,"Cottages of Edina, 5180 Lincoln Dr #40, Minneapolis, MN 55436",5180 Lincoln Dr #40,Minneapolis,MN,55436,44.910297,-93.39919,,False,,,,
452244308,FOR_RENT,Apartment for rent,,2145.0,300.0,7.0,,,,,,,1.0,"Minneapolis - Eden Prairie - Technology Drive, 11905 Technology Dr, Eden Prairie, MN 55344",11905 Technology Dr #9671,Eden Prairie,MN,55344,44.86171,-93.428345,,False,,,,
