zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
455245572,FOR_RENT,Apartment for rent,,1395.0,900.0,2.0,,,,,,2.0,2.0,"Palmetto Place Apartments, 8701 Old Spanish Trl, Ocean Springs, MS 39564",8701 Old Spanish Trl #CE792BE3A,Ocean Springs,MS,39564,30.395107,-88.7544,,False,,,,
448908045,FOR_RENT,Apartment for rent,,1129.0,757.0,1.0,,,,,,1.0,1.0,"Arbor Village, 1525 E Pass Rd, Gulfport, MS 39507",1525 E Pass Rd #12C255700,Gulfport,MS,39507,30.398138,-89.023315,,False,,,,
449348785,FOR_RENT,Apartment for rent,,1199.0,923.0,1.0,,,,,,1.0,1.0,"Arbor Station Long Beach, 1000 Arbor Station Dr, Long Beach, MS 39560",1000 Arbor Station Dr #236804CE8,Long Beach,MS,39560,30.339214,-89.176506,,False,,,,
349537931,FOR_RENT,Apartment for rent,,1740.0,1192.0,1.0,,,1757.0,,,2.0,2.0,"Lexington Pointe Apartment Homes, 2000 Lexington Pointe #4H, Oxford, MS 38655",2000 Lexington Pointe #4H,Oxford,MS,38655,34.364613,-89.56059,,False,,,,
452284722,FOR_RENT,Apartment for rent,,1199.0,300.0,4.0,,,,,,,1.0,"Jackson - North, 5354 Interstate Highway 55 N, Jackson, MS 39211",5354 Interstate Highway 55 N #331,Jackson,MS,39211,32.37277,-90.1473,,False,,,,
450811964,FOR_RENT,Apartment for rent,,989.0,840.0,1.0,,,,,,2.0,2.0,"Belhaven Gardens, 731 N Jefferson St #B23, Jackson, MS 39202",731 N Jefferson St #B23,Jackson,MS,39202,32.30726,-90.17648,,False,,,,
450092847,FOR_RENT,Apartment for rent,,1019.0,300.0,3.0,,,,,,,1.0,"Gulfport, 8420 Highway 49, Gulfport, MS 39501",8420 Highway 49 #8089,Gulfport,MS,39501,30.410198,-89.09212,,False,,,,
453295775,FOR_RENT,House for rent,,1000.0,840.0,1.0,90600.0,108.0,,,,2.0,1.0,"104 Pine Dr, Shannon, MS 38868",104 Pine Dr,Shannon,MS,38868,34.10522,-88.68004,,False,,,,
452811106,FOR_RENT,Apartment for rent,,850.0,875.0,1.0,,,,,,2.0,2.0,"501 N Church St APT 16, Okolona, MS 38860",501 N Church St APT 16,Okolona,MS,38860,34.01326,-88.75641,,False,,,,
453581017,FOR_RENT,Apartment for rent,,1095.0,,,,,,,,2.0,2.0,"1446 N Feemster Lake Rd #9, Tupelo, MS 38804",1446 N Feemster Lake Rd #9,Tupelo,MS,38804,34.27234,-88.64774,,False,,,,
