zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
450869366,FOR_RENT,Apartment for rent,,1199.0,300.0,4.0,,,,,,,1.0,"Springfield - South, 1333 E Kingsley St, Springfield, MO 65804",1333 E Kingsley St #701,Springfield,MO,65804,37.14072,-93.27436,,False,,,,
450468917,FOR_RENT,Apartment for rent,,1040.0,400.0,3.0,,,,,,,1.0,"Holiday Apartments, 115 NW Harlem Rd, Kansas City, MO 64116",115 NW Harlem Rd #42723B7AF,Kansas City,MO,64116,39.11659,-94.588524,,False,,,,
450869592,FOR_RENT,Apartment for rent,,1529.0,300.0,5.0,,,,,,,1.0,"St. Louis - Earth City, 3125 Rider Trl S, Earth City, MO 63045",3125 Rider Trl S #40,Earth City,MO,63045,38.754498,-90.45007,,False,,,,
455212015,FOR_RENT,Apartment for rent,,1195.0,490.0,2.0,,,,,,1.0,1.0,"The Square on Delmar, 8331 Delcrest Dr #8352, Saint Louis, MO 63124",8331 Delcrest Dr #8352,Saint Louis,MO,63124,38.659367,-90.3527,,False,,,,
452299695,FOR_RENT,Apartment for rent,,1785.0,300.0,6.0,,,,,,,1.0,"Kansas City - Stadium, 8805 Leeds Rd, Kansas City, MO 64129",8805 Leeds Rd #8091,Kansas City,MO,64129,39.05543,-94.4794,,False,,,,
450869448,FOR_RENT,Apartment for rent,,1169.0,300.0,4.0,,,,,,,1.0,"Springfield - South - Battlefield, 2021 W Kingsley St, Springfield, MO 65807",2021 W Kingsley St #8045,Springfield,MO,65807,37.141106,-93.321266,,False,,,,
455311361,FOR_RENT,Apartment for rent,,1130.0,1000.0,1.0,,,,,,2.0,2.0,"Devling Place Apartments, 3622 NE Chouteau Trafficway #3624-B, Kansas City, MO 64117",3622 NE Chouteau Trafficway #3624-B,Kansas City,MO,64117,39.16115,-94.53444,,False,,,,
450869750,FOR_RENT,Apartment for rent,,1799.0,300.0,6.0,,,,,,,1.0,"St. Louis - Westport - Central, 12161 Lackland Rd, Saint Louis, MO 63146",12161 Lackland Rd #9675,Saint Louis,MO,63146,38.697166,-90.447556,,False,,,,
455440992,FOR_RENT,Apartment for rent,,1050.0,973.0,1.0,,,,,,2.0,1.0,"The Averie by Haltere, 6012 Madison Ave #6058C, Saint Louis, MO 63134",6012 Madison Ave #6058C,Saint Louis,MO,63134,38.746674,-90.334274,,False,,,,
449990679,FOR_RENT,Apartment for rent,,1037.0,625.0,2.0,,,,,,1.0,1.0,"26th Street Station, 2600 Harrison St, Kansas City, MO 64108",2600 Harrison St #606C62EED,Kansas City,MO,64108,39.078682,-94.572586,,False,,,,
2073022082,FOR_RENT,Apartment for rent,,1625.0,672.0,2.0,,,1194.0,,,1.0,1.0,"Argyle, 2 Maryland Plz #6-3E, Saint Louis, MO 63108",2 Maryland Plz #6-3E,Saint Louis,MO,63108,38.644543,-90.26182,,False,,,,
454181524,FOR_RENT,Apartment for rent,,1070.0,1120.0,1.0,,,,,,2.0,2.0,"Logan Heights, 707 W Center St #322, Rogersville, MO 65742",707 W Center St #322,Rogersville,MO,65742,37.118465,-93.07688,,False,,,,
455245639,FOR_RENT,Apartment for rent,,615.0,415.0,1.0,,,,,,1.0,1.0,"181 Killdeer Circle, 181 Killdeer Cir #1, Moscow Mills, MO 63362",181 Killdeer Cir #1,Moscow Mills,MO,63362,38.903057,-90.91699,,False,,,,
448757313,FOR_RENT,Apartment for rent,,885.0,600.0,1.0,,,,,,1.0,1.0,"Rockhill Gallery Apartments, 4602 Campbell St, Kansas City, MO 64110",4602 Campbell St #C0B6ECE3F,Kansas City,MO,64110,39.043346,-94.57548,,False,,,,
453625516,FOR_RENT,Apartment for rent,,1500.0,700.0,2.0,,,,,,1.0,1.0,"Treetop Apartments, 3202-3402 E Fairway Dr, Coeur D Alene, ID 83815",3202-3402 E Fairway Dr #2218575AE,Coeur D Alene,ID,83815,38.566162,-90.52218,,False,,,,
453210694,FOR_RENT,Apartment for rent,,1300.0,510.0,3.0,,,,,,1.0,1.0,"West Pine Apartments, 4245 W Pine Blvd, Saint Louis, MO 63108",4245 W Pine Blvd #8572DDFED,Saint Louis,MO,63108,38.639736,-90.250145,,False,,,,
455216086,FOR_RENT,Apartment for rent,,1000.0,,,,,,,,2.0,2.0,"Westlake, 11925 S Two Mile Rd, Dexter, MO 63841",11925 S Two Mile Rd #361B8C12C,Dexter,MO,63841,36.788185,-89.98948,,False,,,,
341536269,FOR_RENT,Apartment for rent,,1800.0,1540.0,1.0,,,2112.0,,,2.0,3.0,"Parkway Oaks Townhomes and Duplexes, 2200 NW 56th Ter #2BDRMTOWNHOME, Kansas City, MO 64151",2200 NW 56th Ter #2BDRMTOWNHOME,Kansas City,MO,64151,39.19709,-94.60626,,False,,,,
450424091,FOR_RENT,Apartment for rent,,792.0,575.0,1.0,,,,,,1.0,1.0,"Princeton Manor Apartments, 2610 Princeton Rd, Trenton, MO 64683",2610 Princeton Rd #91E9E93B8,Trenton,MO,64683,40.089172,-93.60692,,False,,,,
450092964,FOR_RENT,Apartment for rent,,1349.0,300.0,4.0,,,,,,,1.0,"Columbia - Stadium Blvd., 2000 W Bussiness Loop, Columbia, MO 65203",2000 W Bussiness Loop #6196,Columbia,MO,65203,38.96788,-92.3682,,False,,,,
443324212,FOR_RENT,Apartment for rent,,1095.0,900.0,1.0,,,,,,2.0,1.0,"Atherton Apartments, 8435-8449 Atherton Dr, Saint Louis, MO 63130",8435-8449 Atherton Dr #2B-1BA-900SQFT,Saint Louis,MO,63130,38.684246,-90.33823,,False,,,,
449586232,FOR_RENT,Apartment for rent,,1250.0,996.0,1.0,,,,,,2.0,2.0,"Avion Ridge, 1778 Richardson Rd, Arnold, MO 63010",1778 Richardson Rd #EA1EC89B5,Arnold,MO,63010,38.40989,-90.379295,,False,,,,
