zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
2080939045,FOR_RENT,Apartment for rent,,1473.0,745.0,2.0,,,1268.0,,,2.0,1.0,"Rock Creek, 2323 32nd St W APT 24, Billings, MT 59102",2323 32nd St W APT 24,Billings,MT,59102,45.79356,-108.59367,,False,,,,
450251486,FOR_RENT,Apartment for rent,,1075.0,700.0,2.0,,,,,,2.0,1.0,"Phoenix On 10th, 1800 9th Ave S, Great Falls, MT 59405",1800 9th Ave S #09C3D0890,Great Falls,MT,59405,47.49515,-111.27631,,False,,,,
452160559,FOR_RENT,Apartment for rent,,1799.0,300.0,6.0,,,,,,,1.0,"Billings - West End, 4950 Southgate Dr, Billings, MT 59101",4950 Southgate Dr #7065,Billings,MT,59101,45.75306,-108.54096,,False,,,,
443287791,FOR_RENT,Apartment for rent,,250.0,650.0,0.0,,,,,,1.0,1.0,"Nemont Manor Senior Apartments, 1100 4th Ave S, Glasgow, MT 59230",1100 4th Ave S #1B-1BA-650SQFT,Glasgow,MT,59230,48.19557,-106.64793,,False,,,,
455163227,FOR_RENT,Apartment for rent,,1195.0,660.0,2.0,,,,,,1.0,1.0,"Porter Apts, 107 4710th Expy, Missoula, MT 59808",107 4710th Expy,Missoula,MT,59808,46.91493,-114.061676,,False,,,,
351585054,FOR_RENT,Apartment for rent,,2025.0,1023.0,2.0,,,1834.0,,,2.0,2.0,"Millhouse East + West, 5242 Fallon St #5290-200, Bozeman, MT 59718",5242 Fallon St #5290-200,Bozeman,MT,59718,45.674873,-111.10908,,False,,,,
447179178,FOR_RENT,Apartment for rent,,1471.0,879.0,2.0,,,,,,2.0,1.0,"Castlebar Apartments, 1201 N 25th Ave, Bozeman, MT 59718",1201 N 25th Ave #CBE610C4D,Bozeman,MT,59718,45.69175,-111.07158,,False,,,,
452165795,FOR_RENT,Apartment for rent,,2455.0,300.0,8.0,,,,,,,1.0,"Great Falls - Missouri River, 800 River Dr S, Great Falls, MT 59405",800 River Dr S #7068,Great Falls,MT,59405,47.4963,-111.30803,,False,,,,
2057143546,FOR_RENT,Apartment for rent,,1550.0,850.0,2.0,,,1522.0,,,2.0,1.0,"American Way Apartments, 3520-3530 American Way #3520-205, Missoula, MT 59808",3520-3530 American Way #3520-205,Missoula,MT,59808,46.89082,-114.046074,,False,,,,
455557090,FOR_RENT,Apartment for rent,,1195.0,825.0,1.0,,,,,,2.0,1.0,"Midtown Apartments, 555 S Catlin St, Missoula, MT 59801",555 S Catlin St #M2BD,Missoula,MT,59801,46.866318,-114.02335,,False,,,,
