zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
452951040,FOR_RENT,Apartment for rent,,1695.0,1027.0,2.0,,,,,,2.0,2.0,"Concord Villas, 1113 N Claude Rd #56, Grand Island, NE 68803",1113 N Claude Rd #56,Grand Island,NE,68803,40.92931,-98.387665,Arrow Property Management,False,,,,
450865760,FOR_RENT,Apartment for rent,,1485.0,300.0,5.0,,,,,,,1.0,"Omaha - West, 9006 Burt St, Omaha, NE 68114",9006 Burt St #54,Omaha,NE,68114,41.26739,-96.05337,,False,,,,
450865515,FOR_RENT,Apartment for rent,,1079.0,300.0,4.0,,,,,,,1.0,"Omaha - Southwest, 6855 S 118th St, Omaha, NE 68137",6855 S 118th St #8046,Omaha,NE,68137,41.19111,-96.09727,,False,,,,
2096339036,FOR_RENT,Apartment for rent,,1640.0,1090.0,2.0,,,1448.0,,,2.0,1.0,"The Helen, 617 S 31st St APT 309, Omaha, NE 68105",617 S 31st St APT 309,Omaha,NE,68105,41.253624,-95.95744,CIP Communities,False,,,,
450112658,FOR_RENT,Apartment for rent,,919.0,680.0,1.0,,,,,,1.0,1.0,"Montclair Place, 13407 Montclair Dr #13411-12, Omaha, NE 68144",13407 Montclair Dr #13411-12,Omaha,NE,68144,41.237984,-96.123055,Elevate Property Management,False,,,,
2053538794,FOR_RENT,Apartment for rent,,1205.0,715.0,2.0,,,1141.0,,,1.0,1.0,"Sunrise Gardens - Senior Living, 825 N Cotner Blvd #305, Lincoln, NE 68505",825 N Cotner Blvd #305,Lincoln,NE,68505,40.821644,-96.63507,Lund Living,False,,,,
448974373,FOR_RENT,Apartment for rent,,1000.0,,,,,,,,1.0,1.0,"Irvington Heights, 6704 Irvington Rd, Omaha, NE 68122",6704 Irvington Rd #25A267AD5,Omaha,NE,68122,41.31998,-96.05265,,False,,,,
455086470,FOR_RENT,Apartment for rent,,1740.0,1213.0,1.0,,,,,,2.0,2.0,"Crown Park by Broadmoor, 7930 Elm Plz #5201, Omaha, NE 68124",7930 Elm Plz #5201,Omaha,NE,68124,41.232834,-96.03568,Broadmoor Development,False,,,,
448974605,FOR_RENT,Apartment for rent,,950.0,,,,,,,,1.0,1.0,"Cimarron Terrace Apartments - Phase II, 9852 Josephine Ct, La Vista, NE 68128",9852 Josephine Ct #99DA454E6,La Vista,NE,68128,41.1901,-96.06453,,False,,,,
455084553,FOR_RENT,Apartment for rent,,1025.0,656.0,2.0,,,,,,1.0,1.0,"Gatehouse Rows, 400 N 36th St, Lincoln, NE 68503",400 N 36th St #CEEFF755F,Lincoln,NE,68503,40.81741,-96.668655,,False,,,,
453282355,FOR_RENT,Apartment for rent,,1035.0,685.0,2.0,,,,,,1.0,1.0,"Huntington Park, 623 Fenwick Dr #0, Papillion, NE 68046",623 Fenwick Dr #0,Papillion,NE,68046,41.136444,-96.03551,,False,,,,
376995920,FOR_RENT,Apartment for rent,,1525.0,1315.0,1.0,,,1505.0,,,3.0,2.0,"Park41 Apartments, 4121 Normal Blvd #4131-22, Lincoln, NE 68506",4121 Normal Blvd #4131-22,Lincoln,NE,68506,40.789658,-96.661606,"Red Prairie Management, LLC",False,,,,
