address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"6335 Annie Oakley Dr, Las Vegas, NV 89120",89120,Las Vegas,NV,1600,2.0,2,1200.0,1.33,https://zillow.com/apartments/las-vegas-nv/mesa-verde-apartments/5Xhwrp/,36.07346,-115.0887,APARTMENT,,,https://photos.zillowstatic.com/fp/1ba264d7c42af844ecdbae81a3ae3904-p_e.jpg,,
"8445 Las Vegas Blvd S, Las Vegas, NV 89123",89123,Las Vegas,NV,1400,1.0,1,740.0,1.89,https://zillow.com/apartments/las-vegas-nv/diamond-sands-apartments/5Xhwp2/,36.036373,-115.17337,APARTMENT,,,https://photos.zillowstatic.com/fp/7c7f3d2a7c715f77c3e07cb8d4b6e6e7-p_e.jpg,,
"5090 Kell Ln, Las Vegas, NV 89115",89115,Las Vegas,NV,1500,2.0,2,1004.0,1.49,https://zillow.com/apartments/las-vegas-nv/pacific-palms-apartment-homes/5Xp3yg/,36.19306,-115.06292,APARTMENT,,,https://photos.zillowstatic.com/fp/57bb4f0d19c1b00ff4136cd648680689-p_e.jpg,,
"1600 Queen Victoria St #17-203, Las Vegas, NV 89144",89144,Las Vegas,NV,1820,2.0,2,1104.0,1.65,https://zillow.com/b/carlisle-at-summerlin-las-vegas-nv-5XhwmX/,36.190075,-115.31919,APARTMENT,,1785.0,https://photos.zillowstatic.com/fp/1119cea9170040d054947799e5fa7521-p_e.jpg,,
"5025 Kell Ln, Las Vegas, NV 89115",89115,Las Vegas,NV,1500,2.0,2,983.0,1.53,https://zillow.com/apartments/las-vegas-nv/sunrise-park-condominiums/5ZqNSs/,36.19113,-115.064125,APARTMENT,,,https://photos.zillowstatic.com/fp/17bd19835315ba24590d3a90d2694510-p_e.jpg,,
"1700 E Viking Rd APT 125, Las Vegas, NV 89119",89119,Las Vegas,NV,1695,2.0,2,1085.0,1.56,https://zillow.com/apartments/las-vegas-nv/the-cove/5Xqcvx/,36.118732,-115.129486,APARTMENT,,,https://photos.zillowstatic.com/fp/0a10e6e0259033c83cbbc759ace7e551-p_e.jpg,,
"3600 El Conlon Ave #100, Las Vegas, NV 89102",89102,Las Vegas,NV,1200,1.0,1,560.0,2.14,https://zillow.com/apartments/las-vegas-nv/sahara-view-apartments/5Xhwqx/,36.14287,-115.18907,APARTMENT,,,https://photos.zillowstatic.com/fp/35bebd0adb99d8afa9d2eefa15543f5e-p_e.jpg,,
"231 N 11th St, Las Vegas, NV 89101",89101,Las Vegas,NV,1243,,1,480.0,2.59,https://zillow.com/apartments/las-vegas-nv/sharedowntown-fremont-east-district/CkCf8W/,36.1682,-115.13213,APARTMENT,,1301.0,https://photos.zillowstatic.com/fp/85c8c8cb7a29e833134cdae27f15c5f1-p_e.jpg,,
"600 Christina Dr UNIT 306, Boulder City, NV 89005",89005,Boulder City,NV,1195,1.0,1,700.0,1.71,https://zillow.com/apartments/boulder-city-nv/capri-35-lp/5Yy8z2/,35.966393,-114.832855,APARTMENT,,,https://photos.zillowstatic.com/fp/ee173bcf83f2dd9d784e21dd5bb6031a-p_e.jpg,,
"150 Hoover Ave, Las Vegas, NV 89101",89101,Las Vegas,NV,899,,1,260.0,3.46,https://zillow.com/apartments/las-vegas-nv/revive-arts-district/5Xxcmj/,36.1617,-115.15012,APARTMENT,,970.0,https://photos.zillowstatic.com/fp/549e7b1ff51796ca69aacc841f8cf9eb-p_e.jpg,,
"5955 Nuevo Leon St LOT 11, North Las Vegas, NV 89031",89031,North Las Vegas,NV,1700,2.0,3,1209.0,1.41,https://zillow.com/apartments/north-las-vegas-nv/palmilla-townhomes/5Xhwnv/,36.268215,-115.20056,APARTMENT,270100.0,1537.0,https://photos.zillowstatic.com/fp/761ff15f6afce358954ac5628f564085-p_e.jpg,,
"114 E Bonanza Rd #17, Las Vegas, NV 89101",89101,Las Vegas,NV,799,,1,240.0,3.33,https://zillow.com/apartments/las-vegas-nv/portal-on-bonanza/CkhgFQ/,36.17636,-115.1411,APARTMENT,,,https://photos.zillowstatic.com/fp/36a74cb53b85659acf94ce25139647a5-p_e.jpg,,
"915 S Casino Center Blvd, Las Vegas, NV 89101",89101,Las Vegas,NV,949,,1,260.0,3.65,https://zillow.com/apartments/las-vegas-nv/groov-studios/CjhmVN/,36.16089,-115.15013,APARTMENT,,970.0,https://photos.zillowstatic.com/fp/18164847161f5e557bd543b22bddd26a-p_e.jpg,,
"4050 Palos Verdes St APT 11, Las Vegas, NV 89119",89119,Las Vegas,NV,990,,1,413.0,2.4,https://zillow.com/apartments/las-vegas-nv/americana/5XhwfC/,36.11565,-115.14979,APARTMENT,,,https://photos.zillowstatic.com/fp/4951fab63f3494befda2753a4bccce38-p_e.jpg,,
"3663 S Valley View Blvd #309, Las Vegas, NV 89103",89103,Las Vegas,NV,1075,1.0,1,650.0,1.65,https://zillow.com/apartments/las-vegas-nv/rancho-vista/5Xhwq6/,36.12374,-115.19101,APARTMENT,,,https://photos.zillowstatic.com/fp/ee5304ae76213e074a2f1c3a0f1a40c1-p_e.jpg,,
"629 S Main St, Las Vegas, NV 89101",89101,Las Vegas,NV,795,,1,308.0,2.58,https://zillow.com/apartments/las-vegas-nv/studio-629/5Xhwsf/,36.16503,-115.15024,APARTMENT,,,https://photos.zillowstatic.com/fp/2f75ca45f0744863ff41b98960985910-p_e.jpg,,
"98 S Martin Luther King Blvd APT 163, Las Vegas, NV 89106",89106,Las Vegas,NV,1515,3.0,2,1050.0,1.44,https://zillow.com/apartments/las-vegas-nv/park-at-spring-valley/5Xr6T2/,36.174397,-115.16311,APARTMENT,,1510.0,https://photos.zillowstatic.com/fp/f03079df0ce2f8e62329d3f3476801a9-p_e.jpg,,
"221 S Bruce St, Las Vegas, NV 89101",89101,Las Vegas,NV,850,1.0,1,,,https://zillow.com/apartments/las-vegas-nv/maverick-apartments/5Xhws3/,36.16034,-115.12442,APARTMENT,,,https://photos.zillowstatic.com/fp/0de4540818afbf07f85102adff297ba1-p_e.jpg,,
"1525 Pinto Ln, Las Vegas, NV 89106",89106,Las Vegas,NV,1399,2.0,1,875.0,1.6,https://zillow.com/apartments/las-vegas-nv/revive-medical-district/5Yy8Dr/,36.16409,-115.16293,APARTMENT,,1465.0,https://photos.zillowstatic.com/fp/ba8513cd0061e5babee71db0e9da014f-p_e.jpg,,
"5055 Jeffreys St #1AUCMEY, Las Vegas, NV 89119",89119,Las Vegas,NV,960,1.0,1,600.0,1.6,https://zillow.com/apartments/las-vegas-nv/reno-villas/5XhwqF/,36.09747,-115.12159,APARTMENT,,,https://photos.zillowstatic.com/fp/07542a93f88627a866ab898410da5f7f-p_e.jpg,,
"3540 N Hualapai Way #9129, Las Vegas, NV 89129",89129,Las Vegas,NV,1900,4.0,3,1636.0,1.16,https://zillow.com/apartments/las-vegas-nv/gleneagles-village/5XhwxJ/,36.224712,-115.31486,APARTMENT,,,https://photos.zillowstatic.com/fp/e3b710bb91405d87b77f2b205670ac3d-p_e.jpg,,
"1701 N Rancho Dr APT 27, Las Vegas, NV 89106",89106,Las Vegas,NV,1395,2.0,2,875.0,1.59,https://zillow.com/apartments/las-vegas-nv/cora-apartments/CkBcS4/,36.190884,-115.18872,APARTMENT,,1212.0,https://photos.zillowstatic.com/fp/2452f276d29abbff69da076bd8c33aab-p_e.jpg,,
"8400 Wandering Sun Ave, Las Vegas, NV 89129",89129,Las Vegas,NV,1895,3.0,3,1524.0,1.24,https://zillow.com/homedetails/8400-Wandering-Sun-Ave-Las-Vegas-NV-89129/6927899_zpid/,36.22444,-115.275734,TOWNHOUSE,344800.0,1929.0,https://photos.zillowstatic.com/fp/5a3a8f391a9cd0e2e51e8957ce8482da-p_e.jpg,,
"1 Twelve Pins Dr, Las Vegas, NV 89129",89129,Las Vegas,NV,2875,3.0,3,2300.0,1.25,https://zillow.com/homedetails/1-Twelve-Pins-Dr-Las-Vegas-NV-89129/455383221_zpid/,36.225777,-115.30143,SINGLE_FAMILY,,,https://photos.zillowstatic.com/fp/bd25fcc7667924fc42568f71c4ea4d2e-p_e.jpg,,
