address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"Lofts at Jefferson Mill, 670 N Commercial St #10, Manchester, NH 03101",3101,Manchester,NH,2310.0,2.0,1.0,875.0,,https://www.zillow.com/apartments/manchester-nh/lofts-at-jefferson-mill/9VnkcS/,42.997917,-71.46799,,,,https://photos.zillowstatic.com/fp/abd531f17008b8a4c3dc0464e074aef1-p_e.jpg,,
"Hollis Commons, 30 Cherry St, Concord, NH 03301",3301,Concord,NH,2151.0,2.0,1.0,1050.0,,https://www.zillow.com/apartments/concord-nh/hollis-commons/5Xrbdy/,43.19761,-71.50574,,,,https://photos.zillowstatic.com/fp/05554254318e7c28d20304bc2a4ddc1c-p_e.jpg,,
"Portland Place, 44 Portland Ave UNIT 16, Dover, NH 03820",3820,Dover,NH,2604.0,3.0,2.0,1600.0,,https://www.zillow.com/apartments/dover-nh/portland-place/ChTXsX/,43.19778,-70.87081,,,,https://photos.zillowstatic.com/fp/85e894953c17dae35752170fd1df39cd-p_e.jpg,,
"Meadowbrook Village, 4 Highland Ave, West Lebanon, NH 03784",3784,West Lebanon,NH,1671.0,2.0,1.0,778.0,,https://www.zillow.com/apartments/west-lebanon-nh/meadowbrook-village/65ZMqn/,43.64874,-72.30179,,,,https://photos.zillowstatic.com/fp/450424e3a0e9e46faa2979b67a30977a-p_e.jpg,,
"Wood Edge, 1445 Bodwell Rd APT 6, Manchester, NH 03109",3109,Manchester,NH,1872.0,2.0,1.0,650.0,,https://www.zillow.com/apartments/manchester-nh/wood-edge/5XjV7Z/,42.948303,-71.391556,,203000.0,,https://photos.zillowstatic.com/fp/07e704536507fd2fcaeae1aceeece58c-p_e.jpg,,
"Eastern Trails Apartments and Storage, 29 Capron Rd APT 49, Milford, NH 03055",3055,Milford,NH,1958.0,2.0,1.0,875.0,,https://www.zillow.com/apartments/milford-nh/eastern-trails-apartments-and-storage/5XjPdw/,42.820793,-71.626465,,,,https://photos.zillowstatic.com/fp/34e53dcdc9580eea8b6cf39d97987ccf-p_e.jpg,,
"Riverview Apartments, 111 Hancock Rd, Peterborough, NH 03458",3458,Peterborough,NH,1341.0,1.0,1.0,550.0,,https://www.zillow.com/apartments/peterborough-nh/riverview-apartments/CjjCQz/,42.906693,-71.93725,,,,https://photos.zillowstatic.com/fp/0e334b74e0b93998b4aeb9e18caf32f0-p_e.jpg,,
"Chelmsford Hardy Place, 14 South Ave APT 218, Derry, NH 03038",3038,Derry,NH,1641.0,1.0,1.0,600.0,,https://www.zillow.com/apartments/derry-nh/chelmsford-hardy-place/Ck8YXM/,42.87728,-71.32423,,,,https://photos.zillowstatic.com/fp/8ad82fc0b89cccabe388a7b1bbef4ee8-p_e.jpg,,
"Oak Creek - A Beautiful Place to Live, 72 Maplewood Ln, Concord, NH 03303",3303,Concord,NH,1888.0,2.0,1.0,850.0,,https://www.zillow.com/apartments/concord-nh/oak-creek-a-beautiful-place-to-live/5ZGLYP/,43.27074,-71.59799,,,,https://photos.zillowstatic.com/fp/cbf9772557ef332f24aa46d72efcbe94-p_e.jpg,,
"Oak Terrace Townhomes, 8 Oak Ter, Dover, NH 03820",3820,Dover,NH,2400.0,2.0,2.0,1100.0,,https://www.zillow.com/apartments/dover-nh/oak-terrace-townhomes/CjjCSM/,43.208237,-70.87365,,,,https://photos.zillowstatic.com/fp/84710c845622d79a4ab4deccd4fb9fcc-p_e.jpg,,
