zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
453085573,FOR_RENT,Apartment for rent,,3715.0,1388.0,3.0,,,,,,2.0,2.0,"The Village At West Long Branch, 10 Avalon Ct #6301, West Long Branch, NJ 07764",10 Avalon Ct #6301,West Long Branch,NJ,7764,40.292233,-74.02617,,False,,,,
455516207,FOR_RENT,Apartment for rent,,3260.0,798.0,4.0,,,,,,1.0,1.0,"The Vault at 900 Main, 900 Main St UNIT 311, Belmar, NJ 07719",900 Main St UNIT 311,Belmar,NJ,7719,40.180153,-74.02489,,False,,,,
449385119,FOR_RENT,Apartment for rent,,3300.0,1277.0,3.0,,,,,,2.0,2.0,"Beacon Hill, 100 Buckingham St, Morganville, NJ 07751",100 Buckingham St #5085532,Morganville,NJ,7751,40.387684,-74.2282,,False,,,,
446284673,FOR_RENT,Apartment for rent,,2280.0,782.0,3.0,,,,,,1.0,1.0,"Gables Apartments, 113 Walnut St APT 22, Neptune, NJ 07753",113 Walnut St APT 22,Neptune,NJ,7753,40.208744,-74.04976,,False,,,,
2057197636,FOR_RENT,Apartment for rent,,3050.0,1321.0,2.0,,,2915.0,,,2.0,2.0,"The Hillmont, 1 Schindler Ct, Hillsborough, NJ 08844",1 Schindler Ct,Hillsborough,NJ,8844,40.47709,-74.65456,,False,,,,
2066743998,FOR_RENT,Apartment for rent,,1819.0,,,,,1470.0,,,1.0,1.0,"Rita Gardens, 812 Murray St, Elizabeth, NJ 07202",812 Murray St #0FCE08116,Elizabeth,NJ,7202,40.65711,-74.234634,,False,,,,
2076906070,FOR_RENT,Apartment for rent,,2679.0,965.0,3.0,,,2429.0,,,1.0,1.0,"Summit Hill, 100 Stone Hill Rd APT J06, Springfield, NJ 07081",100 Stone Hill Rd APT J06,Springfield,NJ,7081,40.711742,-74.332756,,False,,,,
439206015,FOR_RENT,Apartment for rent,,2695.0,1088.0,2.0,,,,,,1.0,1.0,"24 Springfield Ave Apartments, 24 Springfield Ave #24, Cranford, NJ 07016",24 Springfield Ave #24,Cranford,NJ,7016,40.659103,-74.30384,,False,,,,
454785391,FOR_RENT,Apartment for rent,,2189.0,785.0,3.0,,,,,,1.0,1.0,"Parktowne Apartments, 11 Raritan Ave #A6E, Highland Park, NJ 08904",11 Raritan Ave #A6E,Highland Park,NJ,8904,40.497963,-74.435585,,False,,,,
450899719,FOR_RENT,Apartment for rent,,4700.0,,,,,,,,1.0,2.0,"Clarus Maplewood, 160 Maplewood Ave UNIT 21, Maplewood, NJ 07040",160 Maplewood Ave UNIT 21,Maplewood,NJ,7040,40.73088,-74.27692,,False,,,,
455308220,FOR_RENT,Apartment for rent,,3325.0,636.0,5.0,,,,,,1.0,1.0,"295J, 295 Johnston Ave #295J-505, Jersey City, NJ 07304",295 Johnston Ave #295J-505,Jersey City,NJ,7304,40.71192,-74.05709,,False,,,,
2070611719,FOR_RENT,Apartment for rent,,2320.0,761.0,3.0,,,2188.0,,,1.0,1.0,"Imperial Apartments, 390 Prospect Ave APT 6C, Hackensack, NJ 07601",390 Prospect Ave APT 6C,Hackensack,NJ,7601,40.8957,-74.051445,,False,,,,
452755727,FOR_RENT,Apartment for rent,,2450.0,775.0,3.0,,,,,,1.0,1.0,"The Courtyard at Clifton, 1 Kowal St, Clifton, NJ 07013",1 Kowal St #BF518D9A6,Clifton,NJ,7013,40.863503,-74.16207,,False,,,,
450900896,FOR_RENT,Apartment for rent,,2095.0,700.0,3.0,,,,,,1.0,1.0,"Whitehouse Apartments, 186 Franklin St APT 1F, Bloomfield, NJ 07003",186 Franklin St APT 1F,Bloomfield,NJ,7003,40.787327,-74.19028,,False,,,,
2054949735,FOR_RENT,Apartment for rent,,2095.0,750.0,3.0,,,2068.0,,,1.0,1.0,"Meadowbrook Gardens, 3579 Us Highway 46, Parsippany, NJ 07054",3579 Us Highway 46 #CAC6243CF,Parsippany,NJ,7054,40.87484,-74.44013,,False,,,,
2067289768,FOR_RENT,Apartment for rent,,2749.0,669.0,4.0,,,2437.0,,,1.0,1.0,"Premiere Residences, 7 Livingston Ave #1010, New Brunswick, NJ 08901",7 Livingston Ave #1010,New Brunswick,NJ,8901,40.493492,-74.44424,,False,,,,
