address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"7780 Paseo 550 Dr NE #A209, Rio Rancho, NM 87144",87144,Rio Rancho,NM,993,1.0,1,580.0,1.71,https://zillow.com/apartments/rio-rancho-nm/casa-de-encantada-senior-apartments/ChdHtf/,35.335308,-106.580605,APARTMENT,,,https://photos.zillowstatic.com/fp/28550170ca8a56436fbdda57797ee555-p_e.jpg,,
"1001 Louisiana Blvd SE #5, Albuquerque, NM 87110",87110,Albuquerque,NM,800,,1,420.0,1.9,https://zillow.com/apartments/albuquerque-nm/nova-point/5XhvyX/,35.061287,-106.56904,APARTMENT,,725.0,https://photos.zillowstatic.com/fp/63786f8ef1edf63c22e5cd8f33e8c01f-p_e.jpg,,
"2608 The American Rd NW, Rio Rancho, NM 87124",87124,Rio Rancho,NM,1491,,1,300.0,4.97,https://zillow.com/apartments/albuquerque-nm/albuquerque-rio-rancho/CjDnt3/,35.212944,-106.65907,APARTMENT,,,https://photos.zillowstatic.com/fp/3961286f7b311b6246c31723c054a169-p_e.jpg,,
"1311 Louisiana Blvd NE, Albuquerque, NM 87110",87110,Albuquerque,NM,725,,1,360.0,2.01,https://zillow.com/homedetails/1311-Louisiana-Blvd-NE-Albuquerque-NM-87110/6751176_zpid/,35.091797,-106.569084,APARTMENT,,756.0,https://photos.zillowstatic.com/fp/67d256736a572182f3cb06f2e8fbbf2f-p_e.jpg,,
"12008 Phoenix Ave NE #1A, Albuquerque, NM 87112",87112,Albuquerque,NM,1550,2.0,2,1100.0,1.41,https://zillow.com/apartments/albuquerque-nm/chelwood/CkBJcn/,35.110073,-106.50571,APARTMENT,,,https://photos.zillowstatic.com/fp/eb0bb7e66899eb4dc6faf8558c0cdee1-p_e.jpg,,
"1100 Chelwood Park Blvd NE, Albuquerque, NM 87112",87112,Albuquerque,NM,950,1.0,2,850.0,1.12,https://zillow.com/apartments/albuquerque-nm/grandview/5XrTMk/,35.090725,-106.506004,APARTMENT,,,https://photos.zillowstatic.com/fp/57f415763f4ebb2c6c0a3d831e97cc0e-p_e.jpg,,
"2321 International Ave SE, Albuquerque, NM 87106",87106,Albuquerque,NM,1275,,1,300.0,4.25,https://zillow.com/apartments/albuquerque-nm/albuquerque-airport/Ck2MKY/,35.061977,-106.61975,APARTMENT,,,https://photos.zillowstatic.com/fp/3e92cf8e29c8e5decf26533647ff7195-p_e.jpg,,
"5801 Haines Ave NE #38, Albuquerque, NM 87110",87110,Albuquerque,NM,795,1.0,1,600.0,1.32,https://zillow.com/apartments/albuquerque-nm/home-at-uptown/5XhvvL/,35.10058,-106.5793,APARTMENT,,,https://photos.zillowstatic.com/fp/25d04709d0635d5f0a5cb4380c7c6919-p_e.jpg,,
"5001 San Mateo Ln NE, Albuquerque, NM 87109",87109,Albuquerque,NM,775,,1,371.0,2.09,https://zillow.com/apartments/albuquerque-nm/san-mateo-suites/CkWMsS/,35.13751,-106.58307,APARTMENT,,,https://photos.zillowstatic.com/fp/90c5c47deaea1a8918c795ab479c114f-p_e.jpg,,
"1024 Alvarado Dr SE, Albuquerque, NM 87108",87108,Albuquerque,NM,625,1.0,1,600.0,1.04,https://zillow.com/homedetails/1024-Alvarado-Dr-SE-Albuquerque-NM-87108/6747304_zpid/,35.062714,-106.58168,APARTMENT,,784.0,https://photos.zillowstatic.com/fp/8611b5d35b2a1088248d1ba1bfb2c762-p_e.jpg,,
"317 Adams St SE APT 107, Albuquerque, NM 87108",87108,Albuquerque,NM,765,,1,350.0,2.19,https://zillow.com/apartments/albuquerque-nm/applewood-apartments/CkBh4r/,35.074993,-106.59462,APARTMENT,,758.0,https://photos.zillowstatic.com/fp/9f11b41aa6e510aa8a0b6a2b593a2d39-p_e.jpg,,
"2221 Rio Rancho Blvd NE, Rio Rancho, NM 87124",87124,Rio Rancho,NM,2049,,1,300.0,6.83,https://zillow.com/apartments/rio-rancho-nm/albuquerque-rio-rancho-blvd./CjDmb4/,35.220345,-106.662575,APARTMENT,,,https://photos.zillowstatic.com/fp/b2dc85519ce261e0581092ffa7e2fc4c-p_e.jpg,,
"207 Delamar Loop NW, Albuquerque, NM 87107",87107,Albuquerque,NM,1050,2.0,1,800.0,1.31,https://zillow.com/apartments/albuquerque-nm/delamar-loop-apartments/Ckc63j/,35.135395,-106.63949,APARTMENT,,,https://photos.zillowstatic.com/fp/4d0576a1641825b7d4de5e4011123cd0-p_e.jpg,,
"200 Maple St NE, Albuquerque, NM 87106",87106,Albuquerque,NM,730,,1,412.0,1.77,https://zillow.com/apartments/albuquerque-nm/200-maple-st-ne/CkBS3k/,35.083015,-106.62943,APARTMENT,,,https://photos.zillowstatic.com/fp/b2acf9a207888b051bf28f8d682e11fd-p_e.jpg,,
"8620 Northeastern Blvd NE #E19, Albuquerque, NM 87112",87112,Albuquerque,NM,900,1.0,1,570.0,1.58,https://zillow.com/apartments/albuquerque-nm/la-fontana-apartments/5j8x9n/,35.103214,-106.54911,APARTMENT,,,https://photos.zillowstatic.com/fp/0782706497aa294da69bb4bb290696ce-p_e.jpg,,
"12700 Constitution Ave NE, Albuquerque, NM 87112",87112,Albuquerque,NM,825,1.0,1,600.0,1.38,https://zillow.com/apartments/albuquerque-nm/12700-constitution/Cm4Hdr/,35.09339,-106.506004,APARTMENT,,,https://photos.zillowstatic.com/fp/05ec7d9efaab5c01edcb962272f4e953-p_e.jpg,,
"1410 Girard Blvd NE, Albuquerque, NM 87106",87106,Albuquerque,NM,695,,1,352.0,1.97,https://zillow.com/apartments/albuquerque-nm/1410-girard/5XqxJk/,35.09887,-106.612724,APARTMENT,,734.0,https://photos.zillowstatic.com/fp/e62a3eaa5239e75dc7987377f15c9609-p_e.jpg,,
"1001 Louisiana Blvd SE, Albuquerque, NM 87108",87108,Albuquerque,NM,725,1.0,1,,,https://zillow.com/apartments/albuquerque-nm/the-ten01/ChbtQK/,35.06112,-106.56904,APARTMENT,,,https://photos.zillowstatic.com/fp/863b9dd87c5bcc096290ce712cb0b519-p_e.jpg,,
"5410 Phoenix Ave NE APT 2, Albuquerque, NM 87110",87110,Albuquerque,NM,995,2.0,1,,,https://zillow.com/apartments/albuquerque-nm/5410-phoenix-ave-ne/CjpT5P/,35.110695,-106.58309,APARTMENT,,,https://photos.zillowstatic.com/fp/432a5a2e189776065773520d9fa8ca92-p_e.jpg,,
"401 Espanola St SE, Albuquerque, NM 87108",87108,Albuquerque,NM,725,1.0,1,535.0,1.36,https://zillow.com/apartments/albuquerque-nm/the-four01/Cmzgzf/,35.07244,-106.56474,APARTMENT,,,https://photos.zillowstatic.com/fp/bc24cdbf49b4ebe959f0e922b5382151-p_e.jpg,,
"2713 Wyoming Blvd NE APT 5, Albuquerque, NM 87111",87111,Albuquerque,NM,1030,2.0,1,775.0,1.33,https://zillow.com/apartments/albuquerque-nm/2713-wyoming-blvd-ne/5j8xBX/,35.11746,-106.55135,APARTMENT,,1133.0,https://photos.zillowstatic.com/fp/89d3a472a713555458844490bceaeb31-p_e.jpg,,
"8600 Zuni Rd SE, Albuquerque, NM 87108",87108,Albuquerque,NM,695,1.0,1,625.0,1.11,https://zillow.com/apartments/albuquerque-nm/8600-zuni/CkBg9h/,35.072296,-106.5534,APARTMENT,,,https://photos.zillowstatic.com/fp/cdfbcbc699c2600599862d52992cc57e-p_e.jpg,,
"565 59th St NW, Albuquerque, NM 87105",87105,Albuquerque,NM,925,2.0,1,,,https://zillow.com/apartments/albuquerque-nm/casa-linda/5j8wcj/,35.09306,-106.70706,APARTMENT,,,https://photos.zillowstatic.com/fp/037a31fa7a51c19428b0dbd14c223cce-p_e.jpg,,
"8101 Marble Ave NE, Albuquerque, NM 87110",87110,Albuquerque,NM,750,1.0,1,627.0,1.2,https://zillow.com/apartments/albuquerque-nm/marble-ave-apartments/Chfnc7/,35.089367,-106.55638,APARTMENT,,,https://photos.zillowstatic.com/fp/af899e767efe915fd7ea8392b9ba2348-p_e.jpg,,
"600 Morris St NE, Albuquerque, NM 87123",87123,Albuquerque,NM,895,1.0,1,625.0,1.43,https://zillow.com/apartments/albuquerque-nm/morris-townhomes/CmPfp7/,35.076572,-106.523415,APARTMENT,,,https://photos.zillowstatic.com/fp/612a6f779a2721dd30f56f6797f845eb-p_e.jpg,,
"1517 Meadowlark Ln SE, Rio Rancho, NM 87124",87124,Rio Rancho,NM,1995,2.0,3,1163.0,1.72,https://zillow.com/apartments/rio-rancho-nm/1517-meadowlark-ln-se/CjjC76/,35.232826,-106.65037,TOWNHOUSE,265200.0,1740.0,https://photos.zillowstatic.com/fp/27114c14b17d00f5cd334e55d69860aa-p_e.jpg,,
"3405 Gibson Blvd SE #3429-A, Albuquerque, NM 87106",87106,Albuquerque,NM,850,2.0,1,,,https://zillow.com/apartments/albuquerque-nm/vista-nueva/CjfjQQ/,35.058743,-106.6084,APARTMENT,,,https://photos.zillowstatic.com/fp/f3349847cd57661acb0f918b6e4949d1-p_e.jpg,,
"1021 Coal Ave SW, Albuquerque, NM 87102",87102,Albuquerque,NM,875,1.0,1,600.0,1.46,https://zillow.com/apartments/albuquerque-nm/1021-coal-ave-sw/CmPfTn/,35.08192,-106.66015,APARTMENT,,1035.0,https://photos.zillowstatic.com/fp/2573d3c7b85829c0cfd128319c58274b-p_e.jpg,,
"1830 Vassar Dr NE, Albuquerque, NM 87106",87106,Albuquerque,NM,825,1.0,1,421.0,1.96,https://zillow.com/apartments/albuquerque-nm/1830-vassar-dr-ne/CgtCn5/,35.104702,-106.614716,APARTMENT,,844.0,https://photos.zillowstatic.com/fp/f277e4cddb5087cbb91893b69791f349-p_e.jpg,,
