zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
456180207,FOR_RENT,Apartment for rent,,7000.0,1503.0,5.0,,,,,,2.0,3.0,"The Selby, 695 Merrick Ave APT 613, Westbury, NY 11590",695 Merrick Ave APT 613,Westbury,NY,11590,40.74058,-73.58548,Listing by: The Beechwood Organization,False,,,,
456107582,FOR_RENT,Apartment for rent,,3300.0,798.0,4.0,,,,,,1.0,1.0,"Hudson 44, 44 Hudson St, Yonkers, NY 10701",44 Hudson St #6458C938F,Yonkers,NY,10701,40.9336,-73.90133,Listing by: Bohemia Realty Group,False,,,,
453281860,FOR_RENT,Apartment for rent,,2100.0,960.0,2.0,,,,,,1.0,2.0,"Lofts at Saratoga BLVD, 18 Lofts Way, Ballston Spa, NY 12020",18 Lofts Way #289AB38B3,Ballston Spa,NY,12020,42.967808,-73.79442,,False,,,,
450564146,FOR_RENT,Apartment for rent,,2635.0,938.0,3.0,,,,,,1.0,1.0,"Seneca Way, 140 Seneca Way APT 408, Ithaca, NY 14850",140 Seneca Way APT 408,Ithaca,NY,14850,42.43983,-76.49364,Listing by: 140 Seneca Way,False,,,,
2101323199,FOR_RENT,Apartment for rent,,3650.0,1590.0,2.0,,,2614.0,,,3.0,2.0,"Saratoga Market Center, 55 Railroad Pl APT 624, Saratoga Springs, NY 12866",55 Railroad Pl APT 624,Saratoga Springs,NY,12866,43.0825,-73.78775,Listing by: West Side Management of Saratoga LLC.,False,,,,
442758715,FOR_RENT,Apartment for rent,,2020.0,1000.0,2.0,,,,,,2.0,1.0,"Connect 55+ Wheatfield West Senior Living 55+, 3959 Forest Park Way, North Tonawanda, NY 14120",3959 Forest Park Way #2B-1BA-1000SQFT,North Tonawanda,NY,14120,43.064644,-78.828545,,False,,,,
455159327,FOR_RENT,Apartment for rent,,1550.0,525.0,3.0,,,,,,1.0,1.0,"4505 Lofts, 4505 Vestal Pkwy E, Vestal, NY 13850",4505 Vestal Pkwy E #3BE1B504D,Vestal,NY,13850,42.095554,-75.96094,,False,,,,
453510130,FOR_RENT,Apartment for rent,,3250.0,812.0,4.0,,,,,,1.0,1.0,"The Brookport, 52 Barnum Ave APT 216, Pt Jefferson, NY 11777",52 Barnum Ave APT 216,Pt Jefferson,NY,11777,40.94197,-73.06724,,False,,,,
455802095,FOR_RENT,Apartment for rent,,3720.0,1414.0,3.0,,,,,,2.0,2.0,"The Arboretum, 20 Maple Ln, Farmingville, NY 11738",20 Maple Ln #5112805,Farmingville,NY,11738,40.828167,-73.043015,,False,,,,
449126820,FOR_RENT,Apartment for rent,,2240.0,616.0,4.0,,,,,,1.0,1.0,"Zen Long Island at Wheatley Heights 55+ Community, 50 Colonial Springs Rd #A-A12, Wyandanch, NY 11798",50 Colonial Springs Rd #A-A12,Wyandanch,NY,11798,40.756516,-73.376976,Listing by: Trinity Property Consultants,False,,,,
348434793,FOR_RENT,Apartment for rent,,2595.0,1157.0,2.0,,,2149.0,,,2.0,2.0,"Summit on the Hudson, 1 Trinity Ct, Saugerties, NY 12477",1 Trinity Ct #85CCFC032,Saugerties,NY,12477,42.04543,-73.962456,,False,,,,
448924840,FOR_RENT,Apartment for rent,,2150.0,720.0,3.0,,,,,,1.0,1.0,"Country Club Apartments, 19 Anthony Dr, Poughkeepsie, NY 12601",19 Anthony Dr #A9884C7D8,Poughkeepsie,NY,12601,41.64776,-73.92912,Listing by: Country Club Apartments,False,,,,
454989807,FOR_RENT,Apartment for rent,,2225.0,,,,,,,,3.0,2.0,"Stonegate Apartments, 5000 Stonegate Dr, Rensselaer, NY 12144",5000 Stonegate Dr #0BC364DE0,Rensselaer,NY,12144,42.662926,-73.69816,,False,,,,
456186782,FOR_RENT,Apartment for rent,,2300.0,700.0,3.0,,,,,,1.0,1.0,"The Enclave at Fleetwood, 525 N Macquesten Pkwy, Mount Vernon, NY 10552",525 N Macquesten Pkwy #725AFE27B,Mount Vernon,NY,10552,40.922344,-73.84207,,False,,,,
441582933,FOR_RENT,Apartment for rent,,2650.0,1263.0,2.0,,,,,,2.0,2.0,"Williams Place, 5877 Main St, Buffalo, NY 14221",5877 Main St #2B-2BA-1300SQFT,Buffalo,NY,14221,42.964306,-78.734245,,False,,,,
449400159,FOR_RENT,Apartment for rent,,1850.0,1000.0,2.0,,,,,,1.0,2.0,"765 Fairchild Place, 765 Fairchild Pl #305, Lewiston, NY 14092",765 Fairchild Pl #305,Lewiston,NY,14092,43.174633,-79.03707,Listing by: TM Montante Development,False,,,,
453096874,FOR_RENT,Apartment for rent,,1550.0,,,,,,,,1.0,1.0,"The Sullivan, 70 Genesee St, Utica, NY 13502",70 Genesee St #D95CF67AE,Utica,NY,13502,43.10382,-75.22696,,False,,,,
455333204,FOR_RENT,Apartment for rent,,1450.0,,,,,,,,1.0,1.0,"Hotel Street Apartments, 119 Hotel St #214, Utica, NY 13502",119 Hotel St #214,Utica,NY,13502,43.104015,-75.227875,,False,,,,
2065474726,FOR_RENT,Apartment for rent,,2695.0,1200.0,2.0,,,2028.0,,,2.0,2.0,"Collegeview Tower, 141 Fulton Ave #CVT-111, Poughkeepsie, NY 12603",141 Fulton Ave #CVT-111,Poughkeepsie,NY,12603,41.69243,-73.90167,Listing by: Collegeview Tower Associates LLP,False,,,,
448662009,FOR_RENT,Apartment for rent,,2500.0,955.0,3.0,,,,,,1.0,1.0,"Setauket Knolls, 41 Emily Dr, Centereach, NY 11720",41 Emily Dr #7F12D7750,Centereach,NY,11720,40.88618,-73.09802,Listing by: Setauket Knolls,False,,,,
456049804,FOR_RENT,Apartment for rent,,2750.0,1010.0,3.0,,,,,,2.0,1.0,"26-31 Scenic Drive, 26 Scenic Dr #31A, Croton On Hudson, NY 10520",26 Scenic Dr #31A,Croton On Hudson,NY,10520,41.231712,-73.899605,,False,,,,
347198038,FOR_RENT,Apartment for rent,,1300.0,950.0,1.0,,,1236.0,,,2.0,1.0,"Georgetown Manor Apartments for Rent in West Irondequoit, NY, 4-108 Georgetown Dr #B, Rochester, NY 14617",4-108 Georgetown Dr #B,Rochester,NY,14617,43.19881,-77.59067,Listing by: Irondequoit DeGeorge LLC,False,,,,
2056945654,FOR_RENT,Apartment for rent,,1040.0,,,,,1132.0,,,2.0,1.0,"Campus Edge at Brigham Apartments, 100 Brigham Rd, Fredonia, NY 14063",100 Brigham Rd #1496538B2,Fredonia,NY,14063,42.455177,-79.3468,Listing by: RRG,False,,,,
