zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
455426632,FOR_RENT,Apartment for rent,,1425.0,1560.0,1.0,,,,,,3.0,2.0,"Hillview Homes LLC, 14298 27m St NW, Alexander, ND 58831",14298 27m St NW #F90FCFAD6,Alexander,ND,58831,47.811954,-103.646324,,False,,,,
455280092,FOR_RENT,Apartment for rent,,900.0,900.0,1.0,,,,,,2.0,1.0,"Point West III, 4231 33rd Ave S, Fargo, ND 58104",4231 33rd Ave S #97F9A89AE,Fargo,ND,58104,46.830204,-96.853645,,False,,,,
452655150,FOR_RENT,Apartment for rent,,925.0,900.0,1.0,,,,,,2.0,1.0,"Prairie Point, 1409 14th Ave E, West Fargo, ND 58078",1409 14th Ave E #EB949902E,West Fargo,ND,58078,46.860405,-96.87687,,False,,,,
455127586,FOR_RENT,Apartment for rent,,1000.0,910.0,1.0,,,,,,2.0,1.0,"Park Manor at Academy Village, 715 13th Ave NE, Devils Lake, ND 58301",715 13th Ave NE #4120949,Devils Lake,ND,58301,48.115356,-98.845985,,False,,,,
453225490,FOR_RENT,Apartment for rent,,1250.0,1000.0,1.0,,,,,,2.0,2.0,"Fox Hills Village Apartments, 2101 4th Ave NE, Watford City, ND 58854",2101 4th Ave NE #06605F742,Watford City,ND,58854,47.80379,-103.24793,,False,,,,
2084915215,FOR_RENT,Apartment for rent,,800.0,900.0,1.0,,,837.0,,,2.0,1.0,"Ninth Circle Apartments, 4242 9th Avenue Cir S APT 25, Fargo, ND 58103",4242 9th Avenue Cir S APT 25,Fargo,ND,58103,46.867756,-96.855515,,False,,,,
452225621,FOR_RENT,Apartment for rent,,1647.0,300.0,5.0,,,,,,,1.0,"Minot, 1009 20th Ave SE, Minot, ND 58701",1009 20th Ave SE #9329,Minot,ND,58701,48.213554,-101.27725,,False,,,,
455309880,FOR_RENT,Apartment for rent,,1195.0,1100.0,1.0,,,,,,2.0,2.0,"Woodstone II, 4389 Calico Dr S, Fargo, ND 58104",4389 Calico Dr S #A612FD4A6,Fargo,ND,58104,46.8394,-96.8577,,False,,,,
448101800,FOR_RENT,Apartment for rent,,1000.0,474.0,2.0,,,,,,1.0,1.0,"The Village at the Crossings, 104 Prospect St SE, Watford City, ND 58854",104 Prospect St SE #C120FAA02,Watford City,ND,58854,47.800453,-103.21239,,False,,,,
453906564,FOR_RENT,Apartment for rent,,900.0,900.0,1.0,,,,,,2.0,1.0,"Pointe West II, 4221 33rd Ave S #307, Fargo, ND 58104",4221 33rd Ave S #307,Fargo,ND,58104,46.830284,-96.85322,,False,,,,
2087189557,FOR_RENT,Apartment for rent,,1810.0,1417.0,1.0,,,1265.0,,,3.0,2.0,"Lumber Exchange, 800 N 3rd St APT 308, Grand Forks, ND 58203",800 N 3rd St APT 308,Grand Forks,ND,58203,47.93172,-97.04068,,False,,,,
455531464,FOR_RENT,Apartment for rent,,1525.0,933.0,2.0,,,,,,1.0,1.0,"Wild Ridge Townhomes, 5402 11th St W, West Fargo, ND 58078",5402 11th St W #4047866,West Fargo,ND,58078,46.80161,-96.92332,,False,,,,
446720622,FOR_RENT,Apartment for rent,,900.0,766.0,1.0,,,,,,1.0,1.0,"Timber Cove Apartments, 1112 SE Elm St, Tioga, ND 58852",1112 SE Elm St #641792943,Tioga,ND,58852,48.404705,-102.9317,,False,,,,
446720399,FOR_RENT,Apartment for rent,,700.0,,,,,,,,2.0,1.0,"Apartments on 7th, 1014 7th St N, Fargo, ND 58102",1014 7th St N #B17BAB346,Fargo,ND,58102,46.887383,-96.78992,,False,,,,
455401227,FOR_RENT,Apartment for rent,,1595.0,1013.0,2.0,,,,,,2.0,2.0,"Epic at The Lights | 3150 | West Fargo, 3150 Sheyenne St #C11B01D04, West Fargo, ND 58078",3150 Sheyenne St #C11B01D04,West Fargo,ND,58078,46.834446,-96.90678,,False,,,,
452699359,FOR_RENT,Apartment for rent,,1240.0,1050.0,1.0,,,,,,2.0,2.0,"Brandt Place Apartments, 4643 36th Ave S, Fargo, ND 58104",4643 36th Ave S #733916CAA,Fargo,ND,58104,46.82637,-96.865326,,False,,,,
443621961,FOR_RENT,Apartment for rent,,1220.0,1250.0,1.0,,,,,,4.0,2.0,"Maybrook, 3219 18th St S #310, Fargo, ND 58104",3219 18th St S #310,Fargo,ND,58104,46.832,-96.81117,,False,,,,
447573776,FOR_RENT,Apartment for rent,,1096.0,,,,,,,,2.0,1.0,"Watford McKenzie Park, 202 Fox Hills Pkwy, Watford City, ND 58854",202 Fox Hills Pkwy #36F0316D6,Watford City,ND,58854,47.80187,-103.23383,,False,,,,
449004497,FOR_RENT,Apartment for rent,,1105.0,1100.0,1.0,,,,,,2.0,2.0,"Country Meadows, 2016 33rd St NW #207, Minot, ND 58703",2016 33rd St NW #207,Minot,ND,58703,48.257446,-101.34136,,False,,,,
454106643,FOR_RENT,Apartment for rent,,1985.0,2069.0,1.0,,,,,,3.0,3.0,"Evelyn Acres Townhomes, 4800 39th Ave S #4822, Fargo, ND 58104",4800 39th Ave S #4822,Fargo,ND,58104,46.8186,-96.867004,,False,,,,
