address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"17552 Rosbough Blvd, Cleveland, OH 44130",44130,Cleveland,OH,1919,,1.0,300.0,6.4,https://zillow.com/apartments/middleburg-heights-oh/cleveland-middleburg-heights/5Xn5yR/,41.375553,-81.822525,APARTMENT,,,https://photos.zillowstatic.com/fp/e63a5c949ed9d460b0e6440e066c514a-p_e.jpg,,
"2617 Aubrey Ln, Twinsburg, OH 44087",44087,Twinsburg,OH,2295,2.0,2.0,1326.0,1.73,https://zillow.com/apartments/twinsburg-oh/wilcox-meadows/Cm7493/,41.322395,-81.44212,APARTMENT,,,https://photos.zillowstatic.com/fp/4bf4539e706a421f90f0e0e50e37992e-p_e.jpg,,
"2111 Acacia Park Dr, Cleveland, OH 44124",44124,Cleveland,OH,1310,1.0,1.0,790.0,1.66,https://zillow.com/apartments/cleveland-oh/sherri-park-apartments/5j9gWd/,41.502575,-81.48047,APARTMENT,,1344.0,https://photos.zillowstatic.com/fp/2380864cd7a9567542c036117d81d6f2-p_e.jpg,,
"3820 Orange Pl, Beachwood, OH 44122",44122,Beachwood,OH,2069,,1.0,300.0,6.9,https://zillow.com/apartments/beachwood-oh/cleveland-beachwood/Ck2MWq/,41.45637,-81.4888,APARTMENT,,,https://photos.zillowstatic.com/fp/2e82a56189c87cc6888e11bf5d1edd51-p_e.jpg,,
"1400 E 105th St #401, Cleveland, OH 44106",44106,Cleveland,OH,1600,2.0,1.0,865.0,1.85,https://zillow.com/apartments/cleveland-oh/glenville-circlenorth/CgKcJ6/,41.519154,-81.615776,APARTMENT,,1290.0,https://photos.zillowstatic.com/fp/47b7eb5017ebf3b440a679e29c95cdc3-p_e.jpg,,
"401 Mortimer Dr, Bedford, OH 44146",44146,Bedford,OH,780,1.0,1.0,,,https://zillow.com/apartments/bedford-oh/willard-house/5Yy8RB/,41.4064,-81.523506,APARTMENT,,,https://photos.zillowstatic.com/fp/a644c3743442780394b97c17b4672b93-p_e.jpg,,
"1834 Forest Hills Blvd, Cleveland, OH 44112",44112,Cleveland,OH,1050,2.0,1.0,,,https://zillow.com/apartments/east-cleveland-oh/parkview-estates/CkNS5B/,41.523655,-81.586716,APARTMENT,,,https://photos.zillowstatic.com/fp/0d16113b6a6306cb466d19a58be0fc60-p_e.jpg,,
"5399 Waterford Cir, Elyria, OH 44035",44035,Elyria,OH,1600,2.0,2.0,1250.0,1.28,https://zillow.com/apartments/sheffield-village-oh/waterford-place-apartments-and-villas/CkCGcb/,41.42512,-82.0707,APARTMENT,,,https://photos.zillowstatic.com/fp/b1693527cc465e26268bf9fe8b8dd2fe-p_e.jpg,,
"4840 Henry St, Cleveland, OH 44125",44125,Cleveland,OH,745,1.0,2.0,,,https://zillow.com/apartments/cleveland-oh/garfield-club/5YyCpk/,41.428097,-81.60008,APARTMENT,,,https://photos.zillowstatic.com/fp/e88c48fffae36d6b41c7ea66b6465966-p_e.jpg,,
"10017 Lake Ave #HH502, Cleveland, OH 44102",44102,Cleveland,OH,1280,2.0,1.0,1100.0,1.16,https://zillow.com/apartments/cleveland-oh/hampton-house/5XkKV2/,41.48585,-81.75369,APARTMENT,,,https://photos.zillowstatic.com/fp/b093dbc91d93797bafba1d230b9e0e96-p_e.jpg,,
"1610 Moore Rd, Avon, OH 44011",44011,Avon,OH,1619,,1.0,300.0,5.4,https://zillow.com/apartments/avon-oh/cleveland-avon/5ZgLh8/,41.46579,-82.04857,APARTMENT,,,https://photos.zillowstatic.com/fp/947e9985d5ed85b7c47531907b93375f-p_e.jpg,,
"10300 Cascade Xing, Cleveland, OH 44144",44144,Cleveland,OH,1889,,1.0,300.0,6.3,https://zillow.com/apartments/brooklyn-oh/cleveland-brooklyn/Ck2Lz9/,41.42488,-81.75766,APARTMENT,,,https://photos.zillowstatic.com/fp/3ee04dd9a7e8fabc44cfdc6f32afd4a2-p_e.jpg,,
"27400 Chardon Rd #2-1072, Wickliffe, OH 44092",44092,Wickliffe,OH,1023,2.0,1.0,1000.0,1.02,https://zillow.com/apartments/willoughby-hills-oh/willoughby-hills-towers/5gF4dy/,41.580833,-81.48667,APARTMENT,,1009.0,https://photos.zillowstatic.com/fp/76a9e98d3e9fb99c9dea95a3bfd91f36-p_e.jpg,,
"3660 Warrensville Center Rd, Beachwood, OH 44122",44122,Beachwood,OH,825,1.0,1.0,,,https://zillow.com/apartments/shaker-heights-oh/shaker-gateway/5Xptkd/,41.460194,-81.53643,APARTMENT,,,https://photos.zillowstatic.com/fp/b6cc60276b59018f78a7a6346e6fc3d1-p_e.jpg,,
"3575 W 130th St #306, Cleveland, OH 44111",44111,Cleveland,OH,3200,3.0,3.0,2185.0,1.46,https://zillow.com/apartments/cleveland-oh/the-hawthorne/CjnpdY/,41.457,-81.77903,APARTMENT,,,https://photos.zillowstatic.com/fp/234b1988fe4ac3c597b88bdf07fa0631-p_e.jpg,,
"20240 Euclid Ave, Euclid, OH 44117",44117,Euclid,OH,1050,2.0,1.0,,,https://zillow.com/apartments/euclid-oh/hunter-hills-apartments/5Ypcdf/,41.56506,-81.53872,APARTMENT,,,https://photos.zillowstatic.com/fp/3e6f0659c0969cc0a7031496822c8790-p_e.jpg,,
"3951 Brendan Ln, North Olmsted, OH 44070",44070,North Olmsted,OH,990,2.0,1.0,892.0,1.11,https://zillow.com/apartments/north-olmsted-oh/brendan-court/5Yy8SC/,41.431087,-81.88068,APARTMENT,,,https://photos.zillowstatic.com/fp/982f1ccc2c9643c8571bb7e24e71c410-p_e.jpg,,
"12417 Superior Ave, Cleveland, OH 44106",44106,Cleveland,OH,900,1.0,1.0,,,https://zillow.com/apartments/cleveland-oh/garrett-square/CkfGy2/,41.523186,-81.59894,APARTMENT,,,https://photos.zillowstatic.com/fp/ab93454c74ccef1ec6a074b41b771e64-p_e.jpg,,
"20829 Emerald Pkwy, Cleveland, OH 44135",44135,Cleveland,OH,1199,,1.0,300.0,4.0,https://zillow.com/apartments/cleveland-oh/cleveland-airport/9FtDm9/,41.42499,-81.84879,APARTMENT,,,https://photos.zillowstatic.com/fp/844cef0bb9e8771b5b477beb163a2f70-p_e.jpg,,
"32002 N Marginal Dr, Eastlake, OH 44095",44095,Eastlake,OH,1075,2.0,2.0,,,https://zillow.com/apartments/willowick-oh/bay-club-apartments/5hQvdp/,41.62902,-81.45396,APARTMENT,,,https://photos.zillowstatic.com/fp/12dd91b712227a958554ed26b83f363a-p_e.jpg,,
"5327 Northfield Rd, Bedford, OH 44146",44146,Bedford,OH,950,2.0,2.0,850.0,1.12,https://zillow.com/apartments/bedford-heights-oh/southgate-manor-apartments/5j9XBm/,41.414806,-81.52584,APARTMENT,,1121.0,https://photos.zillowstatic.com/fp/091ca5e51e0a56bf8d39e120bb7cc571-p_e.jpg,,
"900 Tollis Pkwy #1050-303, Broadview Heights, OH 44147",44147,Broadview Heights,OH,1400,2.0,2.0,1000.0,1.4,https://zillow.com/apartments/broadview-heights-oh/timbers-apartments/5Xr5Sm/,41.32906,-81.6946,APARTMENT,,,https://photos.zillowstatic.com/fp/9da839e34f5d8d616b1a0cdc0a29238f-p_e.jpg,,
"1348 Brookline Rd, Cleveland, OH 44121",44121,Cleveland,OH,825,1.0,1.0,720.0,1.15,https://zillow.com/apartments/cleveland-oh/brookline-gardens/5jG2zL/,41.523434,-81.535934,APARTMENT,,,https://photos.zillowstatic.com/fp/b1b8451a5024c842450f476a563dd384-p_e.jpg,,
"7019 Condor Dr #7030, North Ridgeville, OH 44039",44039,North Ridgeville,OH,2321,2.0,2.0,1427.0,1.63,https://zillow.com/apartments/north-ridgeville-oh/redwood-north-ridgeville-meadow-lakes-blvd/5hJ9qw/,41.387466,-82.04255,APARTMENT,,2108.0,https://photos.zillowstatic.com/fp/6f06468f95d032de6d1ed8fe69081172-p_e.jpg,,
