zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
443853930,FOR_RENT,Apartment for rent,,1695.0,511.0,3.0,,,,,,,1.0,"Lakeside Place Apartments, 2320 NW Lakeside Pl #B216, Bend, OR 97703",2320 NW Lakeside Pl #B216,Bend,OR,97703,44.072952,-121.30706,,False,,,,
455487116,FOR_RENT,Apartment for rent,,1375.0,915.0,2.0,,,,,,2.0,1.0,"102-Mountain View Apts, 2108 Red Oak Dr S #47, Salem, OR 97302",2108 Red Oak Dr S #47,Salem,OR,97302,44.87991,-123.074234,,False,,,,
2097369961,FOR_RENT,Apartment for rent,,2400.0,1264.0,2.0,488500.0,386.0,1989.0,,,2.0,3.0,"Kentfield Townhomes I & II, 601 Country Club Rd APT 1040, Eugene, OR 97401",601 Country Club Rd APT 1040,Eugene,OR,97401,44.065666,-123.094185,,False,,,,
455549813,FOR_RENT,Apartment for rent,,1645.0,767.0,2.0,,,,,,1.0,1.0,"Royal Pines, 9555 SW Allen Blvd #3, Beaverton, OR 97005",9555 SW Allen Blvd #3,Beaverton,OR,97005,45.472614,-122.77444,,False,,,,
452049484,FOR_RENT,Apartment for rent,,2628.0,300.0,9.0,,,,,,,1.0,"Portland - East, 3013 NE 181st Ave, Portland, OR 97230",3013 NE 181st Ave #8096,Portland,OR,97230,45.54478,-122.47899,,False,,,,
2079609963,FOR_RENT,Apartment for rent,,1495.0,680.0,2.0,,,1365.0,,,1.0,1.0,"Gateway Terrace, 827 NE 99th Ave #320, Portland, OR 97220",827 NE 99th Ave #320,Portland,OR,97220,45.528534,-122.56266,,False,,,,
452050122,FOR_RENT,Apartment for rent,,1889.0,300.0,6.0,,,,,,,1.0,"Portland - Hillsboro, 10081 NE Cornell Rd, Hillsboro, OR 97124",10081 NE Cornell Rd #9823,Hillsboro,OR,97124,45.53545,-122.87595,,False,,,,
455540601,FOR_RENT,Apartment for rent,,2175.0,834.0,3.0,,,,,,2.0,2.0,"L0529 - Drummond Townhomes 2, 7550 N Emerald Ave #7560, Portland, OR 97217",7550 N Emerald Ave #7560,Portland,OR,97217,45.577774,-122.69972,,False,,,,
455522576,FOR_RENT,Apartment for rent,,1225.0,625.0,2.0,,,,,,1.0,1.0,"Elizabeth Anne, 250 SE Vista Ave, Gresham, OR 97080",250 SE Vista Ave #D88AB1571,Gresham,OR,97080,45.495888,-122.41581,,False,,,,
2065516588,FOR_RENT,Apartment for rent,,2195.0,890.0,2.0,,,1686.0,,,2.0,1.0,"1825 N Rosa Parks Way, 1825 N Rosa Parks Way #210, Portland, OR 97217",1825 N Rosa Parks Way #210,Portland,OR,97217,45.570187,-122.6859,,False,,,,
448164854,FOR_RENT,Apartment for rent,,1745.0,985.0,2.0,,,,,,2.0,2.0,"Woodcreek, 20347 NE Halsey St, Fairview, OR 97024",20347 NE Halsey St #40E631685,Fairview,OR,97024,45.534576,-122.454155,,False,,,,
452050005,FOR_RENT,Apartment for rent,,2490.0,300.0,8.0,,,,,,,1.0,"Portland - Beaverton-Hillsboro - Eider Ct, 18665 NW Eider Ct, Beaverton, OR 97006",18665 NW Eider Ct #335,Beaverton,OR,97006,45.53185,-122.86975,,False,,,,
452740961,FOR_RENT,Apartment for rent,,1925.0,895.0,2.0,,,,,,2.0,1.0,"The Ridge at Bella Vista, 2027 W Powell Blvd #103, Gresham, OR 97030",2027 W Powell Blvd #103,Gresham,OR,97030,45.49757,-122.45268,,False,,,,
455178911,FOR_RENT,Apartment for rent,,2245.0,973.0,2.0,,,,,,2.0,2.0,"The Wes, 234 NW 1st St #A-103, Gresham, OR 97030",234 NW 1st St #A-103,Gresham,OR,97030,45.497852,-122.4342,,False,,,,
449661740,FOR_RENT,Apartment for rent,,1725.0,,,,,,,,1.0,1.0,"The Binford, 6905 NE Hancock St, Portland, OR 97213",6905 NE Hancock St #4295AD237,Portland,OR,97213,45.536224,-122.59222,,False,,,,
455133317,FOR_RENT,Apartment for rent,,1080.0,828.0,1.0,,,,,,2.0,1.0,"Silverpark Apartments, 3563 Silverpark Pl NE, Salem, OR 97305",3563 Silverpark Pl NE #C15AD99CC,Salem,OR,97305,44.970818,-122.97143,,False,,,,
2057332451,FOR_RENT,Apartment for rent,,1625.0,820.0,2.0,,,1555.0,,,2.0,1.0,"Centennial Apartments, 506 W Centennial Blvd #2, Springfield, OR 97477",506 W Centennial Blvd #2,Springfield,OR,97477,44.05741,-123.036674,,False,,,,
452050523,FOR_RENT,Apartment for rent,,2490.0,270.0,9.0,,,,,,,1.0,"Portland - Tigard, 13009 SW 68th Pkwy, Portland, OR 97223",13009 SW 68th Pkwy #9692,Portland,OR,97223,45.425594,-122.748116,,False,,,,
2061191243,FOR_RENT,Apartment for rent,,1695.0,1085.0,2.0,,,1652.0,,,2.0,2.0,"Rockrose Apartments, 3962 SE 174th Ave #3982, Portland, OR 97236",3962 SE 174th Ave #3982,Portland,OR,97236,45.493816,-122.483864,,False,,,,
2060533008,FOR_RENT,Apartment for rent,,1656.0,775.0,2.0,,,1647.0,,,2.0,1.0,"River Run Village, 847 Risley Ave #G945L, Gladstone, OR 97027",847 Risley Ave #G945L,Gladstone,OR,97027,45.381386,-122.602295,,False,,,,
453901644,FOR_RENT,Apartment for rent,,1409.0,650.0,2.0,,,,,,1.0,1.0,"Willamalane, 4707 SE Boardman Ave APT 48, Portland, OR 97267",4707 SE Boardman Ave APT 48,Portland,OR,97267,45.39611,-122.61457,,False,,,,
