zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
453354015,FOR_RENT,Apartment for rent,,1285.0,608.0,2.0,,,,,,1.0,1.0,"Eola Park, 6344 N 8th St #303, Philadelphia, PA 19126",6344 N 8th St #303,Philadelphia,PA,19126,40.050083,-75.13404,,False,,,,
450428871,FOR_RENT,Apartment for rent,,1534.0,600.0,3.0,,,,,,1.0,1.0,"The Heritage, 25 W Peter St, Uniontown, PA 15401",25 W Peter St #9E47647D6,Uniontown,PA,15401,39.90137,-79.72639,,False,,,,
456266404,FOR_RENT,Apartment for rent,,3387.0,1308.0,3.0,,,,,,2.0,2.0,"Milliner Lofts, 26 S York Rd, Hatboro, PA 19040",26 S York Rd #B4AF64BD2,Hatboro,PA,19040,40.176537,-75.10656,,False,,,,
456081514,FOR_RENT,Apartment for rent,,1500.0,720.0,2.0,,,,,,1.0,1.0,"King of Prussia Arms, 519 Williams Rd, King Of Prussia, PA 19406",519 Williams Rd #6D9B48D2F,King Of Prussia,PA,19406,40.091827,-75.3784,,False,,,,
456281453,FOR_RENT,Apartment for rent,,950.0,625.0,2.0,,,,,,1.0,1.0,"Ridley Creek Views Apartments, 1000 Macdade Blvd APT A15, Chester, PA 19013",1000 Macdade Blvd APT A15,Chester,PA,19013,39.868977,-75.356606,,False,,,,
2081693153,FOR_RENT,Apartment for rent,,1308.0,530.0,2.0,,,1196.0,,,2.0,1.0,"Carlton Arms, 223 N 63rd St #9, Philadelphia, PA 19139",223 N 63rd St #9,Philadelphia,PA,19139,39.966476,-75.245514,,False,,,,
2068589513,FOR_RENT,Apartment for rent,,1250.0,,,,,1002.0,,,1.0,1.0,"Lincoln Apartments, 1531 Fishburn Rd APT 23, Hershey, PA 17033",1531 Fishburn Rd APT 23,Hershey,PA,17033,40.262585,-76.64041,,False,,,,
454066780,FOR_RENT,Apartment for rent,,3000.0,635.0,5.0,,,,,,1.0,1.0,"Lot 24, 2404 Railroad St #1, Pittsburgh, PA 15222",2404 Railroad St #1,Pittsburgh,PA,15222,40.455013,-79.98158,,False,,,,
450322643,FOR_RENT,Apartment for rent,,2300.0,,,,,,,,4.0,3.0,"Hudson Ridge, 234 Cadbury Dr, Red Lion, PA 17356",234 Cadbury Dr #8287D30B7,Red Lion,PA,17356,39.91879,-76.635925,,False,,,,
2054094573,FOR_RENT,Apartment for rent,,2350.0,882.0,3.0,,,2058.0,,,1.0,1.0,"Wessex House, 505 E Lancaster Ave #WH-103, Wayne, PA 19087",505 E Lancaster Ave #WH-103,Wayne,PA,19087,40.043285,-75.373405,,False,,,,
