address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"NAVSTA Newport Family Homes, 8 Constitution Ave, Middletown, RI 02842",2842,Middletown,RI,3892.0,3.0,3.0,1400.0,,https://www.zillow.com/apartments/middletown-ri/navsta-newport-family-homes/5Xqndw/,41.523315,-71.30169,,,,https://photos.zillowstatic.com/fp/ee9e71754a20eeeeff5b4aebcc4437af-p_e.jpg,,
"NAVSTA Newport Family Homes, 8 Constitution Ave, Middletown, RI 02842",2842,Middletown,RI,3838.0,3.0,3.0,1334.0,,https://www.zillow.com/apartments/middletown-ri/navsta-newport-family-homes/5Xqndw/,41.522846,-71.30155,,,,https://photos.zillowstatic.com/fp/ee9e71754a20eeeeff5b4aebcc4437af-p_e.jpg,,
"The Residences at 99 Water, 99 Water St #309, Warren, RI 02885",2885,Warren,RI,1919.0,1.0,1.0,755.0,,https://www.zillow.com/apartments/warren-ri/the-residences-at-99-water/BfdTPp/,41.733593,-71.2869,,,,https://photos.zillowstatic.com/fp/366796ad10aafdee186b2f88fd43965c-p_e.jpg,,
"Huntington Exchange Providence, 101 Cedar St #903, Providence, RI 02903",2903,Providence,RI,1965.0,2.0,1.0,592.0,,https://www.zillow.com/apartments/providence-ri/huntington-exchange-providence/CkGt6r/,41.825237,-71.42506,,,,https://photos.zillowstatic.com/fp/462361b279a7c86a1173167288ff4500-p_e.jpg,,
"38 Tyndall, 38 Tyndall Ave, Providence, RI 02908",2908,Providence,RI,3080.0,4.0,2.0,1500.0,,https://www.zillow.com/apartments/providence-ri/38-tyndall/CjjCVm/,41.838802,-71.43357,,,,https://photos.zillowstatic.com/fp/3194ac8368f1a3a8a7ab7c96a35a4b61-p_e.jpg,,
"1250 South Broadway, 1250 S Broadway APT 27, East Providence, RI 02914",2914,East Providence,RI,1564.0,1.0,1.0,529.0,,https://www.zillow.com/apartments/east-providence-ri/1250-south-broadway/CkBPT2/,41.806435,-71.372116,,,,https://photos.zillowstatic.com/fp/072f63ac0ead68bf28862436c33ad77e-p_e.jpg,,
"79 Lloyd Avenue, 79 Lloyd Ave #77C, Providence, RI 02906",2906,Providence,RI,3107.0,3.0,2.0,875.0,,https://www.zillow.com/apartments/providence-ri/79-lloyd-avenue/CgJ5Jy/,41.83118,-71.404045,,,,https://photos.zillowstatic.com/fp/5c9d063fc4c4eab668f15fe36937a452-p_e.jpg,,
"101 Hillside Ave East Side of Providence, 101 Hillside Ave #101, Providence, RI 02906",2906,Providence,RI,1779.0,1.0,1.0,625.0,,https://www.zillow.com/apartments/providence-ri/101-hillside-ave-east-side-of-providence/BG796y/,41.8565,-71.39451,,,,https://photos.zillowstatic.com/fp/8b2d3d7314d82785ceff50a44adfddd9-p_e.jpg,,
"1172 N Main St FLOOR 1, Providence, RI 02904",2904,Providence,RI,1852.0,2.0,1.0,1000.0,,https://www.zillow.com/homedetails/1172-N-Main-St-FLOOR-1-Providence-RI-02904/2061895493_zpid/,41.852448,-71.402054,,,,https://photos.zillowstatic.com/fp/87305367f0a1c3a429ad658cc1d92077-p_e.jpg,,
"953 Fort Getty Rd, Jamestown, RI 02835",2835,Jamestown,RI,3576.0,5.0,5.0,2200.0,,https://www.zillow.com/homedetails/953-Fort-Getty-Rd-Jamestown-RI-02835/210793455_zpid/,41.486862,-71.39087,,1590000.0,,https://photos.zillowstatic.com/fp/21e4b2c31c8ec48792c03087a67bb9f1-p_e.jpg,,
