zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
455232393,FOR_RENT,Apartment for rent,,1107.0,1250.0,1.0,,,,,,3.0,2.0,"Seaborn Greene, 174 Race St #213, Bamberg, SC 29003",174 Race St #213,Bamberg,SC,29003,33.300587,-81.0383,,False,,,,
2064415890,FOR_RENT,Apartment for rent,,870.0,854.0,1.0,,,1007.0,,,1.0,1.0,"Saluda Commons, 100 Birath St, Saluda, SC 29138",100 Birath St #1052706,Saluda,SC,29138,34.00874,-81.777145,,False,,,,
2124119557,FOR_RENT,Apartment for rent,,1795.0,1500.0,1.0,,,1933.0,,,2.0,2.0,"E Main Street, 100 E Main St APT 15, Spartanburg, SC 29306",100 E Main St APT 15,Spartanburg,SC,29306,34.949947,-81.931175,,False,,,,
454874539,FOR_RENT,Apartment for rent,,1645.0,1404.0,1.0,,,,,,3.0,3.0,"Bedford Creek, 4002 Cedar Falls Ln #5040, Spartanburg, SC 29303",4002 Cedar Falls Ln #5040,Spartanburg,SC,29303,35.020565,-81.93892,,False,,,,
444735596,FOR_RENT,Townhouse for rent,,1995.0,1418.0,1.0,257600.0,182.0,,,,3.0,3.0,"The Townes at Amber Bluff, 220 Harvest Gold Dr #102, Conway, SC 29526",220 Harvest Gold Dr #102,Conway,SC,29526,33.809345,-79.022644,,False,,,,
352015647,FOR_RENT,Apartment for rent,,1750.0,950.0,2.0,,,,,,2.0,2.0,"The Forest at Fenwick, 15 Stardust Way, Johns Island, SC 29455",15 Stardust Way #6D4663BF9,Johns Island,SC,29455,32.74555,-80.04418,,False,,,,
448973812,FOR_RENT,Apartment for rent,,1275.0,744.0,2.0,,,,,,1.0,1.0,"The Boulders, 1304 Stoneypointe Dr, Rock Hill, SC 29732",1304 Stoneypointe Dr #A308F37BD,Rock Hill,SC,29732,34.975555,-80.99837,,False,,,,
2054450433,FOR_RENT,Apartment for rent,,1400.0,877.0,2.0,,,1330.0,,,2.0,1.0,"Villas At Summer Creek, 5055 Harbour Lake Dr, Goose Creek, SC 29445",5055 Harbour Lake Dr #B4D2F55A5,Goose Creek,SC,29445,32.965286,-80.00694,,False,,,,
454232604,FOR_RENT,Apartment for rent,,1750.0,1142.0,2.0,,,,,,3.0,2.0,"Arlington Townes - Beautiful 3 Bed 2 Bath Townhomes for Rent in Greer, SC, 2 Arlington Rd #2124, Greer, SC 29651",2 Arlington Rd #2124,Greer,SC,29651,34.96326,-82.22557,,False,,,,
456122375,FOR_RENT,Apartment for rent,,1585.0,984.0,2.0,,,,,,2.0,2.0,"Yorkshire, 865 Lucas St #833-C, Rock Hill, SC 29730",865 Lucas St #833-C,Rock Hill,SC,29730,34.936935,-81.01925,,False,,,,
345410341,FOR_RENT,Apartment for rent,,995.0,900.0,1.0,,,1148.0,,,2.0,1.0,"View at Blue Ridge, 807 College Ave #807, Clemson, SC 29631",807 College Ave #807,Clemson,SC,29631,34.694843,-82.83335,,False,,,,
448746206,FOR_RENT,Apartment for rent,,1550.0,1100.0,1.0,,,,,,2.0,2.0,"Townhouse Village, 1721 Ashley Hall Rd, Charleston, SC 29407",1721 Ashley Hall Rd #A011CEA4F,Charleston,SC,29407,32.809185,-80.01112,,False,,,,
448501591,FOR_RENT,Apartment for rent,,1010.0,814.0,1.0,,,,,,2.0,1.0,"SOUTHERN PINES, 24 Cunningham Rd #69-F19, Taylors, SC 29687",24 Cunningham Rd #69-F19,Taylors,SC,29687,34.887905,-82.30879,,False,,,,
453896827,FOR_RENT,Apartment for rent,,1146.0,1250.0,1.0,,,,,,3.0,2.0,"Crescent Landing, 1008 White Horse Rd, Greenville, SC 29605",1008 White Horse Rd #1CCE0794F,Greenville,SC,29605,34.78166,-82.398026,,False,,,,
453215256,FOR_RENT,Apartment for rent,,1050.0,840.0,1.0,,,,,,2.0,1.0,"Riverbanks Retreat, 1035 Comanchee Trl, West Columbia, SC 29169",1035 Comanchee Trl #93CA10994,West Columbia,SC,29169,33.999756,-81.07229,,False,,,,
448974186,FOR_RENT,Apartment for rent,,1085.0,700.0,2.0,,,,,,1.0,1.0,"The Bluffs, 100 Vanderbilt Ln, Spartanburg, SC 29301",100 Vanderbilt Ln #DDF995B1E,Spartanburg,SC,29301,34.9445,-81.96441,,False,,,,
455127847,FOR_RENT,Apartment for rent,,1200.0,600.0,2.0,,,,,,1.0,1.0,"Twin Oaks Apartments, 2557 Midland Park Rd #B3, Charleston, SC 29406",2557 Midland Park Rd #B3,Charleston,SC,29406,32.920235,-80.04439,,False,,,,
448977147,FOR_RENT,Apartment for rent,,1099.0,750.0,1.0,,,,,,2.0,1.0,"Sedgefield Apartments, 5941 Willard Dr, Hanahan, SC 29410",5941 Willard Dr #84FF78118,Hanahan,SC,29410,32.910297,-80.00606,,False,,,,
