zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
455132231,FOR_RENT,Apartment for rent,,1159.0,,,,,,,,1.0,1.0,"Olive Grove Apartments, 4904 W Kirkwood Cir, Sioux Falls, SD 57106",4904 W Kirkwood Cir #AB1C48E14,Sioux Falls,SD,57106,43.512493,-96.78683,,False,,,,
455132462,FOR_RENT,Apartment for rent,,1100.0,,,,,,,,1.0,1.0,"130 Juniper Street, 130 Juniper St, Winner, SD 57580",130 Juniper St #388221DB8,Winner,SD,57580,43.37725,-99.84846,,False,,,,
2061964701,FOR_RENT,Apartment for rent,,1080.0,980.0,1.0,,,1034.0,,,2.0,1.0,"Terrace Hills Apartments, 2601 S Kiwanis Ave #105, Sioux Falls, SD 57105",2601 S Kiwanis Ave #105,Sioux Falls,SD,57105,43.52158,-96.76163,,False,,,,
448985581,FOR_RENT,Apartment for rent,,765.0,600.0,1.0,,,,,,1.0,1.0,"Willowwood, 1600 S Rock Creek Dr, Sioux Falls, SD 57103",1600 S Rock Creek Dr #2BB5A68C2,Sioux Falls,SD,57103,43.532375,-96.69055,,False,,,,
2057069783,FOR_RENT,Apartment for rent,,1669.0,1600.0,1.0,,,1635.0,,,3.0,3.0,"The Gables Townhomes, 4009 W Newcomb Dr #903, Sioux Falls, SD 57106",4009 W Newcomb Dr #903,Sioux Falls,SD,57106,43.538296,-96.77202,,False,,,,
452737363,FOR_RENT,Apartment for rent,,1395.0,1318.0,1.0,,,,,,3.0,2.0,"3615 W Ralph Rogers Rd., 3615 W Ralph Rogers Rd #206, Sioux Falls, SD 57108",3615 W Ralph Rogers Rd #206,Sioux Falls,SD,57108,43.490227,-96.76305,,False,,,,
448212138,FOR_RENT,Apartment for rent,,759.0,525.0,1.0,,,,,,1.0,1.0,"Falls View, 309 W 2nd St, Sioux Falls, SD 57104",309 W 2nd St #4BC4BD7CE,Sioux Falls,SD,57104,43.55621,-96.73048,,False,,,,
2088156354,FOR_RENT,Apartment for rent,,1247.0,800.0,2.0,,,1204.0,,,1.0,1.0,"Royal Oak Apartments, 4902 S Oxbow Ave #4902-108, Sioux Falls, SD 57106",4902 S Oxbow Ave #4902-108,Sioux Falls,SD,57106,43.5014,-96.76372,,False,,,,
454899585,FOR_RENT,Apartment for rent,,1125.0,620.0,2.0,,,,,,1.0,1.0,"The Oaks, 218 19th St SE #122, Watertown, SD 57201",218 19th St SE #122,Watertown,SD,57201,44.89155,-97.08476,,False,,,,
454935033,FOR_RENT,Apartment for rent,,1299.0,1082.0,1.0,,,,,,3.0,2.0,"231 W 4th Street, 231 W 4th St #A, Tea, SD 57064",231 W 4th St #A,Tea,SD,57064,43.443085,-96.8389,,False,,,,
452737364,FOR_RENT,Apartment for rent,,895.0,850.0,1.0,,,,,,2.0,1.0,"4601 E 3rd St, 4601 E 3rd St #9, Sioux Falls, SD 57110",4601 E 3rd St #9,Sioux Falls,SD,57110,43.554596,-96.668495,,False,,,,
452705162,FOR_RENT,Apartment for rent,,1300.0,1040.0,1.0,,,,,,2.0,2.0,"Arianna Townhomes, 315 Arianna Pl, Tea, SD 57064",315 Arianna Pl #B178340D3,Tea,SD,57064,43.461365,-96.839485,,False,,,,
454829233,FOR_RENT,Apartment for rent,,1385.0,1056.0,1.0,,,,,,3.0,2.0,"Marion Community, 500 S Ruth Ave, Sioux Falls, SD 57106",500 S Ruth Ave #C113C9878,Sioux Falls,SD,57106,43.542553,-96.783676,,False,,,,
455319418,FOR_RENT,Townhouse for rent,,1795.0,1350.0,1.0,,,,,,3.0,3.0,"1001 Tanner Ct, Tea, SD 57064",1001 Tanner Ct,Tea,SD,57064,43.455406,-96.83543,,False,,,,
450014413,FOR_RENT,Apartment for rent,,650.0,854.0,1.0,,,,,,2.0,1.0,"Parkside Commons, 4304 E 18th St, Sioux Falls, SD 57103",4304 E 18th St #A36FEEF4D,Sioux Falls,SD,57103,43.53718,-96.67304,,False,,,,
2053971279,FOR_RENT,Apartment for rent,,900.0,800.0,1.0,,,942.0,,,1.0,1.0,"PRAIRIE POINTE APARTMENTS, 3600 S Sycamore Ave #201, Sioux Falls, SD 57110",3600 S Sycamore Ave #201,Sioux Falls,SD,57110,43.509262,-96.67066,,False,,,,
448991895,FOR_RENT,Apartment for rent,,600.0,775.0,1.0,,,,,,2.0,1.0,"Arnold's Park Apartments, 812 W Bailey St, Sioux Falls, SD 57104",812 W Bailey St #0E4CCF3F1,Sioux Falls,SD,57104,43.56226,-96.73862,,False,,,,
449911948,FOR_RENT,Apartment for rent,,1020.0,930.0,1.0,,,,,,2.0,1.0,"Depot Apartments, 1116 S Main St, Aberdeen, SD 57401",1116 S Main St #B5604F9C3,Aberdeen,SD,57401,45.45339,-98.48893,,False,,,,
449612937,FOR_RENT,Apartment for rent,,862.0,697.0,1.0,,,,,,1.0,1.0,"Majestic Ridge, 3610 S Sparta Ave, Sioux Falls, SD 57110",3610 S Sparta Ave #95359BA9E,Sioux Falls,SD,57110,43.51294,-96.63479,,False,,,,
454977965,FOR_RENT,Apartment for rent,,750.0,562.0,1.0,,,,,,1.0,1.0,"809 W 10th Street, 809 W 10th St #4, Sioux Falls, SD 57104",809 W 10th St #4,Sioux Falls,SD,57104,43.545624,-96.737915,,False,,,,
454935454,FOR_RENT,Apartment for rent,,1599.0,1413.0,1.0,,,,,,3.0,2.0,"400 N. Main St, 400 N Main Ave #7, Tea, SD 57064",400 N Main Ave #7,Tea,SD,57064,43.45101,-96.83574,,False,,,,
453082411,FOR_RENT,Apartment for rent,,835.0,619.0,1.0,,,,,,1.0,1.0,"Mirada Manor Apartments, 3120 W Rambler Pl, Sioux Falls, SD 57108",3120 W Rambler Pl #DAA415EB6,Sioux Falls,SD,57108,43.47581,-96.765,,False,,,,
455304748,FOR_RENT,Apartment for rent,,874.0,425.0,2.0,,,,,,,1.0,"Flats on Havens, 1525 W Havens Ave #1009, Mitchell, SD 57301",1525 W Havens Ave #1009,Mitchell,SD,57301,43.70144,-98.04515,,False,,,,
