zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL,fips_code,geo_id
455325377,FOR_RENT,Apartment for rent,,2200.0,1539.0,1.0,,,,,,3.0,2.0,"Heritage Hills Townhomes, 1011 Lady Nashville Dr #1031, Hermitage, TN 37076",1011 Lady Nashville Dr #1031,Hermitage,TN,37076,36.215153,-86.58438,,False,,,https://photos.zillowstatic.com/fp/6c1db1d0487c17e3d09653bef8dc06e2-p_e.jpg,https://www.zillow.com/apartments/hermitage-tn/heritage-hills-townhomes/CkBfBr/,https://www.zillow.com/tn/rentals/2_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-89.79221046103915%2C%22east%22%3A-83.36520850791415%2C%22south%22%3A33.61463968321731%2C%22north%22%3A37.23909479520941%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A53%2C%22regionType%22%3A2%7D%5D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22TN%22%7D,,
452224807,FOR_RENT,Apartment for rent,,1499.0,270.0,6.0,,,,,,,1.0,"Nashville - Airport - Music City, 727 McGavock Pike, Nashville, TN 37214",727 McGavock Pike #9700,Nashville,TN,37214,36.150993,-86.68312,,False,,,https://photos.zillowstatic.com/fp/7306672f3328faf1e97b479f5345a0a6-p_e.jpg,https://www.zillow.com/apartments/nashville-tn/nashville-airport-music-city/Cm6bmg/,https://www.zillow.com/tn/rentals/2_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-89.79221046103915%2C%22east%22%3A-83.36520850791415%2C%22south%22%3A33.61463968321731%2C%22north%22%3A37.23909479520941%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A53%2C%22regionType%22%3A2%7D%5D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22TN%22%7D,,
453822430,FOR_RENT,Apartment for rent,,2685.0,1618.0,2.0,,,,,,3.0,2.0,"Mockingbird Meadows, 7711 Mockingbird Meadows Dr, Knoxville, TN 37938",7711 Mockingbird Meadows Dr #811F7F97C,Knoxville,TN,37938,36.069927,-83.970436,,False,,,https://photos.zillowstatic.com/fp/bdaecc27b0630704bfbfe3b3c3dec842-p_e.jpg,https://www.zillow.com/apartments/knoxville-tn/mockingbird-meadows/CknrDZ/,https://www.zillow.com/tn/rentals/2_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-89.79221046103915%2C%22east%22%3A-83.36520850791415%2C%22south%22%3A33.61463968321731%2C%22north%22%3A37.23909479520941%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A53%2C%22regionType%22%3A2%7D%5D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22TN%22%7D,,
350309951,FOR_RENT,Apartment for rent,,1270.0,1070.0,1.0,,,1367.0,,,2.0,2.0,"Rossview Villages, 2507 Rollow Ln, Clarksville, TN 37043",2507 Rollow Ln #F659F1464,Clarksville,TN,37043,36.566612,-87.23374,,False,,,https://photos.zillowstatic.com/fp/a569cd843cff22ba799ca6d100a0d105-p_e.jpg,https://www.zillow.com/apartments/clarksville-tn/rossview-villages/CgK82G/,https://www.zillow.com/tn/rentals/2_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-89.79221046103915%2C%22east%22%3A-83.36520850791415%2C%22south%22%3A33.61463968321731%2C%22north%22%3A37.23909479520941%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A53%2C%22regionType%22%3A2%7D%5D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22TN%22%7D,,
452224705,FOR_RENT,Apartment for rent,,1769.0,300.0,6.0,,,,,,,1.0,"Nashville - Brentwood - South, 9020 Church St E, Brentwood, TN 37027",9020 Church St E #305,Brentwood,TN,37027,36.034103,-86.78062,,False,,,https://photos.zillowstatic.com/fp/fdab0695a504e3b8f5903351ef39d078-p_e.jpg,https://www.zillow.com/apartments/brentwood-tn/nashville-brentwood-south/Cm6bjw/,https://www.zillow.com/tn/rentals/2_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-89.79221046103915%2C%22east%22%3A-83.36520850791415%2C%22south%22%3A33.61463968321731%2C%22north%22%3A37.23909479520941%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A53%2C%22regionType%22%3A2%7D%5D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22TN%22%7D,,
454188966,FOR_RENT,Apartment for rent,,2265.0,1370.0,2.0,,,,,,2.0,2.0,"Villas on Wallace Road, 1211 Gray Birch Way #D201, Knoxville, TN 37919",1211 Gray Birch Way #D201,Knoxville,TN,37919,35.896626,-84.03713,,False,,,https://photos.zillowstatic.com/fp/c53f438359da057a916fbb14736033ab-p_e.jpg,https://www.zillow.com/apartments/knoxville-tn/villas-on-wallace-road/CkNNk5/,https://www.zillow.com/tn/rentals/3_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A3%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-89.79221046103915%2C%22east%22%3A-83.36520850791415%2C%22south%22%3A33.61463968321731%2C%22north%22%3A37.23909479520941%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A53%2C%22regionType%22%3A2%7D%5D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22TN%22%7D,,
2067978309,FOR_RENT,Apartment for rent,,1820.0,1397.0,1.0,,,1769.0,,,3.0,2.0,"The Venue at 109, 1000 Venue Cir #25-106, Lebanon, TN 37090",1000 Venue Cir #25-106,Lebanon,TN,37090,36.180317,-86.39774,,False,,,https://photos.zillowstatic.com/fp/bebcfd8573a95aee37f6dcfe87c9e7ab-p_e.jpg,https://www.zillow.com/apartments/lebanon-tn/the-venue-at-109/Ch6qLD/,https://www.zillow.com/tn/rentals/3_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A3%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-89.79221046103915%2C%22east%22%3A-83.36520850791415%2C%22south%22%3A33.61463968321731%2C%22north%22%3A37.23909479520941%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A53%2C%22regionType%22%3A2%7D%5D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22TN%22%7D,,
348550324,FOR_RENT,Apartment for rent,,1300.0,1180.0,1.0,,,1323.0,,,2.0,3.0,"Greystone Townhomes, 2630 Union Hall Rd, Clarksville, TN 37040",2630 Union Hall Rd #8488257CE,Clarksville,TN,37040,36.58352,-87.3056,,False,,,https://photos.zillowstatic.com/fp/894273d2fa4e743f0c423fa4b3fc883a-p_e.jpg,https://www.zillow.com/apartments/clarksville-tn/greystone-townhomes/9DmPP4/,https://www.zillow.com/tn/rentals/3_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A3%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-89.79221046103915%2C%22east%22%3A-83.36520850791415%2C%22south%22%3A33.61463968321731%2C%22north%22%3A37.23909479520941%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A53%2C%22regionType%22%3A2%7D%5D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22TN%22%7D,,
177850929,FOR_RENT,Apartment for rent,,4999.0,2859.0,2.0,1377400.0,482.0,5264.0,,,4.0,4.0,"119 30th Ave, 119C 30th Ave S, Nashville, TN 37212",119C 30th Ave S,Nashville,TN,37212,36.142284,-86.813736,,False,,,https://photos.zillowstatic.com/fp/b0a4bfd993c411aff7f41c587858925f-p_e.jpg,https://www.zillow.com/apartments/nashville-tn/119-30th-ave/65dVkf/,https://www.zillow.com/tn/rentals/4_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A4%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-89.79221046103915%2C%22east%22%3A-83.36520850791415%2C%22south%22%3A33.61463968321731%2C%22north%22%3A37.23909479520941%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A53%2C%22regionType%22%3A2%7D%5D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22TN%22%7D,,
2106270910,FOR_RENT,Apartment for rent,,1459.0,1100.0,1.0,,,1425.0,,,2.0,2.0,"Blackberry Creek Apartments, 9516 Dayton Pike APT 1015, Soddy Daisy, TN 37379",9516 Dayton Pike APT 1015,Soddy Daisy,TN,37379,35.238132,-85.19457,,False,,,https://photos.zillowstatic.com/fp/3761aaf31f4d09b0556035d73276e7ef-p_e.jpg,https://www.zillow.com/apartments/soddy-daisy-tn/blackberry-creek-apartments/5Xt8cZ/,https://www.zillow.com/tn/rentals/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-89.79221046103915%2C%22east%22%3A-83.36520850791415%2C%22south%22%3A33.61463968321731%2C%22north%22%3A37.23909479520941%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A53%2C%22regionType%22%3A2%7D%5D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22TN%22%7D,,
