zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
348877800,FOR_RENT,Apartment for rent,,1615.0,968.0,2.0,,,1503.0,,,2.0,2.0,"Towne Centre Village, 1208 Americana Ln #305, Mesquite, TX 75150",1208 Americana Ln #305,Mesquite,TX,75150,32.804543,-96.61768,,False,,,,
352179675,FOR_RENT,Apartment for rent,,2380.0,1324.0,2.0,,,2348.0,,,2.0,2.0,"Wildwood Luxury Urban Homes, 201 Wildwood Blvd #1332, Forney, TX 75126",201 Wildwood Blvd #1332,Forney,TX,75126,32.74956,-96.45129,,False,,,,
449413277,FOR_RENT,Apartment for rent,,1425.0,724.0,2.0,,,,,,1.0,1.0,"The Parker at Hyde Park, 3107 Speedway, Austin, TX 78705",3107 Speedway #1AB73479C,Austin,TX,78705,30.295656,-97.736305,,False,,,,
452806614,FOR_RENT,Apartment for rent,,1494.0,960.0,2.0,,,,,,2.0,2.0,"Quail Crossing Apartments, 720 E Warrior Trl #510, Grand Prairie, TX 75052",720 E Warrior Trl #510,Grand Prairie,TX,75052,32.69983,-96.99605,,False,,,,
401696839,FOR_RENT,Apartment for rent,,1740.0,1343.0,1.0,,,,,,3.0,3.0,"Solstice Springs, 2997 Rosenholz St #2986-R, New Braunfels, TX 78130",2997 Rosenholz St #2986-R,New Braunfels,TX,78130,29.677004,-98.1469,,False,,,,
2073202972,FOR_RENT,Apartment for rent,,1005.0,690.0,1.0,,,1027.0,,,1.0,1.0,"Crestwood Apartments, 525 Commerce St #127, Azle, TX 76020",525 Commerce St #127,Azle,TX,76020,32.906506,-97.54595,,False,,,,
455778017,FOR_RENT,Apartment for rent,,1240.0,768.0,2.0,,,,,,1.0,1.0,"Axiom Apartments, 4019 Vance Jackson Rd APT 120B, San Antonio, TX 78213",4019 Vance Jackson Rd APT 120B,San Antonio,TX,78213,29.510468,-98.5357,,False,,,,
454950994,FOR_RENT,Apartment for rent,,1376.0,612.0,2.0,,,,,,1.0,1.0,"404 Border, 404 E Border St, Arlington, TX 76010",404 E Border St #A47AA96AC,Arlington,TX,76010,32.733273,-97.10378,,False,,,,
2076709778,FOR_RENT,Apartment for rent,,1215.0,840.0,1.0,,,1181.0,,,2.0,1.0,"Birchleaf, 202 Birchleaf Dr #210, San Antonio, TX 78216",202 Birchleaf Dr #210,San Antonio,TX,78216,29.514748,-98.49269,,False,,,,
449019270,FOR_RENT,Apartment for rent,,1045.0,798.0,1.0,,,,,,1.0,1.0,"Sola Westchase, 3354 Rogerdale Rd, Houston, TX 77042",3354 Rogerdale Rd #BBCF5BB96,Houston,TX,77042,29.724884,-95.56013,,False,,,,
402074100,FOR_RENT,Apartment for rent,,1600.0,1200.0,1.0,,,,,,2.0,2.0,"Haverhill Place Apartments, 2310 Haverhill Dr, Tyler, TX 75707",2310 Haverhill Dr #2B-2BA,Tyler,TX,75707,32.325497,-95.24748,,False,,,,
448787077,FOR_RENT,Apartment for rent,,819.0,540.0,2.0,,,,,,1.0,1.0,"3737 Hillcroft Apartments, 3737 Hillcroft St, Houston, TX 77057",3737 Hillcroft St #87CF40AA0,Houston,TX,77057,29.724909,-95.5005,,False,,,,
452018226,FOR_RENT,Apartment for rent,,1250.0,927.0,1.0,,,,,,2.0,1.0,"Biltmore, 2300 Misty Ridge Cir #243, Arlington, TX 76011",2300 Misty Ridge Cir #243,Arlington,TX,76011,32.774204,-97.0999,,False,,,,
454124247,FOR_RENT,Apartment for rent,,1269.0,862.0,1.0,,,,,,2.0,2.0,"Arbors at Wolf Pen Creek Apartments, 301 Holleman Dr E #517, College Station, TX 77840",301 Holleman Dr E #517,College Station,TX,77840,30.616379,-96.31313,,False,,,,
2066758703,FOR_RENT,Apartment for rent,,769.0,563.0,1.0,,,743.0,,,1.0,1.0,"Collingwood Gardens, 838 Greens Rd, Houston, TX 77060",838 Greens Rd #A8DE256B3,Houston,TX,77060,29.950493,-95.39558,,False,,,,
2080502875,FOR_RENT,Apartment for rent,,1934.0,1240.0,2.0,,,1961.0,,,2.0,2.0,"Midtown Grove, 3603 Chenevert St APT 303, Houston, TX 77004",3603 Chenevert St APT 303,Houston,TX,77004,29.734264,-95.37228,,False,,,,
448974364,FOR_RENT,Apartment for rent,,1080.0,628.0,2.0,,,,,,1.0,1.0,"Aria Victoria, 8311 NE Zac Lentz Pkwy, Victoria, TX 77904",8311 NE Zac Lentz Pkwy #EC3207E85,Victoria,TX,77904,28.861881,-97.006454,,False,,,,
2072225101,FOR_RENT,Apartment for rent,,799.0,650.0,1.0,,,808.0,,,1.0,1.0,"The Mirabella Senior Apartments, 1955 Bandera Rd #3211H, San Antonio, TX 78228",1955 Bandera Rd #3211H,San Antonio,TX,78228,29.472504,-98.577934,,False,,,,
455728720,FOR_RENT,Apartment for rent,,1070.0,634.0,2.0,,,,,,1.0,1.0,"Willowbrook, 510 Billie Bess Ln #213, Conroe, TX 77301",510 Billie Bess Ln #213,Conroe,TX,77301,30.329248,-95.46422,,False,,,,
80523460,FOR_RENT,House for rent,,1100.0,150.0,7.0,401800.0,2679.0,3026.0,,,1.0,1.0,"15727 Sandisfield Ln, Houston, TX 77084",15727 Sandisfield Ln,Houston,TX,77084,29.854088,-95.647514,,False,,,,
2072844369,FOR_RENT,Apartment for rent,,1625.0,1000.0,2.0,,,1866.0,,,2.0,1.0,"504 W Clay St, Houston, TX 77019",504 W Clay St,Houston,TX,77019,29.755714,-95.38748,,False,,,,
28060243,FOR_RENT,House for rent,,1775.0,1242.0,1.0,207700.0,167.0,1731.0,,,3.0,2.0,"3702 Malone Dr, Pasadena, TX 77503",3702 Malone Dr,Pasadena,TX,77503,29.691084,-95.15775,,False,,,,
456072077,FOR_RENT,Apartment for rent,,1100.0,600.0,2.0,,,,,,2.0,1.0,"6623 Sherman St APT 2, Houston, TX 77011",6623 Sherman St APT 2,Houston,TX,77011,29.740007,-95.308014,,False,,,,
454196629,FOR_RENT,Apartment for rent,,1700.0,1350.0,1.0,,,,,,2.0,2.0,"3426 Tampa St, Houston, TX 77021",3426 Tampa St,Houston,TX,77021,29.704742,-95.367584,,False,,,,
2059759457,FOR_RENT,Apartment for rent,,1999.0,954.0,2.0,,,1898.0,,,1.0,2.0,"3824 Fulton St UNIT 117, Houston, TX 77009",3824 Fulton St UNIT 117,Houston,TX,77009,29.795757,-95.365685,,False,,,,
440363673,FOR_RENT,Apartment for rent,,1100.0,780.0,1.0,,,,,,2.0,1.0,"3604 Quitman St #1, Houston, TX 77026",3604 Quitman St #1,Houston,TX,77026,29.783699,-95.33393,,False,,,,
455866572,FOR_RENT,Apartment for rent,,1100.0,740.0,1.0,,,,,,1.0,1.0,"5552 N Braeswood Blvd #21, Houston, TX 77096",5552 N Braeswood Blvd #21,Houston,TX,77096,29.67577,-95.48562,,False,,,,
28184214,FOR_RENT,Townhouse for rent,,2200.0,2049.0,1.0,273800.0,134.0,2087.0,,,4.0,3.0,"1721 W Sam Houston Pkwy S, Houston, TX 77042",1721 W Sam Houston Pkwy S,Houston,TX,77042,29.744799,-95.5563,,False,,,,
455905111,FOR_RENT,Apartment for rent,,3100.0,1158.0,3.0,,,,,,2.0,2.0,"730 W 22nd St #A, Houston, TX 77008",730 W 22nd St #A,Houston,TX,77008,29.805536,-95.411446,,False,,,,
27939132,FOR_RENT,House for rent,,1564.0,1452.0,1.0,194400.0,134.0,1605.0,,,4.0,2.0,"2207 18th St, Galena Park, TX 77547",2207 18th St,Galena Park,TX,77547,29.745876,-95.2459,,False,,,,
28466768,FOR_RENT,Apartment for rent,,1550.0,1250.0,1.0,81800.0,65.0,1597.0,,,3.0,2.0,"8712 Village Of Fondren Dr #8712, Houston, TX 77071",8712 Village Of Fondren Dr #8712,Houston,TX,77071,29.638876,-95.53125,,False,,,,
251167241,FOR_RENT,Townhouse for rent,,3100.0,1955.0,2.0,342200.0,175.0,2994.0,,,3.0,4.0,"4128 Willowbend Blvd, Houston, TX 77025",4128 Willowbend Blvd,Houston,TX,77025,29.664766,-95.44605,,False,,,,
28046280,FOR_RENT,House for rent,,2450.0,1795.0,1.0,379400.0,211.0,2580.0,,,3.0,2.0,"10062 Haddington Dr, Houston, TX 77080",10062 Haddington Dr,Houston,TX,77080,29.802042,-95.54412,,False,,,,
2094028417,FOR_RENT,Apartment for rent,,1450.0,1350.0,1.0,,,1518.0,,,2.0,2.0,"12320 Ormandy St, Houston, TX 77085",12320 Ormandy St,Houston,TX,77085,29.62905,-95.5062,,False,,,,
122502635,FOR_RENT,House for rent,,2100.0,1800.0,1.0,307100.0,171.0,2202.0,,,3.0,2.0,"5334 Silktail Ct, Richmond, TX 77407",5334 Silktail Ct,Richmond,TX,77407,29.669844,-95.72229,,False,,,,
452095346,FOR_RENT,Apartment for rent,,1300.0,800.0,2.0,,,,,,2.0,2.0,"3709 Anita St #1-4, Houston, TX 77004",3709 Anita St #1-4,Houston,TX,77004,29.729418,-95.34697,,False,,,,
28154800,FOR_RENT,Apartment for rent,,3700.0,2640.0,1.0,483000.0,183.0,3425.0,,,4.0,4.0,"10907 Olympia Dr, Houston, TX 77042",10907 Olympia Dr,Houston,TX,77042,29.743202,-95.56998,,False,,,,
27608187,FOR_RENT,House for rent,,1900.0,1580.0,1.0,221100.0,140.0,1812.0,,,3.0,2.0,"2002 Secretariet Dr, Stafford, TX 77477",2002 Secretariet Dr,Stafford,TX,77477,29.607899,-95.5385,,False,,,,
243978288,FOR_RENT,Apartment for rent,,2999.0,2602.0,1.0,480700.0,185.0,3213.0,,,3.0,3.0,"2004 Rosedale St #D, Houston, TX 77004",2004 Rosedale St #D,Houston,TX,77004,29.724934,-95.3778,,False,,,,
2105839395,FOR_RENT,Apartment for rent,,1250.0,1050.0,1.0,,,1275.0,,,2.0,2.0,"10007 Emerald Creek Dr UNIT C, Houston, TX 77070",10007 Emerald Creek Dr UNIT C,Houston,TX,77070,29.945093,-95.57005,,False,,,,
2122895329,FOR_RENT,Apartment for rent,,1250.0,790.0,2.0,,,1131.0,,,2.0,1.0,"2518 Anita St, Houston, TX 77004",2518 Anita St,Houston,TX,77004,29.734692,-95.3627,,False,,,,
455838549,FOR_RENT,Apartment for rent,,1700.0,2000.0,1.0,,,,,,3.0,2.0,"405 Clearwater St #B, Houston, TX 77029",405 Clearwater St #B,Houston,TX,77029,29.742552,-95.255104,,False,,,,
456182710,FOR_RENT,Apartment for rent,,900.0,450.0,2.0,,,,,,2.0,1.0,"3411 Market St #3413, Houston, TX 77020",3411 Market St #3413,Houston,TX,77020,29.772795,-95.33509,,False,,,,
2078244029,FOR_RENT,Apartment for rent,,1150.0,670.0,2.0,,,944.0,,,1.0,1.0,"5353 Richmond Ave, Houston, TX 77056",5353 Richmond Ave,Houston,TX,77056,29.731102,-95.47011,,False,,,,
455615702,FOR_RENT,Apartment for rent,,899.0,658.0,1.0,,,,,,1.0,1.0,"Gessner Park Apartments, 1776 Gessner Dr #403, Houston, TX 77080",1776 Gessner Dr #403,Houston,TX,77080,29.804705,-95.54491,,False,,,,
2053279313,FOR_RENT,Apartment for rent,,1200.0,600.0,2.0,,,1260.0,,,1.0,1.0,"935 Byrne, 935 Byrne St #B25, Houston, TX 77009",935 Byrne St #B25,Houston,TX,77009,29.784428,-95.383255,,False,,,,
58678682,FOR_RENT,House for rent,,4499.0,2934.0,2.0,638700.0,218.0,4365.0,,,3.0,4.0,"2103 Hazard St, Houston, TX 77019",2103 Hazard St,Houston,TX,77019,29.746696,-95.40688,,False,,,,
28152140,FOR_RENT,House for rent,,2834.0,1971.0,1.0,394300.0,200.0,2834.0,,,4.0,2.0,"9735 Philmont Dr, Houston, TX 77080",9735 Philmont Dr,Houston,TX,77080,29.826544,-95.53324,,False,,,,
2056224969,FOR_RENT,Townhouse for rent,,1725.0,1150.0,2.0,354800.0,309.0,1553.0,,,3.0,2.0,"6619 Bacher St, Houston, TX 77028",6619 Bacher St,Houston,TX,77028,29.8238,-95.2776,,False,,,,
28320143,FOR_RENT,House for rent,,2200.0,1882.0,1.0,296200.0,157.0,2181.0,,,3.0,2.0,"1042 Cascade Creek Dr, Katy, TX 77450",1042 Cascade Creek Dr,Katy,TX,77450,29.768597,-95.76831,,False,,,,
456089858,FOR_RENT,Apartment for rent,,1700.0,2000.0,1.0,,,,,,3.0,2.0,"405 Clearwater Ab St #A, Houston, TX 77029",405 Clearwater Ab St #A,Houston,TX,77029,29.761509,-95.264206,,False,,,,
2057077145,FOR_RENT,House for rent,,2300.0,1558.0,1.0,299700.0,192.0,2390.0,,,3.0,2.0,"21618 Coral Mist Dr, Cypress, TX 77433",21618 Coral Mist Dr,Cypress,TX,77433,29.896399,-95.74337,,False,,,,
28275290,FOR_RENT,House for rent,,6000.0,1815.0,3.0,283900.0,156.0,1958.0,,,4.0,2.0,"15126 Forest Lodge Dr, Houston, TX 77070",15126 Forest Lodge Dr,Houston,TX,77070,29.994118,-95.59629,,False,,,,
27544008,FOR_RENT,House for rent,,1600.0,1357.0,1.0,191000.0,141.0,1723.0,,,3.0,2.0,"15523 Fall Briar Dr, Missouri City, TX 77489",15523 Fall Briar Dr,Missouri City,TX,77489,29.600197,-95.478645,,False,,,,
2056551821,FOR_RENT,Townhouse for rent,,1325.0,810.0,2.0,146200.0,180.0,1063.0,,,1.0,2.0,"8801 Hammerly Blvd, Houston, TX 77080",8801 Hammerly Blvd,Houston,TX,77080,29.809578,-95.5103,,False,,,,
2063233465,FOR_RENT,Apartment for rent,,1280.0,750.0,2.0,,,1490.0,,,1.0,1.0,"1912 Morgan St, Houston, TX 77006",1912 Morgan St,Houston,TX,77006,29.751108,-95.38671,,False,,,,
2060315181,FOR_RENT,Apartment for rent,,1199.0,745.0,2.0,,,1010.0,,,2.0,1.0,"5718 Pickfair St, 5718 Pickfair St #7, Houston, TX 77026",5718 Pickfair St #7,Houston,TX,77026,29.812088,-95.31871,,False,,,,
27594876,FOR_RENT,House for rent,,1900.0,1652.0,1.0,212300.0,129.0,1721.0,,,3.0,2.0,"2711 Quail Valley East Dr, Missouri City, TX 77489",2711 Quail Valley East Dr,Missouri City,TX,77489,29.578968,-95.54114,,False,,,,
28418327,FOR_RENT,House for rent,,1895.0,1650.0,1.0,243400.0,148.0,1934.0,,,3.0,2.0,"12502 Miriam Ln, Houston, TX 77071",12502 Miriam Ln,Houston,TX,77071,29.640743,-95.51114,,False,,,,
28052106,FOR_RENT,House for rent,,3400.0,2285.0,1.0,384800.0,168.0,2859.0,,,3.0,2.0,"(undisclosed Address), Houston, TX 77096",(undisclosed Address),Houston,TX,77096,,,,False,,,,
70314448,FOR_RENT,House for rent,,2100.0,2050.0,1.0,272000.0,133.0,2053.0,,,3.0,3.0,"13178 Kody Ridge Ct, Houston, TX 77034",13178 Kody Ridge Ct,Houston,TX,77034,29.618181,-95.19736,,False,,,,
455974155,FOR_RENT,Townhouse for rent,,2500.0,1450.0,2.0,319300.0,220.0,,,,3.0,3.0,"217 Pheasant St #A, Houston, TX 77018",217 Pheasant St #A,Houston,TX,77018,29.823029,-95.40144,,False,,,,
442445845,FOR_RENT,Apartment for rent,,2300.0,1839.0,1.0,,,,,,4.0,3.0,"9225 Madera Rd #2, Houston, TX 77078",9225 Madera Rd #2,Houston,TX,77078,29.858131,-95.25382,,False,,,,
84039272,FOR_RENT,Apartment for rent,,3000.0,1945.0,2.0,436900.0,225.0,3020.0,,,3.0,4.0,"1433 W 23rd St UNIT A, Houston, TX 77008",1433 W 23rd St UNIT A,Houston,TX,77008,29.806822,-95.425354,,False,,,,
97634874,FOR_RENT,House for rent,,3500.0,3298.0,1.0,548800.0,166.0,4769.0,,,3.0,4.0,"1610 Victor St, Houston, TX 77019",1610 Victor St,Houston,TX,77019,29.754047,-95.38338,,False,,,,
305256358,FOR_RENT,House for rent,,2600.0,1725.0,2.0,303600.0,176.0,2588.0,,,3.0,3.0,"3217 Millwork St, Houston, TX 77080",3217 Millwork St,Houston,TX,77080,29.828915,-95.54198,,False,,,,
350867457,FOR_RENT,House for rent,,2199.0,2000.0,1.0,333500.0,167.0,2525.0,,,4.0,2.0,"2014 Katalonia Ln, Fresno, TX 77545",2014 Katalonia Ln,Fresno,TX,77545,29.5545,-95.501305,,False,,,,
27595208,FOR_RENT,House for rent,,2100.0,1868.0,1.0,256900.0,138.0,1849.0,,,3.0,2.0,"2714 Quiet Bend Dr, Missouri City, TX 77489",2714 Quiet Bend Dr,Missouri City,TX,77489,29.579758,-95.53534,,False,,,,
27849037,FOR_RENT,House for rent,,2900.0,2300.0,1.0,394700.0,172.0,2804.0,,,4.0,3.0,"2014 Arbor St, Houston, TX 77004",2014 Arbor St,Houston,TX,77004,29.725256,-95.37666,,False,,,,
28278055,FOR_RENT,House for rent,,1895.0,2040.0,1.0,230300.0,113.0,1829.0,,,3.0,2.0,"5211 Girnigoe Dr, Houston, TX 77084",5211 Girnigoe Dr,Houston,TX,77084,29.854403,-95.654236,,False,,,,
97620255,FOR_RENT,House for rent,,2080.0,1870.0,1.0,217300.0,116.0,1801.0,,,4.0,3.0,"8606 Wilkins Oaks Dr, Houston, TX 77028",8606 Wilkins Oaks Dr,Houston,TX,77028,29.840044,-95.26542,,False,,,,
97627823,FOR_RENT,House for rent,,2080.0,1870.0,1.0,242600.0,130.0,2125.0,,,4.0,3.0,"8711 J C Oaks Cir, Houston, TX 77028",8711 J C Oaks Cir,Houston,TX,77028,29.82458,-95.28686,,False,,,,
27998846,FOR_RENT,House for rent,,2500.0,1206.0,2.0,364700.0,302.0,2468.0,,,3.0,2.0,"1027 Stonecrest Dr, Houston, TX 77018",1027 Stonecrest Dr,Houston,TX,77018,29.814184,-95.418915,,False,,,,
28090012,FOR_RENT,House for rent,,2865.0,2372.0,1.0,501100.0,211.0,2832.0,,,4.0,2.0,"6030 Wigton Dr, Houston, TX 77096",6030 Wigton Dr,Houston,TX,77096,29.6696,-95.49699,,False,,,,
89634416,FOR_RENT,House for rent,,2220.0,2658.0,1.0,256700.0,97.0,2209.0,,,4.0,3.0,"7207 Liberty Mesa Ln, Houston, TX 77049",7207 Liberty Mesa Ln,Houston,TX,77049,29.832682,-95.16454,,False,,,,
