address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"111 S 1000th St E, Provo, UT 84606",84606,Provo,UT,1750,3.0,1.0,,,https://zillow.com/apartments/provo-ut/sierra-ridge-apartments/CmPRSD/,40.23244,-111.641045,APARTMENT,,,https://photos.zillowstatic.com/fp/46d29148a104df6a7cc85726238abcab-p_e.jpg,,
"57 N 900th St W, American Fork, UT 84003",84003,American Fork,UT,1778,,1.0,300.0,5.93,https://zillow.com/apartments/american-fork-ut/provo-american-fork/CjDmWL/,40.37794,-111.82331,APARTMENT,,,https://photos.zillowstatic.com/fp/0b8ab459c343d0c0ac8b6c89edbdd706-p_e.jpg,,
"400 S 860 E, American Fork, UT 84003",84003,American Fork,UT,2080,3.0,3.0,1705.0,1.22,https://zillow.com/apartments/american-fork-ut/860-place-townhomes/CjJzVP/,40.36847,-111.77609,APARTMENT,,,https://photos.zillowstatic.com/fp/7c74dc81d14940ce1f26caeae90e40cb-p_e.jpg,,
"46 E 630 N, Vineyard, UT 84059",84059,Vineyard,UT,1695,3.0,3.0,1771.0,0.96,https://zillow.com/apartments/vineyard-ut/the-lochs/CmPWjv/,40.308052,-111.752556,APARTMENT,,2546.0,https://photos.zillowstatic.com/fp/12ab8aa0440ce83e68e49bc9a87b2f14-p_e.jpg,,
"8178 N Broken Spoke Ln, Eagle Mountain, UT 84005",84005,Eagle Mountain,UT,1499,3.0,3.0,1756.0,0.85,https://zillow.com/apartments/eagle-mountain-ut/porters-crossing/BLjjt9/,40.364754,-111.96633,APARTMENT,,2008.0,https://photos.zillowstatic.com/fp/d57baa45b891f87542f34de8e05843e5-p_e.jpg,,
"770 N Orchard Dr #796, Orem, UT 84057",84057,Orem,UT,1525,2.0,1.0,874.0,1.74,https://zillow.com/apartments/orem-ut/grand-on-800-north/9jk26b/,40.311462,-111.69072,APARTMENT,,1284.0,https://photos.zillowstatic.com/fp/0bac1d7fd0e4e3f744303125a739450b-p_e.jpg,,
"100 N Main St, Pleasant Grove, UT 84062",84062,Pleasant Grove,UT,1945,3.0,3.0,1750.0,1.11,https://zillow.com/apartments/pleasant-grove-ut/bella-grace/65hCzk/,40.36525,-111.74053,SINGLE_FAMILY,500900.0,,https://photos.zillowstatic.com/fp/0752766fd704649d6405b618cb491622-p_e.jpg,,
"839 N Independence Ave, Provo, UT 84604",84604,Provo,UT,2250,3.0,3.0,1750.0,1.29,https://zillow.com/homedetails/839-N-Independence-Ave-Provo-UT-84604/116555238_zpid/,40.245575,-111.69112,TOWNHOUSE,394900.0,1942.0,https://photos.zillowstatic.com/fp/85206d4d02a39d538c88eab860ce3cde-p_e.jpg,,
"768 E 1600 S #768, Orem, UT 84097",84097,Orem,UT,1100,1.0,1.0,800.0,1.38,https://zillow.com/homedetails/768-E-1600-S-768-Orem-UT-84097/455353597_zpid/,40.267593,-111.67705,APARTMENT,,,https://photos.zillowstatic.com/fp/8245585efd9fd7eb502096df6ff5f9a3-p_e.jpg,,
"4838 E Breezy Patch Rd, Eagle Mountain, UT 84005",84005,Eagle Mountain,UT,1995,4.0,3.0,1757.0,1.14,https://zillow.com/homedetails/4838-E-Breezy-Patch-Rd-Eagle-Mountain-UT-84005/439514427_zpid/,40.348705,-111.951706,TOWNHOUSE,419900.0,,https://photos.zillowstatic.com/fp/96f75e54dd4120a00529465d099173ab-p_e.jpg,,
