address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"333 Giddings Street(35 Main St), 333 Giddings St UNIT 3, North Springfield, VT 05150",5150,North Springfield,VT,1456.0,2.0,1.0,,,https://www.zillow.com/apartments/north-springfield-vt/333-giddings-street(35-main-st)/CDLpjc/,43.33282,-72.52308,,,,https://photos.zillowstatic.com/fp/bb57e0fb5dbeb7d6e80d37a9cbc1dbb9-p_e.jpg,,
"Twenty Joy Drive Associates, LLC d/b/a Farrell Gardens, 20 Joy Dr #310, South Burlington, VT 05403",5403,South Burlington,VT,2310.0,2.0,1.0,1100.0,,https://www.zillow.com/apartments/south-burlington-vt/twenty-joy-drive-associates-llc-d-b-a-farrell-gardens/CkQ7w7/,44.450054,-73.20209,,,,https://photos.zillowstatic.com/fp/3e618f4e0f634ce8f2799a3571c13048-p_e.jpg,,
"1489 North Ave #4, Burlington, VT 05408",5408,Burlington,VT,1489.0,1.0,1.0,405.0,,https://www.zillow.com/homedetails/1489-North-Ave-4-Burlington-VT-05408/2052947541_zpid/,44.513874,-73.255196,,,,https://photos.zillowstatic.com/fp/74281907fa14e2a8d534e21657e26307-p_e.jpg,,
"151 Academy Rd, Thetford Center, VT 05075",5075,Thetford Center,VT,2898.0,3.0,2.0,1800.0,,https://www.zillow.com/homedetails/151-Academy-Rd-Thetford-Center-VT-05075/75444776_zpid/,43.816727,-72.22887,,584300.0,,https://photos.zillowstatic.com/fp/c1ca03a2d2d5a7144a1070e19442e68e-p_e.jpg,,
"80 Lower Main W #4, Johnson, VT 05656",5656,Johnson,VT,1587.0,2.0,1.0,800.0,,https://www.zillow.com/homedetails/80-Lower-Main-W-4-Johnson-VT-05656/2089886107_zpid/,44.63573,-72.68067,,,,https://photos.zillowstatic.com/fp/379d6b850c0cdebfdaf0b551f0cdc6f9-p_e.jpg,,
"305 S Union St #7, Burlington, VT 05401",5401,Burlington,VT,1635.0,1.0,1.0,550.0,,https://www.zillow.com/homedetails/305-S-Union-St-7-Burlington-VT-05401/2053218315_zpid/,44.471485,-73.20921,,,,https://photos.zillowstatic.com/fp/a8d721dff529626d612346576cc9feed-p_e.jpg,,
"204 N Champlain St #A, Burlington, VT 05401",5401,Burlington,VT,2591.0,3.0,1.0,1200.0,,https://www.zillow.com/homedetails/204-N-Champlain-St-A-Burlington-VT-05401/2076881732_zpid/,44.48626,-73.217445,,,,https://photos.zillowstatic.com/fp/a556bd5909a489ee5a4fec3b729cd2f7-p_e.jpg,,
"377 Charlotte Rd #A, Hinesburg, VT 05461",5461,Hinesburg,VT,3855.0,5.0,3.0,2500.0,,https://www.zillow.com/homedetails/377-Charlotte-Rd-A-Hinesburg-VT-05461/2141033950_zpid/,44.327316,-73.1178,,,,https://photos.zillowstatic.com/fp/b897371d4625d8f55acf06586e3c64c2-p_e.jpg,,
"168 North Ave, Burlington, VT 05401",5401,Burlington,VT,2377.0,2.0,1.0,825.0,,https://www.zillow.com/homedetails/168-North-Ave-Burlington-VT-05401/2079005505_zpid/,44.48623,-73.22376,,,,https://photos.zillowstatic.com/fp/0c8ae43f293c0ee4e0d6de7b4bf88840-p_e.jpg,,
"916 Williams Rd APT 2, Colchester, VT 05446",5446,Colchester,VT,2805.0,2.0,2.0,1503.0,,https://www.zillow.com/homedetails/916-Williams-Rd-APT-2-Colchester-VT-05446/92283508_zpid/,44.548298,-73.19981,,,,https://photos.zillowstatic.com/fp/c86c049ca90da361145b6c68ae9445ab-p_e.jpg,,
"193 Howard St, Burlington, VT 05401",5401,Burlington,VT,5785.0,3.0,2.0,1500.0,,https://www.zillow.com/homedetails/193-Howard-St-Burlington-VT-05401/12654690_zpid/,44.46711,-73.20693,,1097400.0,,https://photos.zillowstatic.com/fp/4d917a1711629a7e0fa4480fc5e32234-p_e.jpg,,
