address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"Diamond North Apartments, 1350 Sapphire Dr #1-404, Virginia Beach, VA 23455",23455,Virginia Beach,VA,1655.0,1.0,1.0,820.0,,https://www.zillow.com/apartments/virginia-beach-va/diamond-north-apartments/CkBNZq/,36.889,-76.17891,,,,https://photos.zillowstatic.com/fp/8dfa31d81bc33861c789b995ee3c7091-p_e.jpg,,
"Century Flats, 1004 N Thompson St #107, Richmond, VA 23230",23230,Richmond,VA,1629.0,1.0,1.0,650.0,,https://www.zillow.com/apartments/richmond-va/century-flats/Ck7yyB/,37.567387,-77.47957,,,,https://photos.zillowstatic.com/fp/0bb359991cd59e33e0bb6a5a647ba515-p_e.jpg,,
"Richmond Square, 900 N Randolph St #1305, Arlington, VA 22203",22203,Arlington,VA,3739.0,2.0,2.0,1050.0,,https://www.zillow.com/apartments/arlington-va/richmond-square/5Xqgvw/,38.88134,-77.10986,,,,https://photos.zillowstatic.com/fp/904dd9fe7c611e587040d61bfb270141-p_e.jpg,,
"The Lofts at 1723, 1723 Summit Ave APT 109, Richmond, VA 23230",23230,Richmond,VA,2140.0,2.0,2.0,750.0,,https://www.zillow.com/apartments/richmond-va/the-lofts-at-1723/5XtPvh/,37.5692,-77.46814,,,,https://photos.zillowstatic.com/fp/6104b2a29bdd121e1c657767457f3f88-p_e.jpg,,
"Henderson Park, 4301 N Henderson Rd APT 211, Arlington, VA 22203",22203,Arlington,VA,3834.0,3.0,3.0,1180.0,,https://www.zillow.com/apartments/arlington-va/henderson-park/5Xrb9k/,38.874687,-77.110725,,,,https://photos.zillowstatic.com/fp/56ac055c767203a42c576675ac174415-p_e.jpg,,
"Mason Arms Apartments, 218 E Mason Ave APT 7, Alexandria, VA 22301",22301,Alexandria,VA,2552.0,2.0,1.0,847.0,,https://www.zillow.com/apartments/alexandria-va/mason-arms-apartments/CkBQJ7/,38.821777,-77.0588,,,,https://photos.zillowstatic.com/fp/030279685101e3c66c59baeac7a15575-p_e.jpg,,
"Alister Falls Church, 2158 Evans Ct #167102, Falls Church, VA 22043",22043,Falls Church,VA,3024.0,3.0,2.0,1060.0,,https://www.zillow.com/apartments/falls-church-va/alister-falls-church/5XndWK/,38.90418,-77.20668,,,,https://photos.zillowstatic.com/fp/141a54261958106121b4d701e1db981b-p_e.jpg,,
"Whispering Oaks, 1310 N Oak St APT 602, Arlington, VA 22209",22209,Arlington,VA,1948.0,1.0,1.0,550.0,,https://www.zillow.com/apartments/arlington-va/whispering-oaks/CjrGJT/,38.88955,-77.07388,,,,https://photos.zillowstatic.com/fp/b9c58c0216a226490ce03e437d666564-p_e.jpg,,
"Dahlgren Townhomes, 6136 Jenkins Rd, Dahlgren, VA 22448",22448,Dahlgren,VA,1809.0,2.0,1.0,,,https://www.zillow.com/apartments/dahlgren-va/dahlgren-townhomes/CjjCZG/,38.32747,-77.04061,,,,https://photos.zillowstatic.com/fp/0449f073b815f4a30e4ef80de5a96d21-p_e.jpg,,
"Chenman Yards, 601 W 24th St #404, Norfolk, VA 23517",23517,Norfolk,VA,1459.0,1.0,1.0,618.0,,https://www.zillow.com/apartments/norfolk-va/chenman-yards/CkCbdf/,36.871876,-76.29294,,,,https://photos.zillowstatic.com/fp/743489c720f7338b5dcfae87f01b2eda-p_e.jpg,,
