zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
451114876,FOR_RENT,Apartment for rent,,1769.0,300.0,6.0,,,,,,,1.0,"Tacoma - Fife, 2820 Pacific Hwy E, Tacoma, WA 98424",2820 Pacific Hwy E #805,Tacoma,WA,98424,47.24256,-122.390594,,False,,,,
349665608,FOR_RENT,Apartment for rent,,2179.0,956.0,2.0,,,1980.0,,,2.0,2.0,"Jens Pointe Apartments, 333 NE 136th Ave, Vancouver, WA 98684",333 NE 136th Ave #DF7E00D20,Vancouver,WA,98684,45.622173,-122.5335,,False,,,,
450863779,FOR_RENT,Apartment for rent,,1949.0,270.0,7.0,,,,,,,1.0,"Seattle - Southcenter, 15635 W Valley Hwy, Seattle, WA 98188",15635 W Valley Hwy #9730,Seattle,WA,98188,47.46196,-122.24623,,False,,,,
2108536323,FOR_RENT,Apartment for rent,,1450.0,520.0,3.0,,,1574.0,,,,1.0,"Lancaster, 704 E Thomas St APT 2, Seattle, WA 98102",704 E Thomas St APT 2,Seattle,WA,98102,47.62129,-122.3228,,False,,,,
455210460,FOR_RENT,Apartment for rent,,2165.0,650.0,3.0,,,,,,1.0,1.0,"The Walk, 401 Madrona Way NE #23, Bainbridge Island, WA 98110",401 Madrona Way NE #23,Bainbridge Island,WA,98110,47.627674,-122.51947,,False,,,,
449927580,FOR_RENT,Apartment for rent,,1900.0,784.0,2.0,,,,,,1.0,1.0,"Gibson Gardens, 5001 Pacific Ave #228, Tacoma, WA 98408",5001 Pacific Ave #228,Tacoma,WA,98408,47.21144,-122.43295,,False,,,,
450045487,FOR_RENT,Apartment for rent,,1755.0,762.0,2.0,,,,,,1.0,1.0,"Trio Residences, 13404 97th Ave E, Puyallup, WA 98373",13404 97th Ave E #C02FB37B6,Puyallup,WA,98373,47.135174,-122.29994,,False,,,,
453900977,FOR_RENT,Apartment for rent,,1495.0,,,,,,,,1.0,1.0,"Garland District Flats, 924 W Garland Ave, Spokane, WA 99205",924 W Garland Ave #B408D2C4D,Spokane,WA,99205,47.694008,-117.4255,,False,,,,
448973797,FOR_RENT,Apartment for rent,,1961.0,856.0,2.0,,,,,,2.0,1.0,"Alderbrook, 412 Novak Ln, Kent, WA 98032",412 Novak Ln #6819FCE6D,Kent,WA,98032,47.39352,-122.23187,,False,,,,
2101486652,FOR_RENT,Apartment for rent,,1925.0,654.0,3.0,,,1898.0,,,1.0,1.0,"LUT Lake Union Terrace, 210 E Blaine St APT 408, Seattle, WA 98102",210 E Blaine St APT 408,Seattle,WA,98102,47.635025,-122.32449,,False,,,,
454860547,FOR_RENT,Apartment for rent,,2120.0,818.0,3.0,,,,,,2.0,2.0,"Grand Ridge, 6007 67th Ave W #3-202, University Place, WA 98467",6007 67th Ave W #3-202,University Place,WA,98467,47.202938,-122.52672,,False,,,,
2052926007,FOR_RENT,Apartment for rent,,1514.0,726.0,2.0,,,,,,1.0,1.0,"Willow Terrace, 1100 S 99th St, Seattle, WA 98108",1100 S 99th St #762BEB128,Seattle,WA,98108,47.514812,-122.31917,,False,,,,
442022421,FOR_RENT,Apartment for rent,,1595.0,963.0,2.0,,,,,,2.0,1.0,"Skyline Apartments, 3120 W 4th Ave, Kennewick, WA 99336",3120 W 4th Ave #2B-1BA-963SQFT,Kennewick,WA,99336,46.20629,-119.164604,,False,,,,
452050578,FOR_RENT,Apartment for rent,,2419.0,300.0,8.0,,,,,,,1.0,"Portland - Vancouver, 300 NE 115th Ave, Vancouver, WA 98684",300 NE 115th Ave #341,Vancouver,WA,98684,45.622696,-122.55521,,False,,,,
443181533,FOR_RENT,Apartment for rent,,1595.0,1000.0,2.0,,,,,,2.0,1.0,"River Vista, 1013 N Neel St, Kennewick, WA 99336",1013 N Neel St #2B-1BA-1000SQFT,Kennewick,WA,99336,46.220642,-119.17086,,False,,,,
2052863883,FOR_RENT,Apartment for rent,,2175.0,712.0,3.0,,,,,,1.0,1.0,"95 Burnett, 95 Burnett Ave S UNIT 520, Renton, WA 98057",95 Burnett Ave S UNIT 520,Renton,WA,98057,47.48297,-122.20813,,False,,,,
449125811,FOR_RENT,Apartment for rent,,1890.0,,,,,,,,,1.0,"TrouvA Apartments, 34816 1st Ave S, Federal Way, WA 98003",34816 1st Ave S #1119438B6,Federal Way,WA,98003,47.288837,-122.33294,,False,,,,
453082754,FOR_RENT,Apartment for rent,,2425.0,1109.0,2.0,,,,,,3.0,2.0,"Willow Green Village, 6501 20th St E #6521-04, Tacoma, WA 98424",6501 20th St E #6521-04,Tacoma,WA,98424,47.240116,-122.34219,,False,,,,
2056932231,FOR_RENT,Apartment for rent,,1299.0,755.0,2.0,,,1303.0,,,1.0,1.0,"Jack's Villas, LLC, 701 N Conklin Rd #B-104, Veradale, WA 99037",701 N Conklin Rd #B-104,Veradale,WA,99037,47.66325,-117.186584,,False,,,,
2075365309,FOR_RENT,Apartment for rent,,2023.0,688.0,3.0,,,1969.0,,,1.0,1.0,"Union 18, 1140 18th Ave #C311, Seattle, WA 98122",1140 18th Ave #C311,Seattle,WA,98122,47.612614,-122.30867,,False,,,,
450863439,FOR_RENT,Apartment for rent,,2099.0,300.0,7.0,,,,,,,1.0,"Seattle - Bothell - West, 923 228th St SE, Bothell, WA 98021",923 228th St SE #7009,Bothell,WA,98021,47.792374,-122.21897,,False,,,,
450863480,FOR_RENT,Apartment for rent,,2526.0,300.0,8.0,,,,,,,1.0,"Seattle - Everett - Silverlake, 1431 112th St SE, Everett, WA 98208",1431 112th St SE #7020,Everett,WA,98208,47.89825,-122.21264,,False,,,,
450865454,FOR_RENT,Apartment for rent,,2009.0,300.0,7.0,,,,,,,1.0,"Olympia - Tumwater, 1675 Mottman Rd SW, Olympia, WA 98512",1675 Mottman Rd SW #7032,Olympia,WA,98512,47.023987,-122.92108,,False,,,,
453865089,FOR_RENT,Apartment for rent,,1790.0,700.0,3.0,,,,,,1.0,1.0,"Northpointe Highlands, 17512 83rd Pl NE APT D103, Kenmore, WA 98028",17512 83rd Pl NE APT D103,Kenmore,WA,98028,47.75459,-122.22904,,False,,,,
455433270,FOR_RENT,Apartment for rent,,2100.0,1101.0,2.0,,,,,,3.0,2.0,"The Sinclair Apartments, 414 SW Hayworth Dr #C203, Pt Orchard, WA 98367",414 SW Hayworth Dr #C203,Pt Orchard,WA,98367,47.49644,-122.65356,,False,,,,
454797077,FOR_RENT,Apartment for rent,,1675.0,740.0,2.0,,,,,,1.0,1.0,"Timberlane Apartments, 5919 158th Avenue Ct E #5919A, Sumner, WA 98390",5919 158th Avenue Ct E #5919A,Sumner,WA,98390,47.202885,-122.21809,,False,,,,
455232131,FOR_RENT,Apartment for rent,,1375.0,1060.0,1.0,,,,,,2.0,2.0,"Morning Glory Circle Apartments, 925 E Sharpsburg Ave APT 112, Spokane, WA 99208",925 E Sharpsburg Ave APT 112,Spokane,WA,99208,47.725975,-117.39629,,False,,,,
455313726,FOR_RENT,Apartment for rent,,1495.0,550.0,3.0,,,,,,1.0,1.0,"Highway Place, 5713 Highway Pl #N102, Everett, WA 98203",5713 Highway Pl #N102,Everett,WA,98203,47.94553,-122.21472,,False,,,,
453377207,FOR_RENT,Apartment for rent,,2695.0,1595.0,2.0,,,,,,3.0,3.0,"Chambers Reserve Townhomes, 3725 Wildspitz St SE #4314-D, Lacey, WA 98503",3725 Wildspitz St SE #4314-D,Lacey,WA,98503,47.013206,-122.83159,,False,,,,
2053481781,FOR_RENT,Apartment for rent,,2395.0,699.0,3.0,,,,,,1.0,1.0,"1711 12th Apartments, 1711 12th Ave APT 103, Seattle, WA 98122",1711 12th Ave APT 103,Seattle,WA,98122,47.617046,-122.31728,,False,,,,
2088973868,FOR_RENT,Apartment for rent,,1475.0,820.0,2.0,,,1451.0,,,1.0,1.0,"The Blake Apartments, 13313 E 4th Ave APT B204, Spokane Valley, WA 99216",13313 E 4th Ave APT B204,Spokane Valley,WA,99216,47.654232,-117.22526,,False,,,,
440455923,FOR_RENT,Apartment for rent,,1785.0,682.0,3.0,,,,,,1.0,1.0,"Ward Lake Apartments, 4530 Briggs Dr SE #204, Olympia, WA 98501",4530 Briggs Dr SE #204,Olympia,WA,98501,47.006752,-122.884224,,False,,,,
450863535,FOR_RENT,Apartment for rent,,2478.0,300.0,8.0,,,,,,,1.0,"Seattle - Kent, 22520 83rd Ave S, Kent, WA 98032",22520 83rd Ave S #802,Kent,WA,98032,47.39972,-122.22896,,False,,,,
454824326,FOR_RENT,Apartment for rent,,1895.0,900.0,2.0,,,,,,2.0,1.0,"River View Apartments, 3003 NE 3rd Ave APT 221, Camas, WA 98607",3003 NE 3rd Ave APT 221,Camas,WA,98607,45.589252,-122.37755,,False,,,,
454193350,FOR_RENT,Apartment for rent,,2095.0,1401.0,1.0,,,,,,3.0,3.0,"Brookline Townhomes, 1317 North Arc, Greenacres, WA 99016",1317 North Arc #65B24938B,Greenacres,WA,99016,47.669422,-117.17199,,False,,,,
2066966695,FOR_RENT,Apartment for rent,,1795.0,675.0,3.0,,,1587.0,,,1.0,1.0,"Gayteway at Hawks Prairie, 8825 Martin Way E #2-102, Olympia, WA 98516",8825 Martin Way E #2-102,Olympia,WA,98516,47.058296,-122.75232,,False,,,,
453888192,FOR_RENT,Apartment for rent,,2400.0,914.0,3.0,,,,,,2.0,1.0,"Creekside Apartments, 220 Newport Way SW #305, Issaquah, WA 98027",220 Newport Way SW #305,Issaquah,WA,98027,47.528305,-122.03825,,False,,,,
454957596,FOR_RENT,Apartment for rent,,2595.0,,,,,,,,3.0,3.0,"Sleater Landing LLC, 4124 Balsam Ln NE, Olympia, WA 98506",4124 Balsam Ln NE #7DB59C8A1,Olympia,WA,98506,47.05532,-122.83257,,False,,,,
453458937,FOR_RENT,Apartment for rent,,2175.0,1074.0,2.0,,,,,,2.0,2.0,"10 West, 7960 W 10th Ave #368, Kennewick, WA 99336",7960 W 10th Ave #368,Kennewick,WA,99336,46.199863,-119.22486,,False,,,,
452976888,FOR_RENT,Apartment for rent,,1685.0,690.0,2.0,,,,,,1.0,1.0,"Buckeye Villas, 4726 E Buckeye Ave, Spokane, WA 99217",4726 E Buckeye Ave #68C6E92E8,Spokane,WA,99217,47.682617,-117.34047,,False,,,,
454936391,FOR_RENT,Apartment for rent,,1890.0,979.0,2.0,,,,,,2.0,1.0,"Willow Springs, 608 39th Ave SW #I-306, Puyallup, WA 98373",608 39th Ave SW #I-306,Puyallup,WA,98373,47.152836,-122.29993,,False,,,,
450863633,FOR_RENT,Apartment for rent,,2676.0,300.0,9.0,,,,,,,1.0,"Seattle - Lynnwood, 3021 196th St SW, Lynnwood, WA 98036",3021 196th St SW #810,Lynnwood,WA,98036,47.821873,-122.27463,,False,,,,
455229618,FOR_RENT,Apartment for rent,,1999.0,1156.0,2.0,,,,,,2.0,2.0,"Country Club Villas, 3622 57th Ln SE #1202, Olympia, WA 98501",3622 57th Ln SE #1202,Olympia,WA,98501,46.99676,-122.843414,,False,,,,
2055992224,FOR_RENT,Apartment for rent,,1710.0,760.0,2.0,,,1576.0,,,1.0,1.0,"Chestnut Cove, 10008 Mountain Loop Hwy, Granite Falls, WA 98252",10008 Mountain Loop Hwy #CA8D67812,Granite Falls,WA,98252,48.08772,-121.96445,,False,,,,
448329628,FOR_RENT,Apartment for rent,,1120.0,188.0,6.0,,,,,,,1.0,"The Theodore, 8801 S Hosmer St, Tacoma, WA 98444",8801 S Hosmer St #EF81741C5,Tacoma,WA,98444,47.176342,-122.46261,,False,,,,
454108320,FOR_RENT,Apartment for rent,,1600.0,700.0,2.0,,,,,,1.0,1.0,"M100 - Riverview West Apartment, 10300 Des Moines Memorial Dr S #210, Seattle, WA 98168",10300 Des Moines Memorial Dr S #210,Seattle,WA,98168,47.51129,-122.30646,,False,,,,
455170862,FOR_RENT,Apartment for rent,,1850.0,900.0,2.0,,,,,,2.0,1.0,"Brookside, 10841 SE Kent Kangley Rd #I-8, Kent, WA 98030",10841 SE Kent Kangley Rd #I-8,Kent,WA,98030,47.369102,-122.195305,,False,,,,
2093640588,FOR_RENT,Apartment for rent,,2395.0,700.0,3.0,,,2198.0,,,2.0,1.0,"D14 D14 Apartments, 3050 14th Ave W APT 305, Seattle, WA 98119",3050 14th Ave W APT 305,Seattle,WA,98119,47.648197,-122.374504,,False,,,,
352373168,FOR_RENT,Apartment for rent,,1495.0,,,,,,,,1.0,1.0,"Linden II, 14511 Stone Ave N, Seattle, WA 98133",14511 Stone Ave N #A08525847,Seattle,WA,98133,47.73449,-122.34335,,False,,,,
2055334419,FOR_RENT,Apartment for rent,,2300.0,859.0,3.0,,,,,,1.0,1.0,"Astral Apartments, 6329 S 212th St #U103, Kent, WA 98032",6329 S 212th St #U103,Kent,WA,98032,47.410927,-122.25608,,False,,,,
454400648,FOR_RENT,Apartment for rent,,1825.0,650.0,3.0,,,,,,1.0,1.0,"Fairhaven Park, 1900 20th St #G-10, Bellingham, WA 98225",1900 20th St #G-10,Bellingham,WA,98225,48.713524,-122.49233,,False,,,,
455132429,FOR_RENT,Apartment for rent,,1375.0,474.0,3.0,,,,,,,1.0,"Silverwood Park, 23006 30th Ave S #264, Seattle, WA 98198",23006 30th Ave S #264,Seattle,WA,98198,47.395798,-122.29278,,False,,,,
455475300,FOR_RENT,Apartment for rent,,1281.0,756.0,2.0,,,,,,2.0,1.0,"Pioneer Village Retirement Community, 816 Sharon Ave E APT 103, Moses Lake, WA 98837",816 Sharon Ave E APT 103,Moses Lake,WA,98837,47.11337,-119.26415,,False,,,,
2106851372,FOR_RENT,Apartment for rent,,1950.0,800.0,2.0,,,1877.0,,,1.0,1.0,"1020 11th Street, 1020 11th St APT 2, Bellingham, WA 98225",1020 11th St APT 2,Bellingham,WA,98225,48.722836,-122.50378,,False,,,,
81364878,FOR_RENT,Apartment for rent,,2730.0,1100.0,2.0,,,2524.0,,,2.0,2.0,"Highlands at South Hill, 502 43rd Ave SE, Puyallup, WA 98374",502 43rd Ave SE,Puyallup,WA,98374,47.147614,-122.28655,,False,,,,
452134682,FOR_RENT,Apartment for rent,,2628.0,270.0,10.0,,,,,,,1.0,"Seattle - Bellevue - Factoria, 3700 132nd Ave SE, Bellevue, WA 98006",3700 132nd Ave SE #9728,Bellevue,WA,98006,47.577812,-122.1635,,False,,,,
402314918,FOR_RENT,Apartment for rent,,1715.0,800.0,2.0,,,,,,2.0,1.0,"Inglewood Apartments, 3025 Ferry Ave #C-205, Bellingham, WA 98225",3025 Ferry Ave #C-205,Bellingham,WA,98225,48.729954,-122.47804,,False,,,,
2056083130,FOR_RENT,Apartment for rent,,1825.0,900.0,2.0,,,1840.0,,,2.0,1.0,"Forest Park Apartments, 10020 167th Street Ct E #20, Puyallup, WA 98375",10020 167th Street Ct E #20,Puyallup,WA,98375,47.10422,-122.29486,,False,,,,
349664897,FOR_RENT,Apartment for rent,,2199.0,750.0,3.0,,,,,,1.0,1.0,"Redmond Place Apartments, 8935 160th Ave NE, Redmond, WA 98052",8935 160th Ave NE #7670F48D5,Redmond,WA,98052,47.681625,-122.1297,,False,,,,
2085459439,FOR_RENT,Apartment for rent,,1824.0,402.0,5.0,,,1426.0,,,,1.0,"Shelton Eastlake, 2359 Franklin Ave E UNIT 211, Seattle, WA 98102",2359 Franklin Ave E UNIT 211,Seattle,WA,98102,47.64146,-122.32496,,False,,,,
396947726,FOR_RENT,Apartment for rent,,1795.0,912.0,2.0,,,,,,2.0,1.0,"Stillwater Apartments, 931 9th St SE, Puyallup, WA 98372",931 9th St SE #2B-1BA-912SQFT,Puyallup,WA,98372,47.183125,-122.28148,,False,,,,
454956874,FOR_RENT,Apartment for rent,,1836.0,1022.0,2.0,,,,,,3.0,2.0,"Timothy Park, 1000 E Harvest Loop, Ellensburg, WA 98926",1000 E Harvest Loop #1B9AE572F,Ellensburg,WA,98926,47.01507,-120.533226,,False,,,,
443235911,FOR_RENT,Apartment for rent,,1200.0,590.0,2.0,,,,,,1.0,1.0,"Central Park Villa, 1717 Cooper Point Rd SW #A-A3, Olympia, WA 98502",1717 Cooper Point Rd SW #A-A3,Olympia,WA,98502,47.031635,-122.9362,,False,,,,
2073066245,FOR_RENT,Apartment for rent,,2297.0,602.0,4.0,,,2333.0,,,,1.0,"Main Place Apartments, 10245 Main St #406, Bellevue, WA 98004",10245 Main St #406,Bellevue,WA,98004,47.60987,-122.20322,,False,,,,
446905371,FOR_RENT,Apartment for rent,,1267.0,272.0,5.0,,,,,,,1.0,"Bryant Manor Phase I, 1801 E Yesler Way, Seattle, WA 98122",1801 E Yesler Way #CC5A72E0F,Seattle,WA,98122,47.601063,-122.30833,,False,,,,
452986258,FOR_RENT,Apartment for rent,,1495.0,600.0,2.0,,,,,,1.0,1.0,"Cirque West, 7704 Cirque Dr W #7714-C, University Place, WA 98467",7704 Cirque Dr W #7714-C,University Place,WA,98467,47.213276,-122.53956,,False,,,,
455176727,FOR_RENT,Apartment for rent,,2352.0,650.0,4.0,,,,,,1.0,1.0,"Greenhouse Apartments, 3701 S Hudson St, Seattle, WA 98118",3701 S Hudson St #3354662,Seattle,WA,98118,47.556625,-122.28572,,False,,,,
448176113,FOR_RENT,Apartment for rent,,1260.0,650.0,2.0,,,,,,1.0,1.0,"Parkwood Apartments, 14209 C St S, Tacoma, WA 98444",14209 C St S #0EE318D0E,Tacoma,WA,98444,47.1274,-122.43664,,False,,,,
450863676,FOR_RENT,Apartment for rent,,1859.0,300.0,6.0,,,,,,,1.0,"Seattle - Mukilteo, 3917 Harbour Pointe Blvd SW, Mukilteo, WA 98275",3917 Harbour Pointe Blvd SW #7062,Mukilteo,WA,98275,47.889904,-122.28765,,False,,,,
452705669,FOR_RENT,Apartment for rent,,1499.0,750.0,2.0,,,,,,1.0,1.0,"Olympic View Apartments, 16700 31st Ave S #111, Seattle, WA 98188",16700 31st Ave S #111,Seattle,WA,98188,47.453377,-122.29252,,False,,,,
454985410,FOR_RENT,Apartment for rent,,1825.0,980.0,2.0,,,,,,2.0,1.0,"Aspen Heights, 5822 N 35th St #53, Tacoma, WA 98407",5822 N 35th St #53,Tacoma,WA,98407,47.27945,-122.5154,,False,,,,
453363184,FOR_RENT,Apartment for rent,,1975.0,923.0,2.0,,,,,,2.0,1.0,"Manhattan Apartments - Normandy Park, 18243 1st Ave S #F4, Seattle, WA 98148",18243 1st Ave S #F4,Seattle,WA,98148,47.43887,-122.33625,,False,,,,
451114939,FOR_RENT,Apartment for rent,,2039.0,300.0,7.0,,,,,,,1.0,"Tacoma - South, 2120 S 48th St, Tacoma, WA 98409",2120 S 48th St #831,Tacoma,WA,98409,47.212948,-122.4651,,False,,,,
2105541387,FOR_RENT,Apartment for rent,,2250.0,1080.0,2.0,,,2208.0,,,3.0,2.0,"Summerfield Rental Homes, 15501 NE 2nd St, Vancouver, WA 98684",15501 NE 2nd St #549940,Vancouver,WA,98684,45.622044,-122.51363,,False,,,,
447926120,FOR_RENT,Apartment for rent,,1450.0,410.0,4.0,,,,,,1.0,1.0,"Bell Mall Villa 2, 517 32nd St, Bellingham, WA 98225",517 32nd St #821342,Bellingham,WA,98225,48.728928,-122.47447,,False,,,,
