address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"34 South Elkins Ave, 34 S Elkins Ave #2, Reedsville, WV 26547",26547,Reedsville,WV,946.0,2.0,1.0,789.0,,https://www.zillow.com/apartments/reedsville-wv/34-south-elkins-ave/Bf7ckq/,39.507336,-79.79821,,,,https://photos.zillowstatic.com/fp/deb708ce0eacf3264e3905b97782236c-p_e.jpg,,
"Chesterfield Apartments, 2913 Chesterfield Ave APT 11, Charleston, WV 25304",25304,Charleston,WV,928.0,2.0,1.0,940.0,,https://www.zillow.com/apartments/charleston-wv/chesterfield-apartments/CkfgMR/,38.328278,-81.60874,,,,https://photos.zillowstatic.com/fp/6e845fe0e665a28a343967f3b205f348-p_e.jpg,,
"147 Natural Way, Martinsburg, WV 25404",25404,Martinsburg,WV,1943.0,3.0,3.0,1839.0,,https://www.zillow.com/homedetails/147-Natural-Way-Martinsburg-WV-25404/125154568_zpid/,39.47725,-77.94663,,253900.0,,https://photos.zillowstatic.com/fp/81d83880df9541d5c8abf9113978859e-p_e.jpg,,
"2137 Market St, Wheeling, WV 26003",26003,Wheeling,WV,1081.0,2.0,2.0,1000.0,,https://www.zillow.com/homedetails/2137-Market-St-Wheeling-WV-26003/248281935_zpid/,40.060566,-80.72401,,,,https://photos.zillowstatic.com/fp/d6c0ea388c5560df137bb2bf98e2a247-p_e.jpg,,
"22 Vespucci Ln, Martinsburg, WV 25404",25404,Martinsburg,WV,1996.0,3.0,3.0,2010.0,,https://www.zillow.com/homedetails/22-Vespucci-Ln-Martinsburg-WV-25404/331512491_zpid/,39.543495,-77.901886,,273000.0,,https://photos.zillowstatic.com/fp/489a6bf6f6ebb233400f6102d85aa3ac-p_e.jpg,,
"111 Olga Dr, Martinsburg, WV 25403",25403,Martinsburg,WV,2196.0,4.0,4.0,1935.0,,https://www.zillow.com/homedetails/111-Olga-Dr-Martinsburg-WV-25403/349889979_zpid/,39.483006,-78.00483,,305900.0,,https://photos.zillowstatic.com/fp/bc7816bb3278f8c850c74fbd337e77f2-p_e.jpg,,
"36 Brookfield Mews, Ranson, WV 25438",25438,Ranson,WV,1994.0,3.0,3.0,1350.0,,https://www.zillow.com/homedetails/36-Brookfield-Mews-Ranson-WV-25438/352297853_zpid/,39.30618,-77.83425,,310300.0,,https://photos.zillowstatic.com/fp/27edca7325e219fecfbe1cd71ae513c7-p_e.jpg,,
"98 Peter Rabbit Dr, Ranson, WV 25438",25438,Ranson,WV,2063.0,3.0,2.0,1850.0,,https://www.zillow.com/homedetails/98-Peter-Rabbit-Dr-Ranson-WV-25438/125293963_zpid/,39.321945,-77.84427,,362900.0,,https://photos.zillowstatic.com/fp/18563ba414990e49b0ab6e85f893297e-p_e.jpg,,
"274 McCullough St #6, Morgantown, WV 26505",26505,Morgantown,WV,1100.0,2.0,1.0,1000.0,,https://www.zillow.com/homedetails/274-McCullough-St-6-Morgantown-WV-26505/2053477030_zpid/,39.648712,-79.95123,,,,https://photos.zillowstatic.com/fp/5ddfa118d5303bdad60a4a7e04a7e526-p_e.jpg,,
"933 12th Ave APT 104, Huntington, WV 25701",25701,Huntington,WV,919.0,1.0,1.0,759.0,,https://www.zillow.com/homedetails/933-12th-Ave-APT-104-Huntington-WV-25701/96721746_zpid/,38.409473,-82.439705,,166000.0,,https://photos.zillowstatic.com/fp/b6463b6931f56abcd43d2661db9cb66b-p_e.jpg,,
