zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
2081833040,FOR_RENT,Apartment for rent,,2500.0,1075.0,2.0,,,2382.0,,,2.0,2.0,"The Gordon, 480 N Sherman Ave #113, Madison, WI 53704",480 N Sherman Ave #113,Madison,WI,53704,43.107006,-89.36421,,False,,,,
455310118,FOR_RENT,Apartment for rent,,1675.0,830.0,2.0,,,,,,1.0,1.0,"Clearpoint Apartments, 220 W Main St #408, Waukesha, WI 53186",220 W Main St #408,Waukesha,WI,53186,43.0122,-88.22977,,False,,,,
452248007,FOR_RENT,Apartment for rent,,1499.0,300.0,5.0,,,,,,,1.0,"Milwaukee - Waukesha, 2520 Plaza Ct, Waukesha, WI 53186",2520 Plaza Ct #785,Waukesha,WI,53186,43.03856,-88.17854,,False,,,,
455262948,FOR_RENT,Apartment for rent,,849.0,825.0,1.0,,,,,,2.0,1.0,"Parkwood, 701 W 17th St, Marshfield, WI 54449",701 W 17th St #5029CA749,Marshfield,WI,54449,44.652145,-90.190834,,False,,,,
2083833661,FOR_RENT,Apartment for rent,,1475.0,1140.0,1.0,,,1533.0,,,2.0,2.0,"Pine Ridge Apartment Homes - 135 Marcou Rd, Onalaska, 135 Marcou Rd APT 114, Onalaska, WI 54650",135 Marcou Rd APT 114,Onalaska,WI,54650,43.88152,-91.17937,,False,,,,
452253914,FOR_RENT,Apartment for rent,,1439.0,300.0,5.0,,,,,,,1.0,"Madison - Junction Court, 55 Junction Ct, Madison, WI 53717",55 Junction Ct #731,Madison,WI,53717,43.07314,-89.52362,,False,,,,
449045916,FOR_RENT,Apartment for rent,,1799.0,736.0,2.0,,,,,,2.0,1.0,"University Heights, 2308 University Ave APT 80, Madison, WI 53726",2308 University Ave APT 80,Madison,WI,53726,43.07263,-89.426704,,False,,,,
452245408,FOR_RENT,Apartment for rent,,2009.0,300.0,7.0,,,,,,,1.0,"Milwaukee - Wauwatosa, 11121 W North Ave, Milwaukee, WI 53226",11121 W North Ave #557,Milwaukee,WI,53226,43.057556,-88.05053,,False,,,,
2066755549,FOR_RENT,Apartment for rent,,1400.0,764.0,2.0,,,1356.0,,,2.0,1.0,"Trillium Homes, 2 Craig Ave, Madison, WI 53705",2 Craig Ave #045C927D7,Madison,WI,53705,43.079475,-89.47267,,False,,,,
455263337,FOR_RENT,Apartment for rent,,700.0,485.0,1.0,,,,,,1.0,1.0,"Manchester Court, 1506 S Adams Ave #1508-108, Marshfield, WI 54449",1506 S Adams Ave #1508-108,Marshfield,WI,54449,44.653835,-90.19216,,False,,,,
2057694462,FOR_RENT,Apartment for rent,,1845.0,705.0,3.0,,,1740.0,,,1.0,1.0,"The Compass Apartments, 622 W Wilson St #403, Madison, WI 53703",622 W Wilson St #403,Madison,WI,53703,43.06632,-89.390625,,False,,,,
450530861,FOR_RENT,Apartment for rent,,2100.0,1169.0,2.0,,,,,,2.0,2.0,"Prima, 5121 E Cheryl Pkwy #W302, Madison, WI 53711",5121 E Cheryl Pkwy #W302,Madison,WI,53711,43.006424,-89.39212,,False,,,,
455062087,FOR_RENT,Apartment for rent,,2450.0,1060.0,2.0,,,,,,2.0,2.0,"Echelon Apartments at Innovation Campus, 9810 Echelon Ln #9820-312, Milwaukee, WI 53226",9810 Echelon Ln #9820-312,Milwaukee,WI,53226,43.050182,-88.03633,,False,,,,
453793215,FOR_RENT,Apartment for rent,,2995.0,2100.0,1.0,,,,,,3.0,3.0,"Harper Court Townhomes, 911 Harper Dr #242, Verona, WI 53593",911 Harper Dr #242,Verona,WI,53593,42.980915,-89.51498,,False,,,,
452261353,FOR_RENT,Apartment for rent,,1495.0,838.0,2.0,,,,,,1.0,1.0,"Tralee, 5410 Nobel Dr #305, Madison, WI 53711",5410 Nobel Dr #305,Madison,WI,53711,42.99653,-89.416916,,False,,,,
448036588,FOR_RENT,Apartment for rent,,1800.0,718.0,3.0,,,,,,1.0,1.0,"Oaks of Shorewood Apartments, 3900 N Estabrook Pkwy #356, Milwaukee, WI 53211",3900 N Estabrook Pkwy #356,Milwaukee,WI,53211,43.087986,-87.89522,,False,,,,
452852477,FOR_RENT,Apartment for rent,,1885.0,1050.0,2.0,,,,,,2.0,2.0,"Capitol Centre Court Apartments, 344 W Dayton St, Madison, WI 53703",344 W Dayton St #331F3C4AC,Madison,WI,53703,43.07353,-89.39082,,False,,,,
452977368,FOR_RENT,Apartment for rent,,1500.0,1250.0,1.0,,,,,,2.0,2.0,"The Fountains of Wauwatosa, 4718 N 100th St, Milwaukee, WI 53225",4718 N 100th St #4391BEF38,Milwaukee,WI,53225,43.103935,-88.03498,,False,,,,
452248049,FOR_RENT,Apartment for rent,,2212.0,300.0,7.0,,,,,,,1.0,"Milwaukee - Brookfield, 325 N Brookfield Rd, Brookfield, WI 53045",325 N Brookfield Rd #9731,Brookfield,WI,53045,43.03448,-88.1477,,False,,,,
452751371,FOR_RENT,Apartment for rent,,1590.0,982.0,2.0,,,,,,1.0,1.0,"LeSilve Apartments, 8560 Greenway Blvd, Middleton, WI 53562",8560 Greenway Blvd #C39302B0E,Middleton,WI,53562,43.088177,-89.53573,,False,,,,
