address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"105 Jefferson St, Lander, WY 82520",82520,Lander,WY,1216,2.0,1.0,,,https://zillow.com/apartments/lander-wy/sunrise-villa/C6XBtJ/,42.840492,-108.724815,APARTMENT,,,https://photos.zillowstatic.com/fp/a56eecda976463b71b580b8d6114812d-p_e.jpg,,
"811 E Lincoln St, Gillette, WY 82716",82716,Gillette,WY,1033,2.0,1.0,,,https://zillow.com/apartments/gillette-wy/del-mar-apartments/5jFTWw/,44.295036,-105.49186,APARTMENT,,,https://photos.zillowstatic.com/fp/6622491b97db859aabebf47b7da47279-p_e.jpg,,
"615 Eagle Dr #8, Riverton, WY 82501",82501,Riverton,WY,1195,3.0,2.0,1154.0,1.04,https://zillow.com/apartments/riverton-wy/riverton-apartments/C3BrkD/,43.031773,-108.43228,APARTMENT,,,https://photos.zillowstatic.com/fp/115c28ff1e6d905cad729ff095ee09cf-p_e.jpg,,
"925 N 7th St, Greybull, WY 82426",82426,Greybull,WY,690,1.0,1.0,,,https://zillow.com/apartments/greybull-wy/valley-homes/5ZbP8q/,44.49879,-108.05642,APARTMENT,,,https://photos.zillowstatic.com/fp/1e9f472a577b617322defc9853076864-p_e.jpg,,
"7 Smith Creek Rd, Lander, WY 82520",82520,Lander,WY,960,2.0,2.0,,,https://zillow.com/apartments/lander-wy/blue-ridge-apartments/CjzG5Y/,42.820953,-108.71396,APARTMENT,,,https://photos.zillowstatic.com/fp/d68f47a8632a03d75269e56606e1d7e0-p_e.jpg,,
"501 Willow Dr, Douglas, WY 82633",82633,Douglas,WY,906,2.0,2.0,,,https://zillow.com/apartments/douglas-wy/douglas-oakridge/Ch2fF8/,42.76854,-105.38057,APARTMENT,,,https://photos.zillowstatic.com/fp/2ef9775c07e2e0120a03762c243283a7-p_e.jpg,,
"821 N Absaroka St, Powell, WY 82435",82435,Powell,WY,777,2.0,1.0,,,https://zillow.com/apartments/powell-wy/powell-court-apartments/CkZSv3/,44.762352,-108.75877,APARTMENT,,,https://photos.zillowstatic.com/fp/1e9bf1fbab651f62dca146614927e295-p_e.jpg,,
"2289 Pioneer Ave, Cody, WY 82414",82414,Cody,WY,650,2.0,1.0,,,https://zillow.com/apartments/cody-wy/cedar-mountain/CkZTHh/,44.531128,-109.04601,APARTMENT,,,https://photos.zillowstatic.com/fp/7c7ced7c9a36b81b3a5cee936eee7442-p_e.jpg,,
"257 W Whalen St #6, Guernsey, WY 82214",82214,Guernsey,WY,550,1.0,1.0,600.0,0.92,https://zillow.com/homedetails/257-W-Whalen-St-6-Guernsey-WY-82214/2068698760_zpid/,42.269897,-104.74501,APARTMENT,,656.0,https://photos.zillowstatic.com/fp/7b143cd815881355d0b911d718e5592e-p_e.jpg,,
"879 S 6th St, Lander, WY 82520",82520,Lander,WY,2300,3.0,3.0,2800.0,0.82,https://zillow.com/homedetails/879-S-6th-St-Lander-WY-82520/111021175_zpid/,42.82648,-108.74235,SINGLE_FAMILY,592300.0,2250.0,https://photos.zillowstatic.com/fp/170fe448d607fa4b3fb2d9137c11d260-p_e.jpg,,
"143 N Carrington Ave #B, Buffalo, WY 82834",82834,Buffalo,WY,900,1.0,1.0,900.0,1.0,https://zillow.com/homedetails/143-N-Carrington-Ave-B-Buffalo-WY-82834/453084128_zpid/,44.348835,-106.7031,APARTMENT,,,https://photos.zillowstatic.com/fp/37b23ed3ea4dcf2c783ade7918e81670-p_e.jpg,,
"72 Poppy St, Casper, WY 82604",82604,Casper,WY,1450,3.0,1.0,1404.0,1.03,https://zillow.com/homedetails/72-Poppy-St-Casper-WY-82604/15045314_zpid/,42.823193,-106.39823,SINGLE_FAMILY,230700.0,1513.0,https://photos.zillowstatic.com/fp/e51f834390a10f86a232db6da78fc9ea-p_e.jpg,,
"316 N Gilbert St, Powell, WY 82435",82435,Powell,WY,1475,3.0,1.0,1150.0,1.28,https://zillow.com/homedetails/316-N-Gilbert-St-Powell-WY-82435/104687148_zpid/,44.75579,-108.7506,SINGLE_FAMILY,224300.0,1145.0,https://photos.zillowstatic.com/fp/8f69e26a52dfb87edfda2854ba49b1dc-p_e.jpg,,
"720 N Park St, Casper, WY 82601",82601,Casper,WY,1700,1.0,1.0,2150.0,0.79,https://zillow.com/homedetails/720-N-Park-St-Casper-WY-82601/2136399394_zpid/,42.85775,-106.3184,SINGLE_FAMILY,,868.0,https://photos.zillowstatic.com/fp/ec2011687dfc704fd321c645126442dc-p_e.jpg,,
"835 E 12th St #4, Casper, WY 82601",82601,Casper,WY,750,1.0,1.0,600.0,1.25,https://zillow.com/homedetails/835-E-12th-St-4-Casper-WY-82601/343920429_zpid/,42.838318,-106.31418,APARTMENT,,772.0,https://photos.zillowstatic.com/fp/b0d34300f2673f16c6ddc63412b9c08c-p_e.jpg,,
"64 12th St, Wheatland, WY 82201",82201,Wheatland,WY,775,3.0,1.0,1300.0,0.6,https://zillow.com/apartments/wheatland-wy/64-12th-st-7/BK4NB6/,42.04717,-104.957375,APARTMENT,,792.0,https://photos.zillowstatic.com/fp/2d63650db73fb0a8a0e9582e94841ce6-p_e.jpg,,
"1019 Surrey Ct, Casper, WY 82609",82609,Casper,WY,1800,2.0,3.0,1961.0,0.92,https://zillow.com/homedetails/1019-Surrey-Ct-Casper-WY-82609/55623334_zpid/,42.838394,-106.25876,SINGLE_FAMILY,253200.0,1740.0,https://photos.zillowstatic.com/fp/11cb20dc411e407aa274298aa4804294-p_e.jpg,,
"619 N Sun Dr, Casper, WY 82609",82609,Casper,WY,875,2.0,1.0,860.0,1.02,https://zillow.com/apartments/casper-wy/619-north-sun-drive-7/9TGdyy/,42.853764,-106.285194,APARTMENT,,,https://photos.zillowstatic.com/fp/61a2576ae744cdc9933d819eca66d9fe-p_e.jpg,,
"838 Bonnie Brae St, Casper, WY 82601",82601,Casper,WY,2200,4.0,3.0,2584.0,0.85,https://zillow.com/homedetails/838-Bonnie-Brae-St-Casper-WY-82601/455085927_zpid/,42.841587,-106.31498,SINGLE_FAMILY,323400.0,,https://photos.zillowstatic.com/fp/d3b700f74a5c9857b15d7c160b560f34-p_e.jpg,,
"817 Mary Anne Dr #823, Riverton, WY 82501",82501,Riverton,WY,850,2.0,1.0,700.0,1.21,https://zillow.com/apartments/riverton-wy/817-mary-anne-drive/62yNS8/,43.032005,-108.3785,APARTMENT,,789.0,https://photos.zillowstatic.com/fp/7eac347fa99163dfcd1d82c481af98da-p_e.jpg,,
"320 S 1st St UNIT 3, Riverton, WY 82501",82501,Riverton,WY,650,1.0,1.0,475.0,1.37,https://zillow.com/apartments/riverton-wy/320-south-1st-street/5jFVCX/,43.021687,-108.39095,APARTMENT,,779.0,https://photos.zillowstatic.com/fp/dfe0c4003ca011698c5148146049865d-p_e.jpg,,
"1715 Ashley Ave, Riverton, WY 82501",82501,Riverton,WY,1000,3.0,1.0,1100.0,0.91,https://zillow.com/homedetails/1715-Ashley-Ave-Riverton-WY-82501/230163939_zpid/,43.025852,-108.36846,SINGLE_FAMILY,160800.0,1043.0,https://photos.zillowstatic.com/fp/8b8a2fc53e9c48cfdc73b50ccdd8a159-p_e.jpg,,
"332 S Grant St, Casper, WY 82601",82601,Casper,WY,1500,3.0,1.0,,,https://zillow.com/apartments/casper-wy/332-south-grant-street-1-main/62mthD/,42.847008,-106.31706,APARTMENT,,,https://photos.zillowstatic.com/fp/e173fa78323a267d1d178428af7f1a0c-p_e.jpg,,
"1114 N Park St, Casper, WY 82601",82601,Casper,WY,1500,3.0,1.0,1494.0,1.0,https://zillow.com/homedetails/1114-N-Park-St-Casper-WY-82601/15044550_zpid/,42.861282,-106.31825,SINGLE_FAMILY,151300.0,1524.0,https://photos.zillowstatic.com/fp/8e482177184156d4357c38b9aeecc1b4-p_e.jpg,,
"623 S Wolcott St #102, Casper, WY 82601",82601,Casper,WY,1320,1.0,1.0,695.0,1.9,https://zillow.com/homedetails/623-S-Wolcott-St-102-Casper-WY-82601/447526477_zpid/,42.84411,-106.32334,APARTMENT,,,https://photos.zillowstatic.com/fp/4baf638d176085cde43e58d81b9d67e2-p_e.jpg,,
