ZCTA,land_sqmi,water_sqmi,lat,lon,population,density_sqmi
10001,0.624,0.0,40.750649,-73.997298,29079,46600.96153846154
10002,0.822,0.0,40.715969,-73.986895,75517,91869.8296836983
10003,0.572,0.0,40.731865,-73.989124,53825,94099.65034965036
10004,0.456,0.0,40.689805,-74.017389,3875,8497.807017543859
10005,0.073,0.0,40.706215,-74.008687,9238,126547.94520547945
10006,0.097,0.0,40.70949,-74.013054,4475,46134.0206185567
10007,0.16,0.0,40.713868,-74.007866,7802,48762.5
10009,0.617,0.0,40.726392,-73.978604,58341,94555.91572123177
10010,0.369,0.0,40.739045,-73.982616,31905,86463.41463414635
10011,0.647,0.0,40.74184,-74.000528,49344,76265.84234930448
10012,0.324,0.0,40.725625,-73.997936,21846,67425.92592592593
10013,0.544,0.0,40.720051,-74.004809,28215,51865.808823529405
10014,0.485,0.0,40.734145,-74.006026,29772,61385.56701030928
10016,0.549,0.0,40.745182,-73.978053,54297,98901.6393442623
10017,0.298,0.0,40.752387,-73.972678,14985,50285.23489932886
10018,0.344,0.0,40.755327,-73.992696,8764,25476.744186046515
10019,0.659,0.007,40.765735,-73.985065,44276,67186.64643399089
10021,0.358,0.0,40.76964,-73.959018,39479,110276.53631284917
10022,0.445,0.0,40.75857,-73.96793,34340,77168.53932584269
10023,0.969,0.037,40.774567,-73.979016,67468,69626.41898864809
10024,0.885,0.156,40.78566,-73.971269,62576,70707.34463276836
10025,0.889,0.0,40.798251,-73.968336,93223,104862.76715410574
10026,0.383,0.0,40.802978,-73.953529,37113,96900.78328981723
10027,0.942,0.0,40.812657,-73.954983,65068,69074.30997876858
10028,0.316,0.0,40.776447,-73.953383,45679,144553.79746835443
10029,1.153,0.019,40.792249,-73.947333,74848,64915.87163920208
10030,0.277,0.0,40.818247,-73.942834,30781,111122.74368231047
10031,0.669,0.0,40.824804,-73.950206,60305,90142.00298953662
10032,0.673,0.0,40.839041,-73.942812,55579,82583.95245170876
10033,0.596,0.0,40.847476,-73.93551,53611,89951.3422818792
10034,1.024,0.004,40.867076,-73.924312,39037,38122.0703125
10035,1.405,0.0,40.795251,-73.930418,39082,27816.370106761566
10036,0.447,0.0,40.759792,-73.990685,30589,68431.7673378076
10037,0.233,0.0,40.813027,-73.937714,18333,78682.40343347639
10039,0.299,0.0,40.826287,-73.937526,30512,102046.82274247492
10040,0.567,0.0,40.858097,-73.9296,41581,73335.09700176367
10044,0.23,0.0,40.761907,-73.949967,11998,52165.217391304344
10065,0.417,0.0,40.764689,-73.963264,31047,74453.23741007195
10069,0.041,0.0,40.777382,-73.98883,6669,162658.53658536586
10075,0.189,0.0,40.773413,-73.956291,23865,126269.84126984127
10128,0.454,0.0,40.781498,-73.950199,59000,129955.94713656387
10280,0.107,0.0,40.709705,-74.016586,8668,81009.34579439253
10282,0.069,0.0,40.716381,-74.015004,5960,86376.8115942029
10301,3.758,0.005,40.627505,-74.094377,39799,10590.473656200107
10302,1.193,0.0,40.630806,-74.137664,19693,16507.12489522213
10303,3.169,0.015,40.629885,-74.17413,25993,8202.272010097822
10304,3.491,0.007,40.605965,-74.093535,45843,13131.767401890575
10305,4.02,0.016,40.596549,-74.075779,41714,10376.616915422886
10306,7.229,0.039,40.571714,-74.124264,57249,7919.352607552912
10307,1.614,0.0,40.507753,-74.242091,14821,9182.77571251549
10308,2.185,0.025,40.552828,-74.151525,29996,13728.146453089244
10309,7.254,0.077,40.529842,-74.219777,34918,4813.620071684588
10310,1.802,0.0,40.632612,-74.116148,25824,14330.743618201997
10312,6.872,0.053,40.545237,-74.180443,63345,9217.840512223516
10314,12.997,0.553,40.600699,-74.164314,93539,7196.968531199507
10451,1.056,0.004,40.822168,-73.922616,48975,46377.840909090904
10452,0.982,0.0,40.837791,-73.923339,76745,78151.73116089613
10453,0.902,0.0,40.852508,-73.913291,78270,86773.83592017739
10454,1.06,0.0,40.805583,-73.916595,40368,38083.018867924526
10455,0.701,0.0,40.814798,-73.908601,42940,61255.34950071327
10456,1.077,0.0,40.830669,-73.908161,86958,80740.94707520891
10457,1.319,0.0,40.845707,-73.897923,79375,60178.165276724794
10458,1.221,0.0,40.862486,-73.886448,78741,64488.943488943485
10459,0.831,0.0,40.825692,-73.892998,49753,59871.23947051745
10460,1.499,0.015,40.842344,-73.879062,61101,40761.17411607738
10461,2.388,0.0,40.846741,-73.840788,50900,21314.90787269682
10462,1.498,0.006,40.843267,-73.860417,75452,50368.49132176235
10463,2.752,0.144,40.886345,-73.901547,69373,25208.212209302328
10464,3.054,0.0,40.869594,-73.795848,4273,1399.1486574983628
10465,3.923,0.001,40.827329,-73.82217,46457,11842.212592403772
10466,2.015,0.002,40.890964,-73.846239,74061,36754.83870967742
10467,2.33,0.0,40.875262,-73.872027,96304,41332.188841201714
10468,1.047,0.017,40.86894,-73.899995,79825,76241.64278892073
10469,2.426,0.0,40.868509,-73.846691,69855,28794.311624072547
10470,1.437,0.001,40.889527,-73.872585,15558,10826.722338204592
10471,1.712,0.0,40.899984,-73.906751,23400,13668.224299065421
10472,1.078,0.0,40.829685,-73.869373,63820,59202.22634508349
10473,2.138,0.012,40.81869,-73.858474,59778,27959.775491113192
10501,1.592,0.001,41.295591,-73.759425,1426,895.7286432160804
10502,2.084,0.0,41.011282,-73.840846,5875,2819.097888675624
10504,16.132,1.802,41.128468,-73.707521,7853,486.79642945697987
10505,0.775,0.0,41.342072,-73.747803,1295,1670.967741935484
10506,16.634,0.233,41.189652,-73.638509,6246,375.4959721053264
